actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-13T03:40:34.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-13T03:40:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-13T03:40:37.9Z,1,REGULAR,jumpball,recovered,[],1627884,,,1610612746,0,0,2025-11-13T03:40:37Z,40000,False,,,0,,Jump Ball I. Zubac vs. N. Jokić: Tip to D. Jones Jr.,"[1627884, 1627826, 203999]",1610612746.0,LAC,startperiod,D. Jones Jr.,1627884.0,Jones Jr.,D. Jones Jr.,Zubac,1627826.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-11-13T03:40:48.0Z,1,REGULAR,3pt,Jump Shot,[],1628381,74.72076215505913,8.57843137254902,1610612746,0,0,2025-11-13T03:40:53Z,70000,False,-207.0,185.0,1,right,MISS J. Collins 27' 3PT,[1628381],1610612746.0,LAC,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,27.78,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-11-13T03:40:51.0Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612743,0,0,2025-11-13T03:40:53Z,80000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-11-13T03:41:00.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,9.149145860709593,51.470588235294116,1610612743,0,0,2025-11-13T03:41:07Z,90000,False,-7.0,34.0,1,left,MISS N. Jokić cutting Layup - blocked,"[203999, 1628381]",1610612743.0,DEN,cutting,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,3.43,Missed,,,,,Collins,1628381.0,,,,,,,,,,,,
10,PT11M33.00S,2025-11-13T03:41:00.8Z,1,REGULAR,block,,[],1628381,,,1610612743,0,0,2025-11-13T03:41:03Z,100000,False,,,0,,J. Collins BLOCK (1 BLK),[1628381],1610612746.0,LAC,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2025-11-13T03:41:01.8Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,0,0,2025-11-13T03:41:55Z,110000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M28.00S,2025-11-13T03:41:06.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627750,31.882391590013142,31.372549019607842,1610612743,0,0,2025-11-13T03:42:15Z,120000,False,93.0,247.0,1,left,MISS J. Murray 26' step back 3PT,[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,26.42,Missed,,,,,,,,,,,,,,,,,,
13,PT11M25.00S,2025-11-13T03:41:09.3Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,0,0,2025-11-13T03:42:15Z,130000,False,,,0,,N. Jokić REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Right Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M22.00S,2025-11-13T03:41:14.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203999,12.171484888304862,48.28431372549019,1610612743,0,0,2025-11-13T03:42:34Z,140000,False,9.0,62.0,1,left,MISS N. Jokić 6' turnaround Hook,[203999],1610612743.0,DEN,turnaround,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,6.25,Missed,,,,,,,,,,,,,,,,,,
