actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-26T02:41:59.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-26T02:41:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-26T02:42:02.8Z,1,REGULAR,jumpball,recovered,[],1642347,,,1610612761,0,0,2026-03-26T02:42:02Z,40000,False,,,0,,Jump Ball J. Poeltl vs. B. Lopez: Tip to J. Shead,"[1642347, 1627751, 201572]",1610612761.0,TOR,startperiod,J. Shead,1642347.0,Shead,J. Shead,Poeltl,1627751.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-03-26T02:42:20.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,90.75229960578186,50.73529411764706,1610612761,0,2,2026-03-26T02:42:29Z,70000,False,4.0,34.0,1,right,R. Barrett driving Layup (2 PTS) (B. Ingram 1 AST),"[1629628, 1627742]",1610612761.0,TOR,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,3.46,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2026-03-26T02:42:44.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202695,4.28712220762155,45.09803921568628,1610612746,2,2,2026-03-26T02:42:50Z,90000,False,25.0,-12.0,1,left,K. Leonard driving Layup (2 PTS),[202695],1610612746.0,LAC,driving,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,2.74,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2026-03-26T02:42:47.1Z,1,REGULAR,foul,personal,['1freethrow'],1629628,,,1610612746,2,2,2026-03-26T02:42:56Z,100000,False,,,0,,R. Barrett shooting personal FOUL (1 PF) (Leonard 1 FT),"[1629628, 202695]",1610612761.0,TOR,shooting,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,203591.0,1.0,0.0,Leonard,202695.0,,,,,,,,,
12,PT11M17.00S,2026-03-26T02:43:10.1Z,1,REGULAR,freethrow,1 of 1,[],202695,,,1610612746,2,2,2026-03-26T02:43:12Z,120000,False,,,0,,MISS K. Leonard Free Throw 1 of 1,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2026-03-26T02:43:13.1Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,2,2,2026-03-26T02:43:12Z,130000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT11M03.00S,2026-03-26T02:43:23.1Z,1,REGULAR,2pt,Jump Shot,[],1627742,76.95466491458606,66.42156862745098,1610612761,2,2,2026-03-26T02:43:30Z,140000,False,82.0,164.0,1,right,MISS B. Ingram 18' pullup Shot,[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right Center,18.35,Missed,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2026-03-26T02:43:27.1Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,2,2,2026-03-26T02:43:30Z,150000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT10M46.00S,2026-03-26T02:43:40.5Z,1,REGULAR,2pt,Jump Shot,[],1629636,20.581471747700395,43.13725490196079,1610612746,2,2,2026-03-26T02:43:55Z,160000,False,34.0,141.0,1,left,MISS D. Garland 14' step back Shot,[1629636],1610612746.0,LAC,step back,,,Garland,D. Garland,,,,,Mid-Range,8-16 Center,14.51,Missed,,,,,,,,,,,,,,,,,,
17,PT10M45.00S,2026-03-26T02:43:41.5Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612746,2,2,2026-03-26T02:44:28Z,170000,False,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612746.0,LAC,,,,Collins,J. Collins,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,
18,PT10M43.00S,2026-03-26T02:43:47.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628381,5.590000152587891,50.0,1610612746,2,2,2026-03-26T02:44:44Z,180000,False,0.0,0.0,1,left,MISS J. Collins tip Layup,[1628381],1610612746.0,LAC,tip,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
19,PT10M42.00S,2026-03-26T02:43:48.5Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,2,2,2026-03-26T02:44:44Z,190000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,
21,PT10M32.00S,2026-03-26T02:44:04.4Z,1,REGULAR,3pt,Jump Shot,[],1642347,68.41327201051249,78.43137254901961,1610612761,2,2,2026-03-26T02:45:23Z,195000,False,142.0,244.0,1,right,MISS J. Shead 28' 3PT,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,Above the Break 3,24+ Right Center,28.28,Missed,,,,,,,,,,,,,,,,,,
22,PT10M31.00S,2026-03-26T02:44:05.4Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612746,2,2,2026-03-26T02:45:23Z,197500,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,
24,PT10M16.00S,2026-03-26T02:44:10.7Z,1,REGULAR,3pt,Jump Shot,[],201572,27.151773981603156,13.725490196078432,1610612746,5,2,2026-03-26T02:44:20Z,240000,False,181.0,203.0,1,left,B. Lopez 27' 3PT  (3 PTS) (K. Leonard 1 AST),"[201572, 202695]",1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,27.2,Made,3.0,K. Leonard,202695.0,1.0,,,,,,,,,,,,,,
26,PT09M54.00S,2026-03-26T02:44:31.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,84.1819973718791,51.225490196078425,1610612761,5,2,2026-03-26T02:46:32Z,260000,False,6.0,96.0,1,right,MISS S. Barnes 9' turnaround fadeaway Shot,[1630567],1610612761.0,TOR,turnaround fadeaway,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,9.64,Missed,,,,,,,,,,,,,,,,,,
27,PT09M54.00S,2026-03-26T02:44:31.5Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,5,2,2026-03-26T02:46:54Z,270000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,26.0,2.0,1.0,1.0,,,,,
28,PT09M53.00S,2026-03-26T02:44:36.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,91.67214191852825,46.32352941176471,1610612761,5,4,2026-03-26T02:46:57Z,280000,False,-18.0,26.0,1,right,J. Poeltl putback Layup (2 PTS),[1627751],1610612761.0,TOR,putback,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,3.17,Made,2.0,,,,,,,,,,,,,,,,,
30,PT09M34.00S,2026-03-26T02:44:52.3Z,1,REGULAR,turnover,lost ball,[],202695,,,1610612746,5,4,2026-03-26T02:45:05Z,290000,False,,,0,,K. Leonard lost ball TURNOVER (1 TO),"[202695, 1629628]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Barrett,1629628.0,,
31,PT09M34.00S,2026-03-26T02:44:52.3Z,1,REGULAR,steal,,[],1629628,,,1610612761,5,4,2026-03-26T02:44:55Z,300000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M24.00S,2026-03-26T02:45:02.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627751,86.28449408672799,34.55882352941176,1610612761,5,6,2026-03-26T02:45:09Z,310000,False,-77.0,76.0,1,right,J. Poeltl 10' floating Jump Shot (4 PTS) (R. Barrett 1 AST),"[1627751, 1629628]",1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Left,10.86,Made,4.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,
34,PT09M06.00S,2026-03-26T02:45:20.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,7.5722733245729295,51.225490196078425,1610612746,7,6,2026-03-26T02:45:26Z,330000,False,-6.0,19.0,1,left,D. Garland driving Layup (2 PTS),[1629636],1610612746.0,LAC,driving,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,1.97,Made,2.0,,,,,,,,,,,,,,,,,
