actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-17T02:12:48.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-17T02:12:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-17T02:12:50.8Z,1,REGULAR,jumpball,recovered,[],1627739,,,1610612746,0,0,2026-03-17T02:12:50Z,40000,False,,,0,,Jump Ball B. Lopez vs. V. Wembanyama: Tip to K. Dunn,"[1627739, 201572, 1641705]",1610612746.0,LAC,startperiod,K. Dunn,1627739.0,Dunn,K. Dunn,Lopez,201572.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2026-03-17T02:13:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627884,81.553876478318,59.068627450980394,1610612746,0,0,2026-03-17T02:13:15Z,70000,False,45.0,121.0,1,right,MISS D. Jones Jr. 12' pullup Shot,[1627884],1610612746.0,LAC,pullup,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),8-16 Center,12.91,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2026-03-17T02:13:13.2Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,0,2026-03-17T02:13:36Z,80000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M12.00S,2026-03-17T02:13:35.1Z,1,REGULAR,2pt,Jump Shot,[],1641705,9.017739816031538,70.09803921568627,1610612759,0,0,2026-03-17T02:14:12Z,90000,False,-100.0,32.0,1,left,MISS V. Wembanyama 10' driving floating Shot,[1641705],1610612759.0,SAS,driving floating,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,10.56,Missed,,,,,,,,,,,,,,,,,,
10,PT11M12.00S,2026-03-17T02:13:35.1Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612746,0,0,2026-03-17T02:13:40Z,100000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,Mid-Range,8-16 Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M06.00S,2026-03-17T02:13:41.8Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612746,0,0,2026-03-17T02:13:44Z,110000,False,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 1630577]",1610612746.0,LAC,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Champagnie,1630577.0,,,,,,,,,,,
12,PT11M06.00S,2026-03-17T02:13:41.8Z,1,REGULAR,steal,,[],1630577,,,1610612759,0,0,2026-03-17T02:13:43Z,120000,False,,,0,,J. Champagnie STEAL (1 STL),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2026-03-17T02:13:46.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628368,25.57490144546649,14.950980392156863,1610612759,0,0,2026-03-17T02:13:53Z,130000,False,175.0,188.0,1,left,MISS D. Fox 25' running 3PT,[1628368],1610612759.0,SAS,running,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,25.69,Missed,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2026-03-17T02:13:50.9Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612746,0,0,2026-03-17T02:13:53Z,140000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:2),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Right Center,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
