actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-24T02:40:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-24T02:40:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-24T02:40:39.3Z,1,REGULAR,jumpball,recovered,[],1627884,,,1610612746,0,0,2026-03-24T02:40:39Z,40000,False,,,0,,Jump Ball B. Lopez vs. M. Turner: Tip to D. Jones Jr.,"[1627884, 201572, 1626167]",1610612746.0,LAC,startperiod,D. Jones Jr.,1627884.0,Jones Jr.,D. Jones Jr.,Lopez,201572.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-03-24T02:40:54.1Z,1,REGULAR,3pt,Jump Shot,[],202695,66.04796320630749,63.23529411764706,1610612746,0,0,2026-03-24T02:41:02Z,70000,False,66.0,267.0,1,right,MISS K. Leonard 27' pullup 3PT,[202695],1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Center,27.47,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2026-03-24T02:40:57.1Z,1,REGULAR,rebound,offensive,[],1627884,,,1610612746,0,0,2026-03-24T02:41:02Z,80000,False,,,0,,D. Jones Jr. REBOUND (Off:1 Def:0),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2026-03-24T02:40:59.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202695,64.73390275952694,47.30392156862745,1610612746,0,0,2026-03-24T02:41:05Z,90000,False,-13.0,279.0,1,right,MISS K. Leonard 27' 3PT,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Center,27.93,Missed,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2026-03-24T02:40:59.5Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,0,0,2026-03-24T02:41:05Z,100000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M19.00S,2026-03-24T02:41:17.0Z,1,REGULAR,3pt,Jump Shot,[],1626167,30.305519053876477,17.15686274509804,1610612749,0,0,2026-03-24T02:41:22Z,110000,False,164.0,232.0,1,left,MISS M. Turner 28' 3PT,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,28.46,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2026-03-24T02:41:20.0Z,1,REGULAR,rebound,offensive,[],1627752,,,1610612749,0,0,2026-03-24T02:41:22Z,120000,False,,,0,,T. Prince REBOUND (Off:1 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13,PT11M14.00S,2026-03-24T02:41:22.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631172,18.610381077529567,41.17647058823529,1610612749,0,0,2026-03-24T02:41:29Z,130000,False,44.0,122.0,1,left,MISS O. Dieng 13' pullup Shot,[1631172],1610612749.0,MIL,pullup,,,Dieng,O. Dieng,,,,,In The Paint (Non-RA),8-16 Center,13.01,Missed,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2026-03-24T02:41:27.6Z,1,REGULAR,rebound,defensive,[],201572,,,1610612746,0,0,2026-03-24T02:41:29Z,140000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
