actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-14T02:40:20.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-14T02:40:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-03-14T02:40:22.9Z,1,REGULAR,jumpball,recovered,[],1627884,,,1610612746,0,0,2026-03-14T02:40:22Z,40000,False,,,0,,Jump Ball B. Lopez vs. N. Richards: Tip to D. Jones Jr.,"[1627884, 201572, 1630208]",1610612746.0,LAC,startperiod,D. Jones Jr.,1627884.0,Jones Jr.,D. Jones Jr.,Lopez,201572.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-03-14T02:40:40.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627884,19.136005256241788,38.48039215686275,1610612746,2,0,2026-03-14T02:41:52Z,70000,False,58.0,127.0,1,left,D. Jones Jr. 13' pullup Jump Shot (2 PTS),[1627884],1610612746.0,LAC,pullup,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),8-16 Center,13.98,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2026-03-14T02:40:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,92.32917214191852,56.127450980392155,1610612741,2,2,2026-03-14T02:41:52Z,80000,False,31.0,20.0,1,right,T. Jones driving Layup (2 PTS),[1630200],1610612741.0,CHI,driving,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,3.63,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M05.00S,2026-03-14T02:41:27.7Z,1,REGULAR,2pt,Jump Shot,[],202695,23.73521681997372,69.85294117647058,1610612746,2,2,2026-03-14T02:41:31Z,100000,False,-99.0,171.0,1,left,MISS K. Leonard 19' Jump Shot - blocked,"[202695, 1630581]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Left Center,19.74,Missed,,Giddey,1630581.0,,,,,,,,,,,,,,,
11,PT11M05.00S,2026-03-14T02:41:27.7Z,1,REGULAR,block,,[],1630581,,,1610612746,2,2,2026-03-14T02:41:30Z,110000,False,,,0,,J. Giddey BLOCK (1 BLK),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2026-03-14T02:41:30.7Z,1,REGULAR,rebound,offensive,[],202695,,,1610612746,2,2,2026-03-14T02:41:31Z,120000,False,,,0,,K. Leonard REBOUND (Off:1 Def:0),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Left Center,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M00.00S,2026-03-14T02:41:31.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202695,39.532687253613666,71.59160539215686,1610612746,5,2,2026-03-14T02:43:39Z,130000,False,-108.0,319.0,1,left,K. Leonard 33' 3PT pullup (3 PTS),[202695],1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Left Center,33.69,Made,3.0,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2026-03-14T02:41:42.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,90.09526938239159,51.225490196078425,1610612741,5,4,2026-03-14T02:41:48Z,140000,False,6.0,41.0,1,right,T. Jones cutting Layup (4 PTS) (J. Giddey 1 AST),"[1630200, 1630581]",1610612741.0,CHI,cutting,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,4.11,Made,4.0,,,,,,,J. Giddey,1630581.0,1.0,,,,,,,,
16,PT10M38.00S,2026-03-14T02:41:54.0Z,1,REGULAR,3pt,Jump Shot,[],1642920,6.652431011826544,96.81372549019608,1610612746,5,4,2026-03-14T02:41:58Z,160000,False,-234.0,10.0,1,left,MISS K. Sanders 3PT,[1642920],1610612746.0,LAC,,,,Sanders,K. Sanders,,,,,Left Corner 3,24+ Left,23.43,Missed,,,,,,,,,,,,,,,,,,
