actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-02T02:10:20.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-02T02:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-03-02T02:10:25.1Z,1,REGULAR,jumpball,recovered,[],1627884,,,1610612746,0,0,2026-03-02T02:10:25Z,40000,False,,,0,,Jump Ball B. Lopez vs. D. Jordan: Tip to D. Jones Jr.,"[1627884, 201572, 201599]",1610612746.0,LAC,startperiod,D. Jones Jr.,1627884.0,Jones Jr.,D. Jones Jr.,Lopez,201572.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-03-02T02:10:38.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201572,92.46057818659659,55.88235294117647,1610612746,0,0,2026-03-02T02:11:00Z,70000,False,29.0,18.0,1,right,MISS B. Lopez turnaround bank Hook,[201572],1610612746.0,LAC,turnaround bank,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,3.47,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-03-02T02:10:39.7Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612746,0,0,2026-03-02T02:11:10Z,80000,False,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612746.0,LAC,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2026-03-02T02:10:43.8Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628381,94.40999984741211,50.0,1610612746,2,0,2026-03-02T02:11:14Z,90000,False,0.0,0.0,1,right,J. Collins tip DUNK (2 PTS),[1628381],1610612746.0,LAC,tip,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M25.00S,2026-03-02T02:10:54.1Z,1,REGULAR,3pt,Jump Shot,[],1630530,31.488173455978973,38.23529411764706,1610612740,2,0,2026-03-02T02:11:05Z,100000,False,59.0,243.0,1,left,MISS T. Murphy III 25' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,25.05,Missed,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2026-03-02T02:10:57.1Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612740,2,0,2026-03-02T02:11:45Z,110000,False,,,0,,S. Bey REBOUND (Off:1 Def:0),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M21.00S,2026-03-02T02:11:03.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630180,19.793035479632064,40.68627450980392,1610612740,2,0,2026-03-02T02:12:04Z,120000,False,47.0,134.0,1,left,MISS S. Bey 14' pullup Shot,[1630180],1610612740.0,NOP,pullup,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Center,14.15,Missed,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2026-03-02T02:11:04.8Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612746,2,0,2026-03-02T02:12:04Z,130000,False,,,0,,J. Collins REBOUND (Off:1 Def:1),[1628381],1610612746.0,LAC,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,,,
14,PT11M10.00S,2026-03-02T02:11:09.7Z,1,REGULAR,3pt,Jump Shot,[],201572,65.65374507227332,48.28431372549019,1610612746,2,0,2026-03-02T02:11:15Z,140000,False,-9.0,270.0,1,right,MISS B. Lopez 27' 3PT,[201572],1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,27.05,Missed,,,,,,,,,,,,,,,,,,
