actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-04-08T02:40:29.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-08T02:40:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-08T02:40:32.2Z,1,REGULAR,jumpball,recovered,[],1627739,,,1610612746,0,0,2026-04-08T02:40:32Z,40000,False,,,0,,Jump Ball B. Lopez vs. D. Powell: Tip to K. Dunn,"[1627739, 201572, 203939]",1610612746.0,LAC,startperiod,K. Dunn,1627739.0,Dunn,K. Dunn,Lopez,201572.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-04-08T02:40:42.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201572,91.98423127463863,55.84788602941176,1610612746,2,0,2026-04-08T02:40:54Z,70000,False,29.0,23.0,1,right,B. Lopez driving DUNK (2 PTS),[201572],1610612746.0,LAC,driving,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,3.7,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2026-04-08T02:41:00.1Z,1,REGULAR,3pt,Jump Shot,[],1631108,25.57490144546649,82.35294117647058,1610612742,2,0,2026-04-08T02:41:06Z,80000,False,-162.0,188.0,1,left,MISS M. Christie 24' 3PT,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,24.8,Missed,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2026-04-08T02:41:03.1Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,2,0,2026-04-08T02:41:06Z,90000,False,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M26.00S,2026-04-08T02:41:06.9Z,1,REGULAR,turnover,out-of-bounds,[],203939,,,1610612742,2,0,2026-04-08T02:41:11Z,100000,False,,,0,,D. Powell bad pass out-of-bounds TURNOVER (1 TO),[203939],1610612742.0,DAL,bad pass,,,Powell,D. Powell,,,,,Mid-Range,16-24 Left,,,,,,,,2004.0,1.0,,,,,,,,,,,
11,PT11M06.00S,2026-04-08T02:41:30.2Z,1,REGULAR,foul,personal,['2freethrow'],203939,,,1610612746,2,0,2026-04-08T02:41:35Z,110000,False,,,0,,D. Powell shooting personal FOUL (1 PF) (Jones Jr. 2 FT),"[203939, 1627884]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627541.0,,1.0,0.0,Jones Jr.,1627884.0,,,,,,,
13,PT11M06.00S,2026-04-08T02:41:58.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627884,,,1610612746,3,0,2026-04-08T02:41:58Z,130000,False,,,0,,D. Jones Jr. Free Throw 1 of 2 (1 PTS),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2026-04-08T02:42:13.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627884,,,1610612746,4,0,2026-04-08T02:42:13Z,140000,False,,,0,,D. Jones Jr. Free Throw 2 of 2 (2 PTS),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2026-04-08T02:42:27.5Z,1,REGULAR,3pt,Jump Shot,[],1630230,10.512483574244415,4.434742647058823,1610612742,4,0,2026-04-08T02:42:34Z,150000,False,228.0,46.0,1,left,MISS N. Marshall 3PT,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Right Corner 3,24+ Right,23.25,Missed,,,,,,,,,,,,,,,,,,
