actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-09T02:10:32.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-09T02:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-09T02:10:34.3Z,1,REGULAR,jumpball,recovered,[],1631114,,,1610612760,0,0,2026-04-09T02:10:34Z,40000,False,,,0,,Jump Ball C. Holmgren vs. B. Lopez: Tip to J. Williams,"[1631114, 1631096, 201572]",1610612760.0,OKC,startperiod,J. Williams,1631114.0,Williams,J. Williams,Holmgren,1631096.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2026-04-09T02:10:43.9Z,1,REGULAR,3pt,Jump Shot,[],1631096,26.231931668856767,82.35294117647058,1610612760,0,0,2026-04-09T02:10:48Z,70000,False,-162.0,194.0,1,left,MISS C. Holmgren 25' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,25.27,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2026-04-09T02:10:47.9Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612746,0,0,2026-04-09T02:10:48Z,80000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612746.0,LAC,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2026-04-09T02:11:01.9Z,1,REGULAR,3pt,Jump Shot,[],1628381,72.88107752956637,80.63725490196079,1610612746,0,0,2026-04-09T02:11:06Z,90000,False,153.0,202.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612746.0,LAC,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,25.38,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2026-04-09T02:11:04.9Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,0,0,2026-04-09T02:11:06Z,100000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M12.00S,2026-04-09T02:11:21.0Z,1,REGULAR,turnover,out-of-bounds,[],1631114,,,1610612760,0,0,2026-04-09T02:11:26Z,110000,False,,,0,,J. Williams step out-of-bounds TURNOVER (1 TO),[1631114],1610612760.0,OKC,step,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1146.0,1.0,,,,,,,,,,,,
12,PT10M59.00S,2026-04-09T02:11:43.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627884,92.46057818659659,42.40196078431372,1610612746,2,0,2026-04-09T02:11:46Z,120000,False,-38.0,18.0,1,right,D. Jones Jr. cutting Layup (2 PTS) (J. Collins 1 AST),"[1627884, 1628381]",1610612746.0,LAC,cutting,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,4.22,Made,,,,,,,2.0,J. Collins,1628381.0,1.0,,,,,,,,
14,PT10M44.00S,2026-04-09T02:11:57.4Z,1,REGULAR,3pt,Jump Shot,[],1629652,26.363337713534822,91.17647058823529,1610612760,2,3,2026-04-09T02:12:01Z,140000,False,-206.0,195.0,1,left,L. Dort 28' 3PT  (3 PTS) (C. Holmgren 1 AST),"[1629652, 1631096]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,28.38,Made,,,,,,,3.0,C. Holmgren,1631096.0,1.0,,,,,,,,
16,PT10M22.00S,2026-04-09T02:12:18.5Z,1,REGULAR,3pt,Jump Shot,[],1627884,70.51576872536137,16.666666666666664,1610612746,2,3,2026-04-09T02:12:23Z,160000,False,-167.0,225.0,1,right,MISS D. Jones Jr. 27' 3PT,[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Left Center,27.98,Missed,,,,,,,,,,,,,,,,,,
