actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-24T01:41:14.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-24T01:41:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M49.00S,2023-12-24T01:41:24.4Z,1,REGULAR,jumpball,recovered,[],1641739,,,1610612757,0,0,2023-12-24T01:41:24Z,40000,False,,,0,,Jump Ball D. Ayton vs. K. Looney: Tip to T. Camara,"[1641739, 1629028, 1626172]",1610612757.0,POR,startperiod,T. Camara,1641739.0,Camara,T. Camara,Ayton,1629028.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-12-24T01:41:36.5Z,1,REGULAR,2pt,Jump Shot,[],1627763,14.273981603153747,23.774509803921568,1610612757,0,2,2023-12-24T01:41:53Z,70000,False,131.0,82.0,1,left,M. Brogdon 15' fadeaway Jump Shot (2 PTS) (D. Ayton 1 AST),"[1627763, 1629028]",1610612757.0,POR,fadeaway,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Right,15.45,Made,2.0,D. Ayton,1629028.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2023-12-24T01:41:53.5Z,1,REGULAR,3pt,Jump Shot,[],201939,71.17279894875165,18.872549019607842,1610612744,3,2,2023-12-24T01:42:10Z,90000,False,-156.0,218.0,1,right,S. Curry 26' 3PT  (3 PTS) (B. Podziemski 1 AST),"[201939, 1641764]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,26.82,Made,3.0,B. Podziemski,1641764.0,1.0,,,,,,,,,,,,,,
11,PT11M01.00S,2023-12-24T01:42:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,5.732588699080158,43.627450980392155,1610612757,3,2,2023-12-24T01:42:37Z,110000,False,32.0,1.0,1,left,MISS M. Brogdon driving finger roll Layup,[1627763],1610612757.0,POR,driving finger roll,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,3.19,Missed,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2023-12-24T01:42:11.3Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,3,2,2023-12-24T01:42:37Z,120000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M55.00S,2023-12-24T01:42:18.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626172,92.72339027595268,46.07843137254902,1610612744,5,2,2023-12-24T01:43:05Z,130000,False,-20.0,16.0,1,right,K. Looney running Layup (2 PTS) (J. Kuminga 1 AST),"[1626172, 1630228]",1610612744.0,GSW,running,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,2.52,Made,2.0,J. Kuminga,1630228.0,1.0,,,,,,,,,,,,,,
15,PT10M39.00S,2023-12-24T01:42:33.5Z,1,REGULAR,3pt,Jump Shot,[],1629014,25.443495400788436,84.06862745098039,1610612757,5,2,2023-12-24T01:43:02Z,150000,False,-170.0,187.0,1,left,MISS A. Simons 25' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,25.27,Missed,,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2023-12-24T01:42:33.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,5,2,2023-12-24T01:43:02Z,160000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Left Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M24.00S,2023-12-24T01:42:49.3Z,1,REGULAR,3pt,Jump Shot,[],1641764,67.88764783180025,80.63725490196079,1610612744,5,2,2023-12-24T01:43:26Z,170000,False,153.0,249.0,1,right,MISS B. Podziemski 29' 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,29.27,Missed,,,,,,,,,,,,,,,,,,
18,PT10M24.00S,2023-12-24T01:42:49.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,5,2,2023-12-24T01:43:26Z,180000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,17.0,,,,,,,,,,,,,
19,PT10M01.00S,2023-12-24T01:43:20.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,17.559132720105126,47.794117647058826,1610612757,5,4,2023-12-24T01:43:33Z,190000,False,11.0,113.0,1,left,J. Grant 11' fadeaway Jump Shot (2 PTS),[203924],1610612757.0,POR,fadeaway,,,Grant,J. Grant,,,,,In The Paint (Non-RA),8-16 Center,11.31,Made,2.0,,,,,,,,,,,,,,,,,
20,PT09M48.00S,2023-12-24T01:43:31.8Z,1,REGULAR,3pt,Jump Shot,[],202691,74.98357424441524,87.25490196078431,1610612744,8,4,2023-12-24T01:43:39Z,200000,False,186.0,183.0,1,right,K. Thompson 26' 3PT  (3 PTS) (B. Podziemski 2 AST),"[202691, 1641764]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,26.09,Made,3.0,B. Podziemski,1641764.0,2.0,,,,,,,,,,,,,,
22,PT09M32.00S,2023-12-24T01:43:48.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,8.754927726675426,54.65686274509803,1610612757,8,6,2023-12-24T01:43:57Z,220000,False,-23.0,30.0,1,left,D. Ayton Hook (2 PTS) (M. Brogdon 1 AST),"[1629028, 1627763]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,3.78,Made,2.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,,,
