actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-02T02:10:24.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-02T02:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-02T02:10:26.8Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612744,0,0,2023-11-02T02:10:26Z,40000,False,,,0,,Jump Ball K. Looney vs. D. Sabonis: Tip to K. Thompson,"[202691, 1626172, 1627734]",1610612744.0,GSW,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Looney,1626172.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-11-02T02:10:58.9Z,1,REGULAR,3pt,Jump Shot,[],203110,70.38436268068331,79.90196078431373,1610612744,3,0,2023-11-02T02:11:15Z,80000,False,150.0,226.0,1,right,D. Green 27' 3PT  (3 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,27.09,Made,3.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,
10,PT11M30.00S,2023-11-02T02:11:17.1Z,1,REGULAR,foul,personal,[],202691,,,1610612758,3,0,2023-11-02T02:11:25Z,100000,False,,,0,,K. Thompson personal FOUL (1 PF),"[202691, 1628989]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Right Center,,,,,,,1628954.0,1.0,0.0,Huerter,1628989.0,,,,,,,,,
12,PT11M23.00S,2023-11-02T02:11:37.9Z,1,REGULAR,turnover,out-of-bounds,[],1628989,,,1610612758,3,0,2023-11-02T05:02:21Z,120000,False,,,0,,K. Huerter bad pass out-of-bounds TURNOVER (1 TO),[1628989],1610612758.0,SAC,bad pass,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,,,,,,,,
13,PT11M12.00S,2023-11-02T02:11:57.3Z,1,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612744,3,0,2023-11-02T02:12:17Z,130000,False,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1627734, 203952]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1628954.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,
15,PT11M12.00S,2023-11-02T02:12:26.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203952,,,1610612744,4,0,2023-11-02T02:12:26Z,150000,False,,,0,,A. Wiggins Free Throw 1 of 2 (1 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
16,PT11M12.00S,2023-11-02T02:12:44.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203952,,,1610612744,5,0,2023-11-02T02:12:44Z,160000,False,,,0,,A. Wiggins Free Throw 2 of 2 (2 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M57.00S,2023-11-02T02:13:02.8Z,1,REGULAR,3pt,Jump Shot,[],1630558,28.07161629434954,19.852941176470587,1610612758,5,3,2023-11-02T02:13:15Z,170000,False,151.0,211.0,1,left,D. Mitchell 25' 3PT pullup (3 PTS) (D. Sabonis 1 AST),"[1630558, 1627734]",1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,25.96,Made,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,
19,PT10M44.00S,2023-11-02T02:13:15.8Z,1,REGULAR,3pt,Jump Shot,[],203110,94.03745072273325,94.6078431372549,1610612744,8,3,2023-11-02T02:13:21Z,190000,False,223.0,4.0,1,right,D. Green 3PT  (6 PTS) (K. Looney 1 AST),"[203110, 1626172]",1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,22.3,Made,6.0,K. Looney,1626172.0,1.0,,,,,,,,,,,,,,
21,PT10M28.00S,2023-11-02T02:13:31.2Z,1,REGULAR,2pt,Jump Shot,[],1627734,25.57490144546649,55.392156862745104,1610612758,8,3,2023-11-02T02:13:38Z,210000,False,-27.0,188.0,1,left,MISS D. Sabonis 18' Jump Shot,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Center,18.98,Missed,,,,,,,,,,,,,,,,,,
22,PT10M27.00S,2023-11-02T02:13:32.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,8,3,2023-11-02T02:13:38Z,220000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,21.0,,,,,,,
23,PT10M27.00S,2023-11-02T02:13:36.5Z,1,REGULAR,foul,personal,[],1628989,,,1610612744,8,3,2023-11-02T02:13:49Z,230000,False,,,0,,K. Huerter loose ball personal FOUL (1 PF),"[1628989, 202691]",1610612758.0,SAC,loose ball,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,,,,,201246.0,1.0,0.0,Thompson,202691.0,,,,,,,,,
25,PT10M14.00S,2023-11-02T02:13:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,88.25558475689881,50.0,1610612744,10,3,2023-11-02T02:14:31Z,250000,False,0.0,58.0,1,right,A. Wiggins cutting finger roll Layup (4 PTS) (K. Looney 2 AST),"[203952, 1626172]",1610612744.0,GSW,cutting finger roll,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,5.79,Made,4.0,K. Looney,1626172.0,2.0,,,,,,,,,,,,,,
27,PT09M58.00S,2023-11-02T02:14:15.1Z,1,REGULAR,turnover,lost ball,[],1630558,,,1610612758,10,3,2023-11-02T02:15:08Z,270000,False,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1630558, 203110]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,,Green,203110.0,,,,,
