actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2024-03-07T03:13:59.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-07T03:13:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-07T03:14:02.8Z,1,REGULAR,jumpball,recovered,[],0,,,1610612749,0,0,2024-03-07T03:14:02Z,40000,False,,,0,,Jump Ball B. Lopez vs. D. Green: Tip to Team (MIL),"[201572, 203110]",1610612749.0,MIL,startperiod,Team (MIL),Lopez,201572.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2024-03-07T03:14:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,8.229303547963205,38.970588235294116,1610612749,0,2,2024-03-07T03:14:59Z,80000,False,55.0,25.0,1,left,G. Antetokounmpo 6' cutting Layup (2 PTS) (D. Lillard 1 AST),"[203507, 203081]",1610612749.0,MIL,cutting,,,,,,In The Paint (Non-RA),0-8 Center,6.05,Made,2.0,Antetokounmpo,G. Antetokounmpo,D. Lillard,203081.0,1.0,,,,,,,,,,,,,,,
10,PT11M32.00S,2024-03-07T03:14:37.9Z,1,REGULAR,2pt,Jump Shot,[],203952,78.66294349540078,39.705882352941174,1610612744,0,2,2024-03-07T03:15:22Z,100000,False,-51.0,148.0,1,right,MISS A. Wiggins 15' pullup Shot,[203952],1610612744.0,GSW,pullup,,,,,,Mid-Range,8-16 Center,15.68,Missed,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2024-03-07T03:14:39.9Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,0,2,2024-03-07T03:29:02Z,110000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,,,,Mid-Range,8-16 Center,,,,Wiggins,A. Wiggins,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,
12,PT11M23.00S,2024-03-07T03:14:46.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630228,68.28186596583443,73.2843137254902,1610612744,0,2,2024-03-07T03:16:24Z,120000,False,116.0,246.0,1,right,MISS J. Kuminga 27' pullup 3PT,[1630228],1610612744.0,GSW,pullup,,,,,,Above the Break 3,24+ Right Center,27.19,Missed,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
13,PT11M21.00S,2024-03-07T03:14:48.9Z,1,REGULAR,rebound,defensive,[],203109,,,1610612749,0,2,2024-03-07T03:14:51Z,130000,False,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Crowder,J. Crowder,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M14.00S,2024-03-07T03:14:55.3Z,1,REGULAR,2pt,Jump Shot,[],203081,8.09789750328515,25.0,1610612749,0,2,2024-03-07T03:17:08Z,140000,False,125.0,24.0,1,left,MISS D. Lillard 12' driving floating bank Shot,[203081],1610612749.0,MIL,driving floating bank,,,,,,Mid-Range,8-16 Right,12.72,Missed,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2024-03-07T03:14:57.3Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,0,2,2024-03-07T03:15:28Z,150000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,,,,Mid-Range,8-16 Right,,,,Antetokounmpo,G. Antetokounmpo,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,
16,PT11M12.00S,2024-03-07T03:14:59.3Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",203507,5.590000152587891,50.0,1610612749,0,4,2024-03-07T03:17:23Z,160000,False,0.0,0.0,1,left,G. Antetokounmpo tip DUNK (4 PTS),[203507],1610612749.0,MIL,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,4.0,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,
17,PT11M04.00S,2024-03-07T03:15:05.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,91.40932982917214,56.61764705882353,1610612744,0,4,2024-03-07T03:18:41Z,170000,False,33.0,28.0,1,right,MISS A. Wiggins driving reverse Layup - blocked,"[203952, 203507]",1610612744.0,GSW,driving reverse,,,,,,In The Paint (Non-RA),0-8 Center,4.35,Missed,,Wiggins,A. Wiggins,,,,,,,,Antetokounmpo,203507.0,,,,,,,,,
18,PT11M04.00S,2024-03-07T03:15:05.7Z,1,REGULAR,block,,[],203507,,,1610612744,0,4,2024-03-07T03:29:10Z,180000,False,,,0,,G. Antetokounmpo BLOCK (1 BLK),[203507],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,
19,PT11M02.00S,2024-03-07T03:15:07.7Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,4,2024-03-07T03:15:09Z,190000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Lopez,B. Lopez,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT11M00.00S,2024-03-07T03:15:10.8Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612749,0,4,2024-03-07T03:15:23Z,200000,False,,,0,,D. Green shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[203110, 203507]",1610612744.0,GSW,shooting,,,,,,Mid-Range,8-16 Left,,,,Green,D. Green,,,,,,,,,,202037.0,1.0,0.0,Antetokounmpo,203507.0,,,,
22,PT11M00.00S,2024-03-07T03:15:54.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203507,,,1610612749,0,5,2024-03-07T03:16:27Z,220000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (5 PTS),[203507],1610612749.0,MIL,,,,,,,,,,Made,5.0,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,
23,PT11M00.00S,2024-03-07T03:15:54.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203507,,,1610612749,0,5,2024-03-07T03:16:27Z,230000,False,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,,,,,,,Missed,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,
24,PT10M58.00S,2024-03-07T03:15:56.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,0,5,2024-03-07T03:16:27Z,240000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,
26,PT10M49.00S,2024-03-07T03:16:37.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630228,91.93495400788436,53.92156862745098,1610612744,2,5,2024-03-07T03:19:24Z,260000,False,20.0,23.0,1,right,J. Kuminga driving DUNK (2 PTS),[1630228],1610612744.0,GSW,driving,,,,,,Restricted Area,0-8 Center,3.04,Made,2.0,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
27,PT10M37.00S,2024-03-07T03:16:48.4Z,1,REGULAR,3pt,Jump Shot,[],203507,25.18068331143233,83.33333333333334,1610612749,2,5,2024-03-07T03:16:53Z,270000,False,-167.0,184.0,1,left,MISS G. Antetokounmpo 24' 3PT,[203507],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,24.84,Missed,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,
28,PT10M34.00S,2024-03-07T03:16:51.4Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,2,5,2024-03-07T03:16:53Z,280000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Left Center,,,,Kuminga,J. Kuminga,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT10M28.00S,2024-03-07T03:16:57.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630228,92.9862023653088,43.38235294117647,1610612744,4,5,2024-03-07T03:20:14Z,290000,False,-33.0,13.0,1,right,J. Kuminga running Layup (4 PTS) (B. Podziemski 1 AST),"[1630228, 1641764]",1610612744.0,GSW,running,,,,,,Restricted Area,0-8 Center,3.57,Made,4.0,Kuminga,J. Kuminga,B. Podziemski,1641764.0,1.0,,,,,,,,,,,,,,,
