actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-15T03:13:42.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-15T03:13:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-15T03:13:44.6Z,1,REGULAR,jumpball,recovered,[],1630228,,,1610612744,0,0,2024-02-15T03:13:44Z,40000,False,,,0,,Jump Ball D. Green vs. I. Zubac: Tip to J. Kuminga,"[1630228, 203110, 1627826]",1610612744.0,GSW,startperiod,J. Kuminga,1630228.0,Kuminga,J. Kuminga,Green,203110.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-02-15T03:14:04.5Z,1,REGULAR,3pt,Jump Shot,[],202691,19.004599211563733,1.9607843137254901,1610612744,0,0,2024-02-15T03:14:09Z,70000,False,240.0,126.0,1,left,MISS K. Thompson 27' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,27.13,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-02-15T03:14:07.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2024-02-15T03:14:09Z,80000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-02-15T03:14:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,82.21090670170827,59.55882352941176,1610612746,0,2,2024-02-15T03:14:21Z,90000,False,48.0,115.0,1,right,J. Harden 12' step back Jump Shot (2 PTS),[201935],1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,12.43,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M16.00S,2024-02-15T03:14:25.6Z,1,REGULAR,3pt,Jump Shot,[],203110,33.722076215505915,31.61764705882353,1610612744,3,2,2024-02-15T03:14:43Z,100000,False,92.0,264.0,1,left,D. Green 28' 3PT  (3 PTS) (K. Thompson 1 AST),"[203110, 202691]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,28.0,Made,,,,,3.0,K. Thompson,202691.0,1.0,,,,,,,,,,
12,PT11M00.00S,2024-02-15T03:14:40.5Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612746,3,2,2024-02-15T03:14:46Z,120000,False,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 203952]",1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,Wiggins,203952.0,,,,,,,
13,PT11M00.00S,2024-02-15T03:14:40.5Z,1,REGULAR,steal,,[],203952,,,1610612744,3,2,2024-02-15T03:14:43Z,130000,False,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2024-02-15T03:14:45.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630228,10.726018396846255,45.588235294117645,1610612744,5,2,2024-02-15T03:14:53Z,140000,False,22.0,48.0,1,left,J. Kuminga running DUNK (2 PTS) (A. Wiggins 1 AST),"[1630228, 203952]",1610612744.0,GSW,running,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,5.31,Made,,,,,2.0,A. Wiggins,203952.0,1.0,,,,,,,,,,
16,PT10M35.00S,2024-02-15T03:15:06.2Z,1,REGULAR,2pt,Jump Shot,[],202331,78.0059132720105,45.34313725490196,1610612746,5,2,2024-02-15T03:16:11Z,160000,False,-23.0,154.0,1,right,MISS P. George 15' step back Shot - blocked,"[202331, 202691]",1610612746.0,LAC,step back,,,George,P. George,,,,,Mid-Range,8-16 Center,15.6,Missed,,,,,,,,,,,,Thompson,202691.0,,,,,
17,PT10M35.00S,2024-02-15T03:15:06.2Z,1,REGULAR,block,,[],202691,,,1610612746,5,2,2024-02-15T03:15:11Z,170000,False,,,0,,K. Thompson BLOCK (1 BLK),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M27.00S,2024-02-15T03:15:14.2Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,5,2,2024-02-15T03:26:58Z,180000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
62,PT10M27.00S,2024-02-15T03:15:16.2Z,1,REGULAR,turnover,lost ball,[],202691,,,1610612744,5,2,2024-02-15T03:29:48Z,185000,False,,,0,,K. Thompson lost ball TURNOVER (1 TO),"[202691, 202331]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,George,202331.0,,,,,,,
63,PT10M27.00S,2024-02-15T03:15:16.2Z,1,REGULAR,steal,,[],202331,,,1610612746,5,2,2024-02-15T03:29:48Z,187500,False,,,0,,P. George STEAL (1 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M15.00S,2024-02-15T03:15:26.2Z,1,REGULAR,turnover,lost ball,[],1627826,,,1610612746,5,2,2024-02-15T03:15:32Z,190000,False,,,0,,I. Zubac lost ball TURNOVER (1 TO),"[1627826, 203952]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Wiggins,203952.0,,,,,,,
20,PT10M15.00S,2024-02-15T03:15:26.2Z,1,REGULAR,steal,,[],203952,,,1610612744,5,2,2024-02-15T04:01:18Z,200000,False,,,0,,A. Wiggins STEAL (2 STL),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M04.00S,2024-02-15T03:15:38.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203952,10.85742444152431,57.35294117647059,1610612744,5,2,2024-02-15T03:19:16Z,210000,False,-37.0,50.0,1,left,MISS A. Wiggins 6' cutting Layup,[203952],1610612744.0,GSW,cutting,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,6.18,Missed,,,,,,,,,,,,,,,,,,
22,PT10M01.00S,2024-02-15T03:15:41.0Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,5,2,2024-02-15T03:15:45Z,220000,False,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,In The Paint (Non-RA),0-8 Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M52.00S,2024-02-15T03:15:49.2Z,1,REGULAR,3pt,Jump Shot,[],1629611,87.33574244415243,1.2254901960784315,1610612746,5,2,2024-02-15T03:15:56Z,230000,False,-244.0,67.0,1,right,MISS T. Mann 25' 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Left Corner 3,24+ Left,25.28,Missed,,,,,,,,,,,,,,,,,,
24,PT09M45.00S,2024-02-15T03:15:56.2Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,5,2,2024-02-15T03:15:56Z,240000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Left Corner 3,24+ Left,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M33.00S,2024-02-15T03:16:08.6Z,1,REGULAR,3pt,Jump Shot,[],203952,10.726018396846255,0.7352941176470588,1610612744,5,2,2024-02-15T03:16:12Z,250000,False,246.0,48.0,1,left,MISS A. Wiggins 25' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Right Corner 3,24+ Right,25.1,Missed,,,,,,,,,,,,,,,,,,
26,PT09M30.00S,2024-02-15T03:16:11.6Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,5,2,2024-02-15T03:16:12Z,260000,False,,,0,,A. Coffey REBOUND (Off:0 Def:2),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Right Corner 3,24+ Right,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,
