actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-19T01:40:26.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-19T01:40:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-19T01:40:28.0Z,1,REGULAR,jumpball,recovered,[],1631114,,,1610612760,0,0,2023-11-19T01:40:28Z,40000,False,,,0,,Jump Ball C. Holmgren vs. K. Looney: Tip to J. Williams,"[1631114, 1631096, 1626172]",1610612760.0,OKC,startperiod,J. Williams,1631114.0,Williams,J. Williams,Holmgren,1631096.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-11-19T01:40:46.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,11.383048620236531,48.77450980392157,1610612760,0,0,2023-11-19T01:40:54Z,70000,False,6.0,55.0,1,left,MISS J. Giddey driving Layup - blocked,"[1630581, 203952]",1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,5.48,Missed,Wiggins,203952.0,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-11-19T01:40:46.6Z,1,REGULAR,block,,[],203952,,,1610612760,0,0,2023-11-19T01:40:49Z,80000,False,,,0,,A. Wiggins BLOCK (1 BLK),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-11-19T01:40:48.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2023-11-19T01:48:15Z,90000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M35.00S,2023-11-19T01:40:56.7Z,1,REGULAR,foul,personal,['3freethrow'],1629652,,,1610612744,0,0,2023-11-19T01:41:39Z,110000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Thompson 3 FT),"[1629652, 202691]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,,,,,,,,,1627961.0,1.0,0.0,Thompson,202691.0,,,,,,,
13,PT11M35.00S,2023-11-19T01:41:30.8Z,1,REGULAR,freethrow,1 of 3,['fastbreak'],202691,,,1610612744,1,0,2023-11-19T01:41:30Z,130000,False,,,0,,K. Thompson Free Throw 1 of 3 (1 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
14,PT11M35.00S,2023-11-19T01:41:47.2Z,1,REGULAR,freethrow,2 of 3,['fastbreak'],202691,,,1610612744,2,0,2023-11-19T01:41:47Z,140000,False,,,0,,K. Thompson Free Throw 2 of 3 (2 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
15,PT11M35.00S,2023-11-19T01:42:04.2Z,1,REGULAR,freethrow,3 of 3,['fastbreak'],202691,,,1610612744,3,0,2023-11-19T01:42:04Z,150000,False,,,0,,K. Thompson Free Throw 3 of 3 (3 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,Made,,,,,,,,,,,,3.0,,,,,,
16,PT11M24.00S,2023-11-19T01:42:16.8Z,1,REGULAR,3pt,Jump Shot,[],1631096,32.670827858081466,38.48039215686275,1610612760,3,3,2023-11-19T01:42:21Z,160000,False,58.0,255.0,1,left,C. Holmgren 26' 3PT  (3 PTS) (J. Williams 1 AST),"[1631096, 1631114]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Center,26.1,Made,,,,,,,,,,,,3.0,J. Williams,1631114.0,1.0,,,
18,PT11M15.00S,2023-11-19T01:42:28.8Z,1,REGULAR,turnover,traveling,[],1626172,,,1610612744,3,3,2023-11-19T01:42:33Z,180000,False,,,0,,K. Looney traveling TURNOVER (1 TO),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Center,,,,,,,,,1627961.0,,,,,,,,,1.0,,
19,PT11M07.00S,2023-11-19T01:42:45.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631096,8.229303547963205,55.63725490196079,1610612760,3,5,2023-11-19T01:42:53Z,190000,False,-28.0,25.0,1,left,C. Holmgren cutting Layup (5 PTS) (S. Gilgeous-Alexander 1 AST),"[1631096, 1628983]",1610612760.0,OKC,cutting,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,3.76,Made,,,,,,,,,,,,5.0,S. Gilgeous-Alexander,1628983.0,1.0,,,
21,PT10M46.00S,2023-11-19T01:43:05.2Z,1,REGULAR,2pt,Jump Shot,[],203952,88.25558475689881,76.22549019607843,1610612744,3,5,2023-11-19T01:44:12Z,210000,False,131.0,58.0,1,right,MISS A. Wiggins 14' Jump Shot,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,14.33,Missed,,,,,,,,,,,,,,,,,,
22,PT10M44.00S,2023-11-19T01:43:07.2Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,3,5,2023-11-19T01:43:08Z,220000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT10M31.00S,2023-11-19T01:43:21.3Z,1,REGULAR,3pt,Jump Shot,[],1629652,28.597240473061763,15.931372549019606,1610612760,3,8,2023-11-19T01:43:25Z,230000,False,170.0,216.0,1,left,L. Dort 27' 3PT  (3 PTS) (C. Holmgren 1 AST),"[1629652, 1631096]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,27.53,Made,,,,,,,,,,,,3.0,C. Holmgren,1631096.0,1.0,,,
25,PT10M16.00S,2023-11-19T01:43:36.1Z,1,REGULAR,2pt,Jump Shot,[],101108,74.85216819973719,42.64705882352941,1610612744,3,8,2023-11-19T01:43:39Z,250000,False,-37.0,184.0,1,right,MISS C. Paul 18' pullup Shot,[101108],1610612744.0,GSW,pullup,,,Paul,C. Paul,,,,,Mid-Range,16-24 Center,18.75,Missed,,,,,,,,,,,,,,,,,,
26,PT10M13.00S,2023-11-19T01:43:39.1Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,3,8,2023-11-19T01:43:39Z,260000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Center,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,
27,PT10M00.00S,2023-11-19T01:43:51.7Z,1,REGULAR,turnover,lost ball,[],1628983,,,1610612760,3,8,2023-11-19T01:43:55Z,270000,False,,,0,,S. Gilgeous-Alexander lost ball TURNOVER (1 TO),"[1628983, 101108]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Paul,101108.0
28,PT10M00.00S,2023-11-19T01:43:51.7Z,1,REGULAR,steal,,[],101108,,,1610612744,3,8,2023-11-19T01:44:13Z,280000,False,,,0,,C. Paul STEAL (1 STL),[101108],1610612744.0,GSW,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M56.00S,2023-11-19T01:43:58.3Z,1,REGULAR,foul,personal,['2freethrow'],1631096,,,1610612744,3,8,2023-11-19T01:44:10Z,290000,False,,,0,,C. Holmgren shooting personal FOUL (1 PF) (Curry 2 FT),"[1631096, 201939]",1610612760.0,OKC,shooting,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1628951.0,1.0,0.0,Curry,201939.0,,,,,,,
31,PT09M56.00S,2023-11-19T01:44:29.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",201939,,,1610612744,4,8,2023-11-19T01:44:29Z,310000,False,,,0,,S. Curry Free Throw 1 of 2 (1 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
32,PT09M56.00S,2023-11-19T01:44:49.6Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",201939,,,1610612744,5,8,2023-11-19T01:44:49Z,320000,False,,,0,,S. Curry Free Throw 2 of 2 (2 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
33,PT09M50.00S,2023-11-19T01:44:57.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,11.12023653088042,42.8921568627451,1610612760,5,8,2023-11-19T01:45:02Z,330000,False,36.0,52.0,1,left,MISS J. Williams 6' driving Layup,[1631114],1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,6.3,Missed,,,,,,,,,,,,,,,,,,
34,PT09M48.00S,2023-11-19T01:44:59.4Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,5,8,2023-11-19T01:45:02Z,340000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,
35,PT09M38.00S,2023-11-19T01:45:10.0Z,1,REGULAR,3pt,Jump Shot,[],202691,71.30420499342969,77.69607843137256,1610612744,5,8,2023-11-19T01:45:14Z,350000,False,138.0,217.0,1,right,MISS K. Thompson 25' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,25.76,Missed,,,,,,,,,,,,,,,,,,
36,PT09M36.00S,2023-11-19T01:45:12.0Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,5,8,2023-11-19T01:45:27Z,360000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,
37,PT09M27.00S,2023-11-19T01:45:20.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,9.543363994743759,43.13725490196079,1610612760,5,8,2023-11-19T01:48:27Z,370000,False,34.0,37.0,1,left,MISS J. Giddey driving finger roll Layup,[1630581],1610612760.0,OKC,driving finger roll,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,5.06,Missed,,,,,,,,,,,,,,,,,,
38,PT09M25.00S,2023-11-19T01:45:22.5Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,5,8,2023-11-19T01:45:34Z,380000,False,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,37.0,1.0,0.0,1.0,,,,,,,,,,,,
39,PT09M23.00S,2023-11-19T01:45:23.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630581,5.590000152587891,50.0,1610612760,5,10,2023-11-19T01:45:34Z,390000,False,0.0,0.0,1,left,J. Giddey putback Layup (2 PTS),[1630581],1610612760.0,OKC,putback,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,,,2.0,,,,,,
40,PT09M12.00S,2023-11-19T01:45:35.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,91.93495400788436,48.77450980392157,1610612744,7,10,2023-11-19T01:45:39Z,400000,False,-6.0,23.0,1,right,K. Looney cutting DUNK (2 PTS) (K. Thompson 1 AST),"[1626172, 202691]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,2.41,Made,,,,,,,,,,,,2.0,K. Thompson,202691.0,1.0,,,
42,PT08M59.00S,2023-11-19T01:45:49.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,13.748357424441524,51.470588235294116,1610612760,7,12,2023-11-19T01:45:58Z,420000,False,-7.0,77.0,1,left,C. Holmgren 7' turnaround fadeaway Jump Shot (7 PTS),[1631096],1610612760.0,OKC,turnaround fadeaway,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,7.71,Made,,,,,,,,,,,,7.0,,,,,,
43,PT08M38.00S,2023-11-19T01:46:09.5Z,1,REGULAR,2pt,Jump Shot,[],203952,91.67214191852825,71.81372549019608,1610612744,9,12,2023-11-19T01:46:13Z,430000,False,109.0,26.0,1,right,A. Wiggins 11' floating Jump Shot (2 PTS) (K. Looney 1 AST),"[203952, 1626172]",1610612744.0,GSW,floating,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,11.21,Made,,,,,,,,,,,,2.0,K. Looney,1626172.0,1.0,,,
45,PT08M23.00S,2023-11-19T01:46:27.1Z,1,REGULAR,turnover,palming,[],1631096,,,1610612760,9,12,2023-11-19T01:46:42Z,450000,False,,,0,,C. Holmgren palming TURNOVER (1 TO),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,,,,,,,,,2882.0,,,,,,,,,1.0,,
46,PT08M17.00S,2023-11-19T01:46:44.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202691,76.5604467805519,8.333333333333332,1610612744,12,12,2023-11-19T01:46:49Z,460000,False,-208.0,168.0,1,right,K. Thompson 26' 3PT  (6 PTS) (S. Curry 1 AST),"[202691, 201939]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,26.75,Made,,,,,,,,,,,,6.0,S. Curry,201939.0,1.0,,,
48,PT08M16.00S,2023-11-19T01:46:53.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,12,12,2023-11-19T01:46:53Z,480000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M02.00S,2023-11-19T01:50:06.5Z,1,REGULAR,foul,offensive,[],1631096,,,1610612760,12,12,2023-11-19T01:50:20Z,490000,False,,,0,,C. Holmgren offensive FOUL (2 PF),"[1631096, 203952]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Center,,,,,,,,,2882.0,2.0,0.0,Wiggins,203952.0,,,,,,,
51,PT08M02.00S,2023-11-19T01:50:06.5Z,1,REGULAR,turnover,offensive foul,[],1631096,,,1610612760,12,12,2023-11-19T01:50:06Z,510000,False,,,0,,C. Holmgren offensive foul TURNOVER (2 TO),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Center,,,,,,,,,2882.0,,,,,,,,,2.0,,
52,PT07M53.00S,2023-11-19T01:50:30.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203952,90.75229960578186,58.333333333333336,1610612744,14,12,2023-11-19T01:50:34Z,520000,False,42.0,34.0,1,right,A. Wiggins cutting Layup (4 PTS) (K. Looney 2 AST),"[203952, 1626172]",1610612744.0,GSW,cutting,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,5.41,Made,,,,,,,,,,,,4.0,K. Looney,1626172.0,2.0,,,
55,PT07M45.00S,2023-11-19T01:50:47.5Z,1,REGULAR,foul,personal,[],203952,,,1610612760,14,12,2023-11-19T01:51:11Z,550000,False,,,0,,A. Wiggins personal FOUL (1 PF),"[203952, 1629652]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Left,,,,,,,,,2882.0,1.0,0.0,Dort,1629652.0,,,,,,,
57,PT07M41.00S,2023-11-19T01:51:07.7Z,1,REGULAR,2pt,Jump Shot,[],1631114,23.73521681997372,25.49019607843137,1610612760,14,12,2023-11-19T01:51:14Z,570000,False,123.0,171.0,1,left,MISS J. Williams 21' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,16-24 Right Center,21.0,Missed,,,,,,,,,,,,,,,,,,
58,PT07M39.00S,2023-11-19T01:51:09.7Z,1,REGULAR,rebound,offensive,[],1631096,,,1610612760,14,12,2023-11-19T02:11:04Z,580000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Right Center,,,,,57.0,2.0,1.0,1.0,,,,,,,,,,,,
184,PT07M38.00S,2023-11-19T01:51:12.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631096,10.726018396846255,47.794117647058826,1610612760,14,12,2023-11-19T02:10:52Z,595000,False,11.0,48.0,1,left,MISS C. Holmgren Layup - blocked,"[1631096, 202691]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,4.95,Missed,Thompson,202691.0,,,,,,,,,,,,,,,,
185,PT07M38.00S,2023-11-19T01:51:12.0Z,1,REGULAR,block,,[],202691,,,1610612760,14,12,2023-11-19T04:34:59Z,602500,False,,,0,,K. Thompson BLOCK (1 BLK),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
186,PT07M37.00S,2023-11-19T01:51:13.0Z,1,REGULAR,rebound,defensive,[],101108,,,1610612744,14,12,2023-11-19T02:10:52Z,606250,False,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612744.0,GSW,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),0-8 Center,,,,,184.0,1.0,1.0,0.0,,,,,,,,,,,,
