actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-08T00:40:59.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-08T00:40:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-04-08T00:41:01.0Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612744,0,0,2024-04-08T00:41:01Z,40000,False,,,0,,Jump Ball T. Jackson-Davis vs. O. Yurtseven: Tip to C. Paul,"[101108, 1631218, 1630209]",1610612744.0,GSW,startperiod,C. Paul,101108.0,Paul,C. Paul,Jackson-Davis,1631218.0,Yurtseven,1630209.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-04-08T00:41:10.4Z,1,REGULAR,3pt,Jump Shot,[],202691,29.122864651773984,15.196078431372548,1610612744,0,0,2024-04-08T00:41:21Z,70000,False,174.0,221.0,1,left,MISS K. Thompson 28' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,28.15,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2024-04-08T00:41:13.4Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612762,0,0,2024-04-08T00:41:22Z,80000,False,,,0,,O. Yurtseven REBOUND (Off:0 Def:1),[1630209],1610612762.0,UTA,,,,Yurtseven,O. Yurtseven,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-04-08T00:41:35.6Z,1,REGULAR,3pt,Jump Shot,[],1641707,93.51182654402102,95.58823529411765,1610612762,0,3,2024-04-08T00:41:41Z,90000,False,228.0,8.0,1,right,T. Hendricks 3PT  (3 PTS) (B. Sensabaugh 1 AST),"[1641707, 1641729]",1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Right Corner 3,24+ Right,22.81,Made,,,,,3.0,B. Sensabaugh,1641729.0,1.0,,,,,,,,,,
11,PT11M00.00S,2024-04-08T00:41:58.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631218,7.046649145860711,54.41176470588235,1610612744,2,3,2024-04-08T00:42:25Z,110000,False,-22.0,14.0,1,left,T. Jackson-Davis cutting Layup (2 PTS) (B. Podziemski 1 AST),"[1631218, 1641764]",1610612744.0,GSW,cutting,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,2.6,Made,,,,,2.0,B. Podziemski,1641764.0,1.0,,,,,,,,,,
13,PT10M39.00S,2024-04-08T00:42:18.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,87.33574244415243,48.529411764705884,1610612762,2,5,2024-04-08T00:42:28Z,130000,False,-7.0,67.0,1,right,C. Sexton 6' driving finger roll Layup (2 PTS),[1629012],1610612762.0,UTA,driving finger roll,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,6.69,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M33.00S,2024-04-08T00:42:25.5Z,1,REGULAR,2pt,Layup,[],202691,8.886333771353483,33.33333333333333,1610612744,2,5,2024-04-08T00:42:33Z,140000,False,83.0,31.0,1,left,MISS K. Thompson 8' driving Layup - blocked,"[202691, 1629012]",1610612744.0,GSW,driving,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Right,8.89,Missed,,,,,,,,,Sexton,1629012.0,,,,,,,,
15,PT10M33.00S,2024-04-08T00:42:25.5Z,1,REGULAR,block,,[],1629012,,,1610612744,2,5,2024-04-08T00:42:28Z,150000,False,,,0,,C. Sexton BLOCK (1 BLK),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
16,PT10M33.00S,2024-04-08T00:42:25.5Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612762,2,5,2024-04-08T00:42:33Z,160000,False,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Right,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
