actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-29T03:10:32.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-29T03:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-29T03:10:36.3Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2023-12-29T03:10:36Z,40000,False,,,0,,Jump Ball B. Adebayo vs. K. Looney: Tip to T. Herro,"[1629639, 1628389, 1626172]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-12-29T03:10:51.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,10.726018396846255,39.46078431372549,1610612748,0,0,2023-12-29T03:10:58Z,70000,False,53.0,48.0,1,left,MISS B. Adebayo 7' Hook,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,7.15,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2023-12-29T03:10:58.2Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2023-12-29T03:10:58Z,80000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2023-12-29T03:11:12.6Z,1,REGULAR,3pt,Jump Shot,[],201939,66.3107752956636,54.166666666666664,1610612744,0,0,2023-12-29T03:11:17Z,90000,False,21.0,264.0,1,right,MISS S. Curry 26' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,26.5,Missed,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2023-12-29T03:11:16.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2023-12-29T03:11:17Z,100000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M09.00S,2023-12-29T03:11:21.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,12.220762155059132,40.927542892156865,1610612748,0,0,2023-12-29T03:11:28Z,110000,False,45.0,62.0,1,left,MISS B. Adebayo 7' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,7.72,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2023-12-29T03:11:24.9Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,0,0,2023-12-29T03:11:28Z,120000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M00.00S,2023-12-29T03:11:31.7Z,1,REGULAR,turnover,bad pass,[],1630228,,,1610612744,0,0,2023-12-29T03:11:35Z,130000,False,,,0,,J. Kuminga bad pass TURNOVER (1 TO),"[1630228, 1629312]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Mid-Range,8-16 Left,,,,,,,1.0,Highsmith,1629312.0,,,,,,,,,,,
14,PT11M00.00S,2023-12-29T03:11:31.7Z,1,REGULAR,steal,,[],1629312,,,1610612748,0,0,2023-12-29T03:11:34Z,140000,False,,,0,,H. Highsmith STEAL (1 STL),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2023-12-29T03:11:37.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629312,12.040078843626807,45.83333333333333,1610612748,0,0,2023-12-29T03:21:11Z,150000,False,21.0,61.0,1,left,MISS H. Highsmith 6' running Layup - blocked,"[1629312, 201939]",1610612748.0,MIA,running,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,6.42,Missed,,,,,,,,Curry,201939.0,,,,,,,,,
78,PT10M53.00S,2023-12-29T03:11:37.8Z,1,REGULAR,block,,[],201939,,,1610612748,0,0,2023-12-29T03:20:24Z,155000,False,,,0,,S. Curry BLOCK (1 BLK),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2023-12-29T03:11:39.8Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,0,2023-12-29T03:11:43Z,160000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M49.00S,2023-12-29T03:11:41.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630228,93.24901445466492,51.225490196078425,1610612744,2,0,2023-12-29T03:12:38Z,170000,False,6.0,11.0,1,right,J. Kuminga running DUNK (2 PTS) (K. Thompson 1 AST),"[1630228, 202691]",1610612744.0,GSW,running,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,1.26,Made,,,,,,,,,,2.0,K. Thompson,202691.0,1.0,,,,,
19,PT10M33.00S,2023-12-29T03:11:58.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,16.770696452036795,47.30392156862745,1610612748,2,2,2023-12-29T03:12:03Z,190000,False,13.0,105.0,1,left,B. Adebayo 10' floating Jump Shot (2 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,10.6,Made,,,,,,,,,,2.0,T. Herro,1629639.0,1.0,,,,,
21,PT10M19.00S,2023-12-29T03:12:12.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641764,91.67214191852825,60.29411764705882,1610612744,2,2,2023-12-29T03:12:18Z,210000,False,51.0,26.0,1,right,MISS B. Podziemski driving Hook,[1641764],1610612744.0,GSW,driving,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),0-8 Center,5.76,Missed,,,,,,,,,,,,,,,,,,
22,PT10M15.00S,2023-12-29T03:12:16.4Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,2,2,2023-12-29T03:12:18Z,220000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
