actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-11T01:40:49.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-11T01:40:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT12M00.00S,2024-01-11T01:40:57.2Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612744,0,0,2024-01-11T01:47:46Z,27500,False,,,0,,Jump Ball K. Looney vs. J. Valanciunas: Tip to K. Thompson,"[202691, 1626172, 202685]",1610612744.0,GSW,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Looney,1626172.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
3,PT11M44.00S,2024-01-11T01:41:04.8Z,1,REGULAR,turnover,bad pass,[],1630228,,,1610612744,0,0,2024-01-11T01:41:16Z,30000,False,,,0,,J. Kuminga bad pass TURNOVER (1 TO),"[1630228, 1630529]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Center,1.0,Jones,1630529.0,,,,,,,,,,,,,,,,,
4,PT11M44.00S,2024-01-11T01:41:04.8Z,1,REGULAR,steal,,[],1630529,,,1610612740,0,0,2024-01-11T01:41:09Z,40000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
5,PT11M33.00S,2024-01-11T01:41:15.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,69.20170827858082,74.50980392156863,1610612740,0,0,2024-01-11T01:41:31Z,50000,False,123.0,237.0,1,right,MISS C. McCollum 26' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,,26.68,Missed,,,,,,,,,,,,,,,
6,PT11M31.00S,2024-01-11T01:41:17.2Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,0,0,2024-01-11T01:41:31Z,60000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Right Center,,,,,,5.0,1.0,1.0,0.0,,,,,,,,,,,
7,PT11M19.00S,2024-01-11T01:41:30.6Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,0,0,2024-01-11T01:41:42Z,70000,False,,,0,,S. Curry bad pass out-of-bounds TURNOVER (1 TO),[201939],1610612744.0,GSW,bad pass,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,,,,,,,202049.0,,,,,,,,,,
8,PT11M04.00S,2024-01-11T01:41:53.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630529,93.11760840998686,3.431372549019608,1610612740,0,3,2024-01-11T01:42:03Z,80000,False,-233.0,12.0,1,right,H. Jones 3PT  (3 PTS) (Z. Williamson 1 AST),"[1630529, 1629627]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Left Corner 3,24+ Left,,,,23.31,Made,,,,,,3.0,Z. Williamson,1629627.0,1.0,,,,,,
10,PT10M53.00S,2024-01-11T01:42:04.4Z,1,REGULAR,2pt,Jump Shot,[],1641764,4.812746386333772,93.62745098039215,1610612744,0,3,2024-01-11T01:42:12Z,100000,False,-218.0,-7.0,1,left,MISS B. Podziemski 21' Jump Shot,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Mid-Range,24+ Left,,,,21.82,Missed,,,,,,,,,,,,,,,
11,PT10M49.00S,2024-01-11T01:42:08.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,3,2024-01-11T01:42:22Z,110000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,24+ Left,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT10M45.00S,2024-01-11T01:42:12.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,69.72733245729303,16.666666666666664,1610612740,0,6,2024-01-11T01:43:31Z,120000,False,-167.0,232.0,1,right,C. McCollum 28' 3PT running pullup (3 PTS) (H. Jones 1 AST),"[203468, 1630529]",1610612740.0,NOP,running pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,,28.58,Made,,,,,,3.0,H. Jones,1630529.0,1.0,,,,,,
14,PT10M23.00S,2024-01-11T01:42:33.4Z,1,REGULAR,2pt,Jump Shot,[],201939,12.040078843626807,29.166666666666668,1610612744,2,6,2024-01-11T01:42:45Z,140000,False,104.0,61.0,1,left,S. Curry 12' driving floating bank Jump Shot (2 PTS) (J. Kuminga 1 AST),"[201939, 1630228]",1610612744.0,GSW,driving floating bank,,,Curry,S. Curry,,,,,Mid-Range,8-16 Right,,,,12.06,Made,,,,,,2.0,J. Kuminga,1630228.0,1.0,,,,,,
16,PT10M15.00S,2024-01-11T01:42:42.6Z,1,REGULAR,3pt,Jump Shot,[],202685,65.52233902759527,47.05882352941176,1610612740,2,9,2024-01-11T01:42:55Z,160000,False,-15.0,272.0,1,right,J. Valanciunas 27' 3PT  (3 PTS) (Z. Williamson 2 AST),"[202685, 1629627]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,,27.2,Made,,,,,,3.0,Z. Williamson,1629627.0,2.0,,,,,,
18,PT10M03.00S,2024-01-11T01:42:54.2Z,1,REGULAR,3pt,Jump Shot,[],201939,32.670827858081466,60.049019607843135,1610612744,2,9,2024-01-11T02:42:01Z,180000,False,-50.0,255.0,1,left,MISS S. Curry 25' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,25.95,Missed,,,,,,,,,,,,,,,
19,PT09M58.00S,2024-01-11T01:42:59.2Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,2,9,2024-01-11T01:43:07Z,190000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT09M55.00S,2024-01-11T01:43:02.5Z,1,REGULAR,3pt,Jump Shot,[],1627742,65.25952693823915,31.61764705882353,1610612740,2,9,2024-01-11T01:43:16Z,200000,False,-92.0,274.0,1,right,MISS B. Ingram 28' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,28.91,Missed,,,,,,,,,,,,,,,
21,PT09M52.00S,2024-01-11T01:43:05.5Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,2,9,2024-01-11T01:43:16Z,210000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,
22,PT09M50.00S,2024-01-11T01:43:08.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202691,5.206964520367937,53.92156862745098,1610612744,4,9,2024-01-11T01:43:24Z,220000,False,-20.0,-4.0,1,left,K. Thompson running Layup (2 PTS) (B. Podziemski 1 AST),"[202691, 1641764]",1610612744.0,GSW,running,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,,1.99,Made,,,,,,2.0,B. Podziemski,1641764.0,1.0,,,,,,
24,PT09M35.00S,2024-01-11T01:43:21.9Z,1,REGULAR,3pt,Jump Shot,[],202685,71.04139290407359,79.90196078431373,1610612740,4,12,2024-01-11T01:43:31Z,240000,False,150.0,220.0,1,right,J. Valanciunas 26' 3PT  (6 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,26.57,Made,,,,,,6.0,C. McCollum,203468.0,1.0,,,,,,
26,PT09M24.00S,2024-01-11T01:43:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,9.937582128777924,46.07843137254902,1610612744,4,12,2024-01-11T01:43:56Z,260000,False,20.0,41.0,1,left,MISS S. Curry driving Layup - blocked,"[201939, 1630529]",1610612744.0,GSW,driving,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,4.54,Missed,,,,,,,,,,Jones,1630529.0,,,,
27,PT09M24.00S,2024-01-11T01:43:34.2Z,1,REGULAR,block,,[],1630529,,,1610612744,4,12,2024-01-11T01:43:37Z,270000,False,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M24.00S,2024-01-11T01:43:34.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,4,12,2024-01-11T01:43:56Z,280000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,26.0,,,,,,,,,,,,,,
