actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-14T19:41:19.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-14T19:41:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-04-14T19:41:20.9Z,1,REGULAR,jumpball,recovered,[],1630548,,,1610612762,0,0,2024-04-14T19:41:20Z,40000,False,,,0,,Jump Ball O. Yurtseven vs. T. Jackson-Davis: Tip to J. Juzang,"[1630548, 1630209, 1631218]",1610612762.0,UTA,startperiod,J. Juzang,1630548.0,Juzang,J. Juzang,Yurtseven,1630209.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-04-14T19:41:38.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630209,93.24901445466492,40.44117647058824,1610612762,0,2,2024-04-14T19:43:09Z,70000,False,-48.0,11.0,1,right,O. Yurtseven Hook (2 PTS) (T. Hendricks 1 AST),"[1630209, 1641707]",1610612762.0,UTA,,,,Yurtseven,O. Yurtseven,,,,,In The Paint (Non-RA),0-8 Center,4.9,Made,2.0,T. Hendricks,1641707.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-04-14T19:41:57.3Z,1,REGULAR,2pt,Jump Shot,[],203952,28.038764783180028,54.90196078431372,1610612744,2,2,2024-04-14T19:42:11Z,90000,False,-25.0,211.0,1,left,A. Wiggins 21' step back Jump Shot (2 PTS) (C. Paul 1 AST),"[203952, 101108]",1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Center,21.25,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
10,PT11M02.00S,2024-04-14T19:42:21.6Z,1,REGULAR,turnover,double dribble,[],1630209,,,1610612762,2,2,2024-04-14T19:42:32Z,100000,False,,,0,,O. Yurtseven double dribble TURNOVER (1 TO),[1630209],1610612762.0,UTA,,,,Yurtseven,O. Yurtseven,,,,,Above the Break 3,24+ Left Center,,,,,,,202041.0,1.0,,,,,,,,,,,,
11,PT10M51.00S,2024-04-14T19:42:39.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203952,21.632720105124836,29.411764705882355,1610612744,2,2,2024-04-14T19:42:45Z,110000,False,103.0,151.0,1,left,MISS A. Wiggins 18' pullup Shot,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Right Center,18.26,Missed,,,,,,,,,,,,,,,,,,
12,PT10M45.00S,2024-04-14T19:42:45.4Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612762,2,2,2024-04-14T19:42:45Z,120000,False,,,0,,O. Yurtseven REBOUND (Off:0 Def:1),[1630209],1610612762.0,UTA,,,,Yurtseven,O. Yurtseven,,,,,Mid-Range,16-24 Right Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M39.00S,2024-04-14T19:42:51.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641718,93.24901445466492,55.392156862745104,1610612762,2,4,2024-04-14T19:42:54Z,130000,False,27.0,11.0,1,right,K. George driving Layup (2 PTS),[1641718],1610612762.0,UTA,driving,,,George,K. George,,,,,Restricted Area,0-8 Center,2.92,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M23.00S,2024-04-14T19:43:07.0Z,1,REGULAR,3pt,Jump Shot,[],202691,31.750985545335087,25.245098039215684,1610612744,2,4,2024-04-14T19:43:14Z,140000,False,124.0,246.0,1,left,MISS K. Thompson 27' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,27.54,Missed,,,,,,,,,,,,,,,,,,
15,PT10M19.00S,2024-04-14T19:43:11.0Z,1,REGULAR,rebound,defensive,[],1629677,,,1610612762,2,4,2024-04-14T19:43:14Z,150000,False,,,0,,L. Samanic REBOUND (Off:0 Def:1),[1629677],1610612762.0,UTA,,,,Samanic,L. Samanic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
