actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-17T01:40:56.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-17T01:40:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2023-12-17T01:40:58.6Z,1,REGULAR,jumpball,recovered,[],1630228,,,1610612744,0,0,2023-12-17T01:40:58Z,40000,False,,,0,,Jump Ball K. Looney vs. N. Claxton: Tip to J. Kuminga,"[1630228, 1626172, 1629651]",1610612744.0,GSW,startperiod,J. Kuminga,1630228.0,Kuminga,J. Kuminga,Looney,1626172.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-12-17T01:41:17.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'defensivegoaltending']",1630228,9.937582128777924,50.245098039215684,1610612744,2,0,2023-12-17T01:41:31Z,70000,False,-1.0,41.0,1,left,J. Kuminga driving floating Jump Shot (2 PTS),[1630228],1610612744.0,GSW,driving floating,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,4.09,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-12-17T01:41:23.4Z,1,REGULAR,violation,defensive goaltending,[],1629651,,,1610612744,2,0,2023-12-17T01:41:31Z,80000,False,,,0,,N. Claxton defensive goaltending VIOLATION,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,1151.0,,,,,,,,,,,,,,,,
9,PT11M23.00S,2023-12-17T01:41:43.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,92.72339027595268,54.166666666666664,1610612751,2,0,2023-12-17T01:41:50Z,90000,False,21.0,16.0,1,right,MISS N. Claxton driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,2.62,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2023-12-17T01:41:45.0Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,2,0,2023-12-17T01:41:50Z,100000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,
11,PT11M20.00S,2023-12-17T01:41:46.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629651,90.09526938239159,48.03921568627451,1610612751,2,2,2023-12-17T01:42:11Z,110000,False,-10.0,41.0,1,right,N. Claxton putback Layup (2 PTS),[1629651],1610612751.0,BKN,putback,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,4.18,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2023-12-17T01:41:59.6Z,1,REGULAR,3pt,Jump Shot,[],1641764,21.895532194480946,90.93137254901961,1610612744,5,2,2023-12-17T01:42:03Z,120000,False,-205.0,153.0,1,left,B. Podziemski 25' 3PT  (3 PTS) (K. Thompson 1 AST),"[1641764, 202691]",1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,25.57,Made,3.0,,,,,,K. Thompson,202691.0,1.0,,,,,,,,,
14,PT10M44.00S,2023-12-17T01:42:22.2Z,1,REGULAR,3pt,Jump Shot,[],1629661,93.38042049934296,4.411764705882353,1610612751,5,2,2023-12-17T01:42:27Z,140000,False,-228.0,10.0,1,right,MISS C. Johnson 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,22.81,Missed,,,,,,,,,,,,,,,,,,
15,PT10M41.00S,2023-12-17T01:42:25.2Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,5,2,2023-12-17T01:42:27Z,150000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Left Corner 3,24+ Left,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
