actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-10T01:40:30.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-10T01:40:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-10T01:40:33.2Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2024-03-10T01:40:33Z,40000,False,,,0,,Jump Ball T. Jackson-Davis vs. Z. Collins: Tip to D. Green,"[203110, 1631218, 1628380]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Jackson-Davis,1631218.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-03-10T01:40:44.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,14.4053876478318,45.588235294117645,1610612744,2,0,2024-03-10T01:40:49Z,70000,False,22.0,83.0,1,left,C. Paul 8' pullup Jump Shot (2 PTS),[101108],1610612744.0,GSW,pullup,,,Paul,C. Paul,,,,,In The Paint (Non-RA),8-16 Center,8.58,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2024-03-10T01:41:03.8Z,1,REGULAR,2pt,Jump Shot,[],1628380,77.21747700394218,48.03921568627451,1610612759,2,2,2024-03-10T01:41:07Z,80000,False,-10.0,162.0,1,right,Z. Collins 16' Jump Shot (2 PTS) (T. Jones 1 AST),"[1628380, 1630200]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,16-24 Center,16.2,Made,2.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,,,
10,PT11M07.00S,2024-03-10T01:41:22.7Z,1,REGULAR,2pt,Jump Shot,[],1630228,22.946780551905388,58.333333333333336,1610612744,2,2,2024-03-10T01:41:27Z,100000,False,-42.0,163.0,1,left,MISS J. Kuminga 16' pullup Shot,[1630228],1610612744.0,GSW,pullup,,,Kuminga,J. Kuminga,,,,,Mid-Range,16-24 Center,16.84,Missed,,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2024-03-10T01:41:24.7Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,2,2,2024-03-10T01:41:27Z,110000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M56.00S,2024-03-10T01:41:33.9Z,1,REGULAR,3pt,Jump Shot,[],1631110,65.52233902759527,33.33333333333333,1610612759,2,5,2024-03-10T01:41:38Z,120000,False,-83.0,272.0,1,right,J. Sochan 28' 3PT  (3 PTS) (M. Branham 1 AST),"[1631110, 1631103]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Center,28.41,Made,3.0,M. Branham,1631103.0,1.0,,,,,,,,,,,,,,
14,PT10M34.00S,2024-03-10T01:41:55.3Z,1,REGULAR,3pt,Jump Shot,[],101108,21.632720105124836,87.00980392156863,1610612744,2,5,2024-03-10T01:42:00Z,140000,False,-185.0,151.0,1,left,MISS C. Paul 3PT,[101108],1610612744.0,GSW,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,23.87,Missed,,,,,,,,,,,,,,,,,,
15,PT10M30.00S,2024-03-10T01:41:59.3Z,1,REGULAR,rebound,defensive,[],1631103,,,1610612759,2,5,2024-03-10T01:42:00Z,150000,False,,,0,,M. Branham REBOUND (Off:0 Def:1),[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Left Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M24.00S,2024-03-10T01:42:07.6Z,1,REGULAR,violation,kicked ball,[],1630228,,,1610612759,2,5,2024-03-10T01:42:20Z,170000,False,,,0,,J. Kuminga kicked ball VIOLATION,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,1628480.0,,,,,,,,,
