actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-07T03:10:48.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-07T03:10:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-07T03:10:51.3Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612744,0,0,2023-12-07T03:10:51Z,40000,False,,,0,,Jump Ball K. Looney vs. D. Reath: Tip to K. Thompson,"[202691, 1626172, 1641871]",1610612744.0,GSW,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Looney,1626172.0,Reath,1641871.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-12-07T03:11:04.5Z,1,REGULAR,2pt,Jump Shot,[],202691,82.07950065703022,76.22549019607843,1610612744,0,0,2023-12-07T03:11:09Z,70000,False,131.0,116.0,1,right,MISS K. Thompson 17' Jump Shot,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Right Center,17.51,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-12-07T03:11:06.5Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,0,0,2023-12-07T03:11:32Z,80000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2023-12-07T03:11:20.0Z,1,REGULAR,violation,kicked ball,[],202691,,,1610612757,0,0,2023-12-07T03:11:25Z,90000,False,,,0,,K. Thompson kicked ball VIOLATION,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,1628487.0,,,,,,,,,,,,,
10,PT11M24.00S,2023-12-07T03:11:39.8Z,1,REGULAR,3pt,Jump Shot,[],1629014,29.38567674113009,70.34313725490196,1610612757,0,0,2023-12-07T03:11:47Z,100000,False,-102.0,224.0,1,left,MISS A. Simons 24' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,24.57,Missed,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2023-12-07T03:11:41.8Z,1,REGULAR,rebound,offensive,[],1641871,,,1610612757,0,0,2023-12-07T03:11:47Z,110000,False,,,0,,D. Reath REBOUND (Off:1 Def:0),[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,Above the Break 3,24+ Left Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M22.00S,2023-12-07T03:11:44.5Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612757,0,0,2023-12-07T03:11:54Z,120000,False,,,0,,D. Green shooting personal FOUL (1 PF) (Reath 2 FT),"[203110, 1641871]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,,1626302.0,1.0,0.0,Reath,1641871.0,,,,,,,,,
14,PT11M22.00S,2023-12-07T03:12:09.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1641871,,,1610612757,0,1,2023-12-07T03:12:09Z,140000,False,,,0,,D. Reath Free Throw 1 of 2 (1 PTS),[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
15,PT11M22.00S,2023-12-07T03:12:26.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1641871,,,1610612757,0,2,2023-12-07T03:12:26Z,150000,False,,,0,,D. Reath Free Throw 2 of 2 (2 PTS),[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
16,PT11M03.00S,2023-12-07T03:12:46.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,92.46057818659659,60.049019607843135,1610612744,0,2,2023-12-07T03:12:53Z,160000,False,50.0,18.0,1,right,MISS A. Wiggins driving finger roll Layup,[203952],1610612744.0,GSW,driving finger roll,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,5.35,Missed,,,,,,,,,,,,,,,,,,
17,PT11M00.00S,2023-12-07T03:12:49.3Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,0,2,2023-12-07T03:12:53Z,170000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M53.00S,2023-12-07T03:12:56.4Z,1,REGULAR,3pt,Jump Shot,[],1641739,30.305519053876477,75.24509803921569,1610612757,0,2,2023-12-07T03:13:02Z,180000,False,-126.0,232.0,1,left,MISS T. Camara 26' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,26.45,Missed,,,,,,,,,,,,,,,,,,
19,PT10M49.00S,2023-12-07T03:13:00.4Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,2,2023-12-07T03:13:02Z,190000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M42.00S,2023-12-07T03:13:07.5Z,1,REGULAR,3pt,Jump Shot,[],203110,67.7562417871222,63.48039215686274,1610612744,0,2,2023-12-07T03:13:11Z,200000,False,67.0,251.0,1,right,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,25.95,Missed,,,,,,,,,,,,,,,,,,
21,PT10M39.00S,2023-12-07T03:13:10.5Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,0,2,2023-12-07T03:13:11Z,210000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:2),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT10M33.00S,2023-12-07T03:13:16.6Z,1,REGULAR,2pt,Jump Shot,[],1631101,23.99802890932983,36.029411764705884,1610612757,0,4,2023-12-07T03:13:35Z,220000,False,70.0,173.0,1,left,S. Sharpe 18' pullup Jump Shot (2 PTS),[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Right Center,18.67,Made,,,,,,,,,,2.0,,,,,,,,
24,PT10M23.00S,2023-12-07T03:13:41.9Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,0,4,2023-12-07T03:13:53Z,240000,False,,,0,,S. Curry lost ball out-of-bounds TURNOVER (1 TO),[201939],1610612744.0,GSW,lost ball,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,,,,1179.0,,,,,,1.0,,,,,,,
25,PT10M05.00S,2023-12-07T03:14:10.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641871,30.831143232588698,27.205882352941174,1610612757,0,4,2023-12-07T03:14:16Z,250000,False,114.0,237.0,1,left,MISS D. Reath 26' 3PT,[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,Above the Break 3,24+ Right Center,26.33,Missed,,,,,,,,,,,,,,,,,,
26,PT10M03.00S,2023-12-07T03:14:12.3Z,1,REGULAR,rebound,offensive,[],1641739,,,1610612757,0,4,2023-12-07T03:15:28Z,260000,False,,,0,,T. Camara REBOUND (Off:1 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,,,
27,PT09M59.00S,2023-12-07T03:14:16.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1641739,3.3672798948751645,96.32352941176471,1610612757,0,4,2023-12-07T03:14:20Z,270000,False,-232.0,-21.0,1,left,MISS T. Camara 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,23.25,Missed,,,,,,,,,,,,,,,,,,
28,PT09M56.00S,2023-12-07T03:14:19.1Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,4,2023-12-07T03:14:20Z,280000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Left Corner 3,24+ Left,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M45.00S,2023-12-07T03:14:32.4Z,1,REGULAR,foul,personal,['2freethrow'],1629014,,,1610612744,0,4,2023-12-07T03:14:46Z,290000,False,,,0,,A. Simons shooting personal FOUL (1 PF) (Thompson 2 FT),"[1629014, 202691]",1610612757.0,POR,shooting,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1628487.0,1.0,0.0,Thompson,202691.0,,,,,,,,,
31,PT09M45.00S,2023-12-07T03:15:04.1Z,1,REGULAR,freethrow,1 of 2,[],202691,,,1610612744,1,4,2023-12-07T03:15:04Z,310000,False,,,0,,K. Thompson Free Throw 1 of 2 (1 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
32,PT09M45.00S,2023-12-07T03:15:23.9Z,1,REGULAR,freethrow,2 of 2,[],202691,,,1610612744,2,4,2023-12-07T03:15:23Z,320000,False,,,0,,K. Thompson Free Throw 2 of 2 (2 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
33,PT09M31.00S,2023-12-07T03:15:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641871,6.521024967148489,38.48039215686275,1610612757,2,6,2023-12-07T03:15:47Z,330000,False,58.0,9.0,1,left,D. Reath driving Layup (4 PTS) (A. Simons 1 AST),"[1641871, 1629014]",1610612757.0,POR,driving,,,Reath,D. Reath,,,,,In The Paint (Non-RA),0-8 Center,5.83,Made,,,,,,,,,,4.0,,A. Simons,1629014.0,1.0,,,,
35,PT09M11.00S,2023-12-07T03:16:01.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,91.80354796320631,45.09803921568628,1610612744,4,6,2023-12-07T03:16:05Z,350000,False,-25.0,25.0,1,right,K. Looney Layup (2 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,3.46,Made,,,,,,,,,,2.0,,,,,,,,
37,PT08M58.00S,2023-12-07T03:16:13.7Z,1,REGULAR,2pt,Jump Shot,[],1629014,12.959921156373195,77.69607843137256,1610612757,4,6,2023-12-07T03:16:24Z,370000,False,-138.0,69.0,1,left,MISS A. Simons 15' step back Shot,[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,Mid-Range,8-16 Left,15.49,Missed,,,,,,,,,,,,,,,,,,
38,PT08M53.00S,2023-12-07T03:16:18.7Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,4,6,2023-12-07T03:16:52Z,380000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Left,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT08M51.00S,2023-12-07T03:16:28.8Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,4,6,2023-12-07T03:20:09Z,390000,False,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,Mid-Range,16-24 Left,,,,,,,1626302.0,,,,,,1.0,,,,,,,
40,PT08M38.00S,2023-12-07T03:16:46.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629014,33.459264126149804,46.07843137254902,1610612757,4,9,2023-12-07T03:16:53Z,400000,False,20.0,262.0,1,left,A. Simons 26' 3PT  (3 PTS) (S. Sharpe 1 AST),"[1629014, 1631101]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,26.27,Made,,,,,,,,,,3.0,,S. Sharpe,1631101.0,1.0,,,,
42,PT08M12.00S,2023-12-07T03:17:12.2Z,1,REGULAR,2pt,Jump Shot,[],203952,93.9060446780552,13.970588235294118,1610612744,6,9,2023-12-07T03:17:16Z,420000,False,-180.0,5.0,1,right,A. Wiggins 18' pullup Jump Shot (2 PTS) (D. Green 1 AST),"[203952, 203110]",1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Left,18.02,Made,,,,,,,,,,2.0,,D. Green,203110.0,1.0,,,,
44,PT07M59.00S,2023-12-07T03:17:25.3Z,1,REGULAR,3pt,Jump Shot,[],1627763,26.363337713534822,80.14705882352942,1610612757,6,9,2023-12-07T03:17:34Z,440000,False,-151.0,195.0,1,left,MISS M. Brogdon 24' 3PT,[1627763],1610612757.0,POR,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Left Center,24.67,Missed,,,,,,,,,,,,,,,,,,
45,PT07M59.00S,2023-12-07T03:17:25.3Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,6,9,2023-12-07T03:17:34Z,450000,False,,,0,,K. Thompson REBOUND (Off:0 Def:2),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT07M39.00S,2023-12-07T03:17:45.6Z,1,REGULAR,2pt,Jump Shot,[],203952,74.19513797634691,57.59803921568627,1610612744,6,9,2023-12-07T03:17:49Z,460000,False,38.0,190.0,1,right,MISS A. Wiggins 19' pullup Shot,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Center,19.39,Missed,,,,,,,,,,,,,,,,,,
48,PT07M36.00S,2023-12-07T03:17:48.6Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,6,9,2023-12-07T03:17:49Z,470000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:3),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Center,,,47.0,3.0,3.0,0.0,,,,,,,,,,,,,,
49,PT07M27.00S,2023-12-07T03:17:57.0Z,1,REGULAR,3pt,Jump Shot,[],1631101,20.318659658344284,90.93137254901961,1610612757,6,12,2023-12-07T03:18:01Z,480000,False,-205.0,138.0,1,left,S. Sharpe 24' 3PT pullup (5 PTS),[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,24.72,Made,,,,,,,,,,5.0,,,,,,,,
50,PT07M14.00S,2023-12-07T03:18:10.5Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,6,12,2023-12-07T03:18:16Z,490000,False,,,0,,S. Curry bad pass TURNOVER (2 TO),"[201939, 1641871]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2.0,,,,Reath,1641871.0,,
51,PT07M14.00S,2023-12-07T03:18:10.5Z,1,REGULAR,steal,,[],1641871,,,1610612757,6,12,2023-12-07T03:18:12Z,500000,False,,,0,,D. Reath STEAL (1 STL),[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
52,PT07M12.00S,2023-12-07T03:18:14.4Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612757,6,12,2023-12-07T03:18:25Z,510000,False,,,0,,K. Looney shooting personal FOUL (1 PF) (Reath 2 FT),"[1626172, 1641871]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628487.0,1.0,0.0,Reath,1641871.0,,,,,,,,,
54,PT07M12.00S,2023-12-07T03:18:45.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1641871,,,1610612757,6,12,2023-12-07T03:18:45Z,530000,False,,,0,,MISS D. Reath Free Throw 1 of 2,[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
55,PT07M12.00S,2023-12-07T03:18:45.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,6,12,2023-12-07T03:18:45Z,540000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,
56,PT07M12.00S,2023-12-07T03:18:46.0Z,1,REGULAR,substitution,out,[],202691,,,1610612757,6,12,2023-12-07T03:18:51Z,550000,False,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M12.00S,2023-12-07T03:18:46.0Z,1,REGULAR,substitution,in,[],1630541,,,1610612757,6,12,2023-12-07T03:18:51Z,560000,False,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M12.00S,2023-12-07T03:19:10.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1641871,,,1610612757,6,13,2023-12-07T03:19:10Z,570000,False,,,0,,D. Reath Free Throw 2 of 2 (5 PTS),[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,,,,Made,,,,,,,,,,5.0,,,,,,,,
59,PT07M08.00S,2023-12-07T03:19:19.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,6,13,2023-12-07T03:19:19Z,580000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M04.00S,2023-12-07T03:22:22.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201939,83.39356110381078,45.09803921568628,1610612744,6,13,2023-12-07T03:22:29Z,590000,False,-25.0,104.0,1,right,MISS S. Curry 10' turnaround Shot,[201939],1610612744.0,GSW,turnaround,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,10.65,Missed,,,,,,,,,,,,,,,,,,
61,PT07M00.00S,2023-12-07T03:22:26.9Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,6,13,2023-12-07T03:22:29Z,600000,False,,,0,,T. Camara REBOUND (Off:1 Def:2),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,In The Paint (Non-RA),8-16 Center,,,60.0,3.0,2.0,1.0,,,,,,,,,,,,,,
62,PT06M45.00S,2023-12-07T03:22:40.9Z,1,REGULAR,3pt,Jump Shot,[],1631101,25.57490144546649,85.29411764705883,1610612757,6,13,2023-12-07T03:22:47Z,610000,False,-176.0,188.0,1,left,MISS S. Sharpe 25' step back 3PT,[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,25.78,Missed,,,,,,,,,,,,,,,,,,
63,PT06M42.00S,2023-12-07T03:22:43.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,6,13,2023-12-07T03:22:47Z,620000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,62.0,2.0,2.0,0.0,,,,,,,,,,,,,,
64,PT06M35.00S,2023-12-07T03:22:51.2Z,1,REGULAR,3pt,Jump Shot,[],201939,68.15045992115637,64.2156862745098,1610612744,6,13,2023-12-07T03:23:09Z,630000,False,71.0,247.0,1,right,MISS S. Curry 25' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,25.69,Missed,,,,,,,,,,,,,,,,,,
65,PT06M32.00S,2023-12-07T03:22:54.2Z,1,REGULAR,rebound,offensive,[],1630541,,,1610612744,6,13,2023-12-07T03:23:04Z,640000,False,,,0,,M. Moody REBOUND (Off:1 Def:0),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Center,,,64.0,1.0,0.0,1.0,,,,,,,,,,,,,,
66,PT06M32.00S,2023-12-07T03:22:55.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630541,94.40999984741211,50.0,1610612744,6,13,2023-12-07T03:22:55Z,650000,False,0.0,0.0,1,right,MISS M. Moody tip Layup,[1630541],1610612744.0,GSW,tip,,,Moody,M. Moody,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
