actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-26T03:15:46.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-26T03:15:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-26T03:15:48.1Z,1,REGULAR,jumpball,recovered,[],203967,,,1610612744,0,0,2024-01-26T03:15:48Z,40000,False,,,0,,Jump Ball K. Looney vs. D. Sabonis: Tip to D. Saric,"[203967, 1626172, 1627734]",1610612744.0,GSW,startperiod,D. Saric,203967.0,Saric,D. Saric,Looney,1626172.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-01-26T03:16:02.1Z,1,REGULAR,3pt,Jump Shot,[],201939,71.82982917214193,17.15686274509804,1610612744,3,0,2024-01-26T03:16:13Z,70000,False,-164.0,212.0,1,right,S. Curry 26' 3PT pullup (3 PTS) (A. Wiggins 1 AST),"[201939, 203952]",1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,26.84,Made,3.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2024-01-26T03:16:15.0Z,1,REGULAR,3pt,Jump Shot,[],1628989,26.363337713534822,85.5392156862745,1610612758,3,3,2024-01-26T03:16:21Z,90000,False,-178.0,195.0,1,left,K. Huerter 26' 3PT  (3 PTS) (D. Fox 1 AST),"[1628989, 1628368]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,26.4,Made,3.0,D. Fox,1628368.0,1.0,,,,,,,,,,,,,,
11,PT11M18.00S,2024-01-26T03:16:31.2Z,1,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612744,3,3,2024-01-26T03:16:41Z,110000,False,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1627734, 203952]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202041.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,
13,PT11M18.00S,2024-01-26T03:17:16.2Z,1,REGULAR,freethrow,1 of 2,[],203952,,,1610612744,3,3,2024-01-26T03:17:16Z,130000,False,,,0,,MISS A. Wiggins Free Throw 1 of 2,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M18.00S,2024-01-26T03:17:16.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,3,3,2024-01-26T03:17:16Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,
15,PT11M18.00S,2024-01-26T03:17:37.2Z,1,REGULAR,freethrow,2 of 2,[],203952,,,1610612744,4,3,2024-01-26T03:17:37Z,150000,False,,,0,,A. Wiggins Free Throw 2 of 2 (1 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
16,PT11M04.00S,2024-01-26T03:17:52.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,12.565703022339028,47.30392156862745,1610612758,4,3,2024-01-26T03:18:06Z,160000,False,13.0,66.0,1,left,MISS H. Barnes 6' fadeaway Shot,[203084],1610612758.0,SAC,fadeaway,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,6.7,Missed,,,,,,,,,,,,,,,,,,
17,PT11M01.00S,2024-01-26T03:17:55.6Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,4,3,2024-01-26T03:18:06Z,170000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
