actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-13T01:40:40.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-13T01:40:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-13T01:40:42.8Z,1,REGULAR,jumpball,recovered,[],1626157,,,1610612750,0,0,2023-11-13T01:40:42Z,40000,False,,,0,,Jump Ball R. Gobert vs. K. Looney: Tip to K. Towns,"[1626157, 203497, 1626172]",1610612750.0,MIN,startperiod,K. Towns,1626157.0,Towns,K. Towns,Gobert,203497.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-11-13T01:41:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,6.915243101182654,54.65686274509803,1610612750,0,2,2023-11-13T01:41:05Z,70000,False,-23.0,13.0,1,left,J. McDaniels driving finger roll Layup (2 PTS) (M. Conley 1 AST),"[1630183, 201144]",1610612750.0,MIN,driving finger roll,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,2.64,Made,2.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,,
10,PT11M18.00S,2023-11-13T01:41:42.7Z,1,REGULAR,3pt,Jump Shot,[],203110,68.01905387647832,70.09803921568627,1610612744,0,2,2023-11-13T01:41:45Z,100000,False,100.0,248.0,1,right,MISS D. Green 26' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,26.77,Missed,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2023-11-13T01:41:46.2Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,2,2023-11-13T01:41:46Z,110000,False,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Right Center,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,
12,PT11M07.00S,2023-11-13T01:41:53.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,91.40932982917214,95.83333333333334,1610612744,0,2,2023-11-13T01:42:21Z,120000,False,229.0,28.0,1,right,MISS S. Curry step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Right Corner 3,24+ Right,23.09,Missed,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2023-11-13T01:41:55.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,2,2023-11-13T01:42:10Z,130000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Right Corner 3,24+ Right,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M01.00S,2023-11-13T01:42:02.6Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,0,2,2023-11-13T01:42:04Z,140000,False,,,0,,A. Edwards bad pass out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,bad pass,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,203054.0,1.0,,,,,,,,
15,PT10M53.00S,2023-11-13T01:42:13.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,73.01248357424441,12.5,1610612744,0,2,2023-11-13T01:42:16Z,150000,False,-188.0,201.0,1,right,MISS S. Curry 27' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,27.5,Missed,,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2023-11-13T01:42:15.8Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,0,2,2023-11-13T01:42:27Z,160000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
