actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-25T03:19:48.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-25T03:19:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-25T03:19:51.4Z,1,REGULAR,jumpball,recovered,[],201939,,,1610612744,0,0,2023-11-25T03:19:51Z,40000,False,,,0,,Jump Ball K. Looney vs. V. Wembanyama: Tip to S. Curry,"[201939, 1626172, 1641705]",1610612744.0,GSW,startperiod,S. Curry,201939.0,Curry,S. Curry,Looney,1626172.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-11-25T03:20:02.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630541,94.1688567674113,50.49019607843137,1610612744,2,0,2023-11-25T03:20:06Z,70000,False,2.0,2.0,1,right,M. Moody cutting DUNK (2 PTS) (K. Thompson 1 AST),"[1630541, 202691]",1610612744.0,GSW,cutting,,,Moody,M. Moody,,,,,Restricted Area,0-8 Center,0.34,Made,2.0,K. Thompson,202691.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2023-11-25T03:20:22.3Z,1,REGULAR,3pt,Jump Shot,[],1631103,24.129434954007884,7.352941176470589,1610612759,2,0,2023-11-25T03:20:25Z,90000,False,213.0,174.0,1,left,MISS M. Branham 27' 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Right Center,27.54,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2023-11-25T03:20:26.3Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,2,0,2023-11-25T03:20:35Z,100000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M03.00S,2023-11-25T03:20:45.2Z,1,REGULAR,2pt,Jump Shot,[],203952,76.42904073587385,37.00980392156863,1610612744,4,0,2023-11-25T03:20:49Z,110000,False,-65.0,169.0,1,right,A. Wiggins 18' step back Jump Shot (2 PTS) (K. Thompson 2 AST),"[203952, 202691]",1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Left Center,18.12,Made,2.0,K. Thompson,202691.0,2.0,,,,,,,,,,,,,,
13,PT10M52.00S,2023-11-25T03:20:59.9Z,1,REGULAR,turnover,lost ball,[],1641705,,,1610612759,4,0,2023-11-25T03:21:07Z,130000,False,,,0,,V. Wembanyama lost ball TURNOVER (1 TO),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,,,,,,,,,
14,PT10M41.00S,2023-11-25T03:21:13.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,71.56701708278581,85.29411764705883,1610612744,4,0,2023-11-25T03:21:15Z,140000,False,176.0,215.0,1,right,MISS S. Curry 27' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,27.8,Missed,,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2023-11-25T03:21:16.1Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,4,0,2023-11-25T03:21:16Z,150000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M34.00S,2023-11-25T03:21:21.4Z,1,REGULAR,foul,personal,[],1626172,,,1610612759,4,0,2023-11-25T03:21:41Z,160000,False,,,0,,K. Looney personal FOUL (1 PF),"[1626172, 1641705]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,203593.0,1.0,0.0,Wembanyama,1641705.0,,,,
