actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-08T01:42:13.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-08T01:42:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-08T01:42:14.8Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612761,0,0,2024-01-08T01:42:14Z,40000,False,,,0,,Jump Ball J. Poeltl vs. T. Jackson-Davis: Tip to I. Quickley,"[1630193, 1627751, 1631218]",1610612761.0,TOR,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Poeltl,1627751.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-01-08T01:42:24.3Z,1,REGULAR,3pt,Jump Shot,[],1629628,70.64717477003943,79.41176470588235,1610612761,0,3,2024-01-08T01:42:28Z,70000,False,147.0,223.0,1,right,R. Barrett 26' 3PT  (3 PTS) (I. Quickley 1 AST),"[1629628, 1630193]",1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,26.75,Made,3.0,I. Quickley,1630193.0,1.0,,,,,,,,,,,,,,
9,PT11M42.00S,2024-01-08T01:42:34.0Z,1,REGULAR,turnover,out-of-bounds,[],1630228,,,1610612744,0,3,2024-01-08T01:42:45Z,90000,False,,,0,,J. Kuminga bad pass out-of-bounds TURNOVER (1 TO),[1630228],1610612744.0,GSW,bad pass,,,Kuminga,J. Kuminga,,,,,Mid-Range,8-16 Right,,,,,,,1151.0,1.0,,,,,,,,,,,,
10,PT11M33.00S,2024-01-08T01:43:01.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627751,89.96386333771353,65.68627450980392,1610612761,0,5,2024-01-08T01:43:06Z,100000,False,78.0,42.0,1,right,J. Poeltl 8' Hook (2 PTS) (I. Quickley 2 AST),"[1627751, 1630193]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Right,8.88,Made,2.0,I. Quickley,1630193.0,2.0,,,,,,,,,,,,,,
12,PT11M08.00S,2024-01-08T01:43:25.9Z,1,REGULAR,turnover,lost ball,[],203952,,,1610612744,0,5,2024-01-08T01:43:30Z,120000,False,,,0,,A. Wiggins lost ball TURNOVER (1 TO),"[203952, 1630193]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,,,,,,,,1.0,Quickley,1630193.0,,,,,,,,,,
13,PT11M08.00S,2024-01-08T01:43:25.9Z,1,REGULAR,steal,,[],1630193,,,1610612761,0,5,2024-01-08T01:43:44Z,130000,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2024-01-08T01:43:30.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629628,91.5407358738502,45.09803921568628,1610612761,0,7,2024-01-08T01:43:40Z,140000,False,-25.0,27.0,1,right,R. Barrett running Layup (5 PTS),[1629628],1610612761.0,TOR,running,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,3.65,Made,5.0,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2024-01-08T01:43:39.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630228,7.5722733245729295,54.41176470588235,1610612744,2,7,2024-01-08T01:44:41Z,150000,False,-22.0,19.0,1,left,J. Kuminga driving Layup (2 PTS) (K. Thompson 1 AST),"[1630228, 202691]",1610612744.0,GSW,driving,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,2.89,Made,2.0,K. Thompson,202691.0,1.0,,,,,,,,,,,,,,
17,PT10M43.00S,2024-01-08T01:43:51.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,89.30683311432325,58.333333333333336,1610612761,2,7,2024-01-08T01:45:05Z,170000,False,42.0,48.0,1,right,MISS S. Barnes 6' driving floating Shot,[1630567],1610612761.0,TOR,driving floating,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,6.36,Missed,,,,,,,,,,,,,,,,,,
