actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-15T03:10:48.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-15T03:10:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-15T03:10:50.8Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612744,0,0,2023-11-15T03:10:50Z,40000,False,,,0,,Jump Ball D. Green vs. R. Gobert: Tip to K. Thompson,"[202691, 203110, 203497]",1610612744.0,GSW,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Green,203110.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-11-15T03:11:02.6Z,1,REGULAR,3pt,Jump Shot,[],202691,65.78515111695138,23.284313725490197,1610612744,0,0,2023-11-15T03:11:08Z,70000,False,-134.0,269.0,1,right,MISS K. Thompson 30' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,30.04,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2023-11-15T03:11:02.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,0,0,2023-11-15T03:11:08Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Left Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2023-11-15T03:11:30.1Z,1,REGULAR,2pt,Jump Shot,[],1626157,5.338370565045992,69.85294117647058,1610612750,0,0,2023-11-15T03:11:42Z,100000,False,-99.0,-2.0,1,left,MISS K. Towns 9' turnaround fadeaway Shot,[1626157],1610612750.0,MIN,turnaround fadeaway,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,9.93,Missed,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2023-11-15T03:11:34.1Z,1,REGULAR,rebound,defensive,[],203967,,,1610612744,0,0,2023-11-15T03:11:37Z,110000,False,,,0,,D. Saric REBOUND (Off:0 Def:1),[203967],1610612744.0,GSW,,,,Saric,D. Saric,,,,,Mid-Range,8-16 Left,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M17.00S,2023-11-15T03:11:40.9Z,1,REGULAR,turnover,traveling,[],203967,,,1610612744,0,0,2023-11-15T03:11:48Z,120000,False,,,0,,D. Saric traveling TURNOVER (1 TO),[203967],1610612744.0,GSW,,,,Saric,D. Saric,,,,,Restricted Area,0-8 Center,,,,,,,1626302.0,1.0,,,,,,,,,,,,
13,PT10M56.00S,2023-11-15T03:12:14.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630183,6.1268068331143235,95.34313725490196,1610612750,0,0,2023-11-15T03:12:25Z,130000,False,-227.0,5.0,1,left,MISS J. McDaniels step back 3PT,[1630183],1610612750.0,MIN,step back,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,22.68,Missed,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2023-11-15T03:12:19.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,0,2023-11-15T03:12:19Z,140000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Left Corner 3,24+ Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M40.00S,2023-11-15T03:12:29.2Z,1,REGULAR,3pt,Jump Shot,[],203952,71.43561103810775,75.24509803921569,1610612744,0,0,2023-11-15T03:12:33Z,150000,False,126.0,216.0,1,right,MISS A. Wiggins 25' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,25.02,Missed,,,,,,,,,,,,,,,,,,
