actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-23T02:11:06.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-23T02:11:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-23T02:11:08.3Z,1,REGULAR,jumpball,recovered,[],203952,,,1610612744,0,0,2024-03-23T02:11:08Z,40000,False,,,0,,Jump Ball D. Green vs. M. Turner: Tip to A. Wiggins,"[203952, 203110, 1626167]",1610612744.0,GSW,startperiod,A. Wiggins,203952.0,Wiggins,A. Wiggins,Green,203110.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-03-23T02:11:21.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,10.33180026281209,48.03921568627451,1610612744,2,0,2024-03-23T02:11:25Z,70000,False,10.0,45.0,1,left,A. Wiggins turnaround Jump Shot (2 PTS),[203952],1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,4.57,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2024-03-23T02:11:57.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,82.47371879106439,42.64705882352941,1610612754,2,2,2024-03-23T02:12:01Z,90000,False,-37.0,112.0,1,right,A. Nembhard 11' pullup Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1629614, 1630169]",1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,11.81,Made,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
11,PT11M04.00S,2024-03-23T02:12:14.5Z,1,REGULAR,3pt,Jump Shot,[],1641764,26.757555847568987,17.15686274509804,1610612744,5,2,2024-03-23T02:12:19Z,110000,False,164.0,199.0,1,left,B. Podziemski 25' 3PT  (3 PTS) (S. Curry 1 AST),"[1641764, 201939]",1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,25.8,Made,3.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,
13,PT10M53.00S,2024-03-23T02:12:26.3Z,1,REGULAR,3pt,Jump Shot,[],1626167,64.73390275952694,50.0,1610612754,5,2,2024-03-23T02:12:31Z,130000,False,0.0,279.0,1,right,MISS M. Turner 27' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,27.9,Missed,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2024-03-23T02:12:30.3Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,5,2,2024-03-23T02:12:31Z,140000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M40.00S,2024-03-23T02:12:38.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,4.418528252299605,43.627450980392155,1610612744,7,2,2024-03-23T02:12:42Z,150000,False,32.0,-11.0,1,left,D. Green cutting Layup (2 PTS) (A. Wiggins 1 AST),"[203110, 203952]",1610612744.0,GSW,cutting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,3.37,Made,2.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,,
17,PT10M27.00S,2024-03-23T02:12:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,86.41590013140605,49.50980392156863,1610612754,7,4,2024-03-23T02:14:11Z,170000,False,-2.0,75.0,1,right,M. Turner 7' turnaround Jump Shot (2 PTS) (A. Nembhard 1 AST),"[1626167, 1629614]",1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,7.52,Made,2.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,,,
19,PT10M17.00S,2024-03-23T02:13:02.4Z,1,REGULAR,2pt,Jump Shot,[],203110,23.866622864651774,41.42156862745098,1610612744,9,4,2024-03-23T02:14:46Z,190000,False,43.0,172.0,1,left,D. Green 17' Jump Shot (4 PTS) (S. Curry 2 AST),"[203110, 201939]",1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,16-24 Center,17.71,Made,4.0,S. Curry,201939.0,2.0,,,,,,,,,,,,,,
