actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-03T02:06:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-03T02:06:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-03T02:06:27.8Z,1,REGULAR,jumpball,recovered,[],203952,,,1610612744,0,0,2024-04-03T02:06:27Z,40000,False,,,0,,Jump Ball T. Jackson-Davis vs. D. Gafford: Tip to A. Wiggins,"[203952, 1631218, 1629655]",1610612744.0,GSW,startperiod,A. Wiggins,203952.0,Wiggins,A. Wiggins,Jackson-Davis,1631218.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-04-03T02:06:40.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203952,88.12417871222075,46.568627450980394,1610612744,0,0,2024-04-03T02:06:44Z,70000,False,-17.0,59.0,1,right,MISS A. Wiggins 6' turnaround Hook,[203952],1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,6.16,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-04-03T02:06:42.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2024-04-03T02:06:44Z,80000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2024-04-03T02:07:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,11.514454664914586,57.59803921568627,1610612742,0,0,2024-04-03T02:07:11Z,90000,False,-38.0,56.0,1,left,MISS L. Doncic 6' driving floating bank Shot,[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,6.74,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-04-03T02:07:02.3Z,1,REGULAR,rebound,offensive,[],1629029,,,1610612742,0,0,2024-04-03T02:07:11Z,100000,False,,,0,,L. Doncic REBOUND (Off:1 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11,PT11M23.00S,2024-04-03T02:07:05.4Z,1,REGULAR,turnover,traveling,[],1629029,,,1610612742,0,0,2024-04-03T02:07:16Z,110000,False,,,0,,L. Doncic traveling TURNOVER (1 TO),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,101284.0,1.0,,,,,,,,,,,,
12,PT11M07.00S,2024-04-03T02:07:45.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203952,88.64980289093299,55.14705882352941,1610612744,0,0,2024-04-03T02:07:49Z,120000,False,26.0,54.0,1,right,MISS A. Wiggins 6' cutting finger roll Layup,[203952],1610612744.0,GSW,cutting finger roll,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,6.0,Missed,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2024-04-03T02:07:48.6Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612742,0,0,2024-04-03T02:07:49Z,130000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M55.00S,2024-04-03T02:07:56.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,5.206964520367937,97.79411764705883,1610612742,0,3,2024-04-03T02:08:00Z,140000,False,-239.0,-4.0,1,left,P. Washington 3PT  (3 PTS) (L. Doncic 1 AST),"[1629023, 1629029]",1610612742.0,DAL,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,23.9,Made,,,,,,,3.0,L. Doncic,1629029.0,1.0,,,,,,,,
