actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2024-01-31T03:07:51.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-31T03:07:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-01-31T03:08:00.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612755,0,0,2024-01-31T03:08:00Z,40000,False,,,0,,Jump Ball J. Embiid vs. D. Green: Tip to Team (PHI),"[203954, 203110]",1610612755.0,PHI,startperiod,Team (PHI),Embiid,203954.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2024-01-31T03:08:03.3Z,1,REGULAR,foul,personal,[],203110,,,1610612755,0,0,2024-01-31T03:08:14Z,70000,False,,,0,,D. Green personal FOUL (1 PF),"[203110, 203954]",1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,1146.0,1.0,0.0,Green,D. Green,Embiid,203954.0,,,,,,,,,,,,,,,,
10,PT11M40.00S,2024-01-31T03:09:25.7Z,1,REGULAR,2pt,Jump Shot,[],203954,19.398817345597898,24.264705882352942,1610612755,0,0,2024-01-31T03:09:34Z,100000,False,129.0,130.0,1,left,MISS J. Embiid 18' Jump Shot,[203954],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Right Center,,,,Embiid,J. Embiid,,,18.28,Missed,,,,,,,,,,,,,,
11,PT11M37.00S,2024-01-31T03:09:28.9Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,0,0,2024-01-31T03:09:28Z,110000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,,,,Mid-Range,16-24 Right Center,,,,Wiggins,A. Wiggins,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M27.00S,2024-01-31T03:09:41.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,90.48948751642575,58.57843137254902,1610612744,2,0,2024-01-31T03:09:44Z,120000,False,43.0,37.0,1,right,A. Wiggins driving finger roll Layup (2 PTS),[203952],1610612744.0,GSW,driving finger roll,,,,,,In The Paint (Non-RA),0-8 Center,,,,Wiggins,A. Wiggins,,,5.66,Made,,,,,2.0,,,,,,,,,
13,PT11M18.00S,2024-01-31T03:09:52.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,16.90210249671485,48.529411764705884,1610612755,2,0,2024-01-31T03:10:50Z,130000,False,7.0,106.0,1,left,MISS J. Embiid 10' Jump Shot,[203954],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Embiid,J. Embiid,,,10.67,Missed,,,,,,,,,,,,,,
14,PT11M17.00S,2024-01-31T03:09:53.4Z,1,REGULAR,rebound,offensive,[],202699,,,1610612755,2,0,2024-01-31T03:10:50Z,140000,False,,,0,,T. Harris REBOUND (Off:1 Def:0),[202699],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Harris,T. Harris,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,
15,PT11M15.00S,2024-01-31T03:09:57.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202699,5.590000152587891,50.0,1610612755,2,0,2024-01-31T03:11:18Z,150000,False,0.0,0.0,1,left,MISS T. Harris tip Layup,[202699],1610612755.0,PHI,tip,,,,,,Restricted Area,0-8 Center,,,,Harris,T. Harris,,,0.0,Missed,,,,,,,,,,,,,,
16,PT11M14.00S,2024-01-31T03:09:58.4Z,1,REGULAR,rebound,offensive,[],202699,,,1610612755,2,0,2024-01-31T03:11:18Z,160000,False,,,0,,T. Harris REBOUND (Off:2 Def:0),[202699],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Harris,T. Harris,,,,,15.0,2.0,0.0,2.0,,,,,,,,,,
17,PT11M12.00S,2024-01-31T03:09:58.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202699,6.783837056504599,53.431372549019606,1610612755,2,2,2024-01-31T03:11:36Z,170000,False,-17.0,11.0,1,left,T. Harris putback Layup (2 PTS),[202699],1610612755.0,PHI,putback,,,,,,Restricted Area,0-8 Center,,,,Harris,T. Harris,,,2.06,Made,,,,,2.0,,,,,,,,,
18,PT10M58.00S,2024-01-31T03:10:11.2Z,1,REGULAR,2pt,Jump Shot,[],201939,74.72076215505913,60.78431372549019,1610612744,4,2,2024-01-31T03:12:14Z,180000,False,54.0,185.0,1,right,S. Curry 19' pullup Jump Shot (2 PTS) (A. Wiggins 1 AST),"[201939, 203952]",1610612744.0,GSW,pullup,,,,,,Mid-Range,16-24 Center,,,,Curry,S. Curry,,,19.28,Made,,,,,2.0,A. Wiggins,203952.0,1.0,,,,,,
20,PT10M45.00S,2024-01-31T03:10:24.2Z,1,REGULAR,foul,personal,['2freethrow'],201939,,,1610612755,4,2,2024-01-31T03:10:31Z,200000,False,,,0,,S. Curry shooting personal FOUL (1 PF) (Beverley 2 FT),"[201939, 201976]",1610612744.0,GSW,shooting,,,,,,In The Paint (Non-RA),0-8 Center,203593.0,1.0,0.0,Curry,S. Curry,Beverley,201976.0,,,,,,,,,,,,,,,,
22,PT10M45.00S,2024-01-31T03:10:53.3Z,1,REGULAR,freethrow,1 of 2,[],201976,,,1610612755,4,3,2024-01-31T03:10:53Z,220000,False,,,0,,P. Beverley Free Throw 1 of 2 (1 PTS),[201976],1610612755.0,PHI,,,,,,,,,,,,Beverley,P. Beverley,,,,Made,,,,,1.0,,,,,,,,,
23,PT10M45.00S,2024-01-31T03:11:11.7Z,1,REGULAR,freethrow,2 of 2,[],201976,,,1610612755,4,4,2024-01-31T03:11:11Z,230000,False,,,0,,P. Beverley Free Throw 2 of 2 (2 PTS),[201976],1610612755.0,PHI,,,,,,,,,,,,Beverley,P. Beverley,,,,Made,,,,,2.0,,,,,,,,,
