actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-16T00:11:14.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-16T00:11:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-16T00:11:17.4Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2024-01-16T00:11:17Z,40000,False,,,0,,Jump Ball J. Allen vs. N. Vucevic: Tip to D. Mitchell,"[1628378, 1628386, 202696]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-01-16T00:11:31.0Z,1,REGULAR,violation,kicked ball,[],202696,,,1610612739,0,0,2024-01-16T00:11:39Z,70000,False,,,0,,N. Vucevic kicked ball VIOLATION,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,1629422.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-01-16T00:11:45.7Z,1,REGULAR,3pt,Jump Shot,[],1629622,30.962549277266753,19.11764705882353,1610612739,0,0,2024-01-16T00:11:51Z,80000,False,154.0,239.0,1,left,MISS M. Strus 28' 3PT,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,Above the Break 3,24+ Right Center,28.41,Missed,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2024-01-16T00:11:47.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,0,0,2024-01-16T00:11:51Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,Above the Break 3,24+ Right Center,,,8.0,,,,,,,,,,,,,,,,
11,PT11M22.00S,2024-01-16T00:12:18.4Z,1,REGULAR,turnover,traveling,[],203897,,,1610612741,0,0,2024-01-16T00:12:24Z,110000,False,,,0,,Z. LaVine traveling TURNOVER (1 TO),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,202056.0,Mid-Range,16-24 Right Center,,,,1.0,,,,,,,,,,,,,,,
12,PT11M16.00S,2024-01-16T00:12:30.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629731,18.74178712220762,7.8431372549019605,1610612739,0,0,2024-01-16T00:12:34Z,120000,False,211.0,124.0,1,left,MISS D. Wade 24' 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,Above the Break 3,24+ Right Center,24.44,Missed,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2024-01-16T00:12:33.1Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,0,2024-01-16T00:12:33Z,130000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,Above the Break 3,24+ Right Center,,,12.0,,1.0,0.0,1.0,,,,,,,,,,,,
14,PT11M09.00S,2024-01-16T00:12:38.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628378,34.11629434954008,15.196078431372548,1610612739,3,0,2024-01-16T00:12:41Z,140000,False,174.0,268.0,1,left,D. Mitchell 31' 3PT  (3 PTS) (M. Strus 1 AST),"[1628378, 1629622]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,Above the Break 3,24+ Right Center,31.97,Made,,,,,,3.0,M. Strus,1629622.0,1.0,,,,,,,,
139,PT10M52.00S,2024-01-16T00:13:11.8Z,1,REGULAR,turnover,bad pass,[],1629632,,,1610612741,3,0,2024-01-16T00:33:19Z,195000,False,,,0,,C. White bad pass TURNOVER (1 TO),"[1629632, 1629731]",1610612741.0,CHI,,,,White,C. White,,,,,,Restricted Area,0-8 Center,,,,1.0,,,,,,,,Wade,1629731.0,,,,,,
140,PT10M52.00S,2024-01-16T00:13:11.8Z,1,REGULAR,steal,,[],1629731,,,1610612739,3,0,2024-01-16T00:33:19Z,197500,False,,,0,,D. Wade STEAL (1 STL),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
20,PT10M46.00S,2024-01-16T00:13:14.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'fromturnover']",1629622,9.937582128777924,50.49019607843137,1610612739,3,0,2024-01-16T00:33:19Z,200000,False,-2.0,41.0,1,left,MISS M. Strus running Layup,[1629622],1610612739.0,CLE,running,,,Strus,M. Strus,,,,,,Restricted Area,0-8 Center,4.1,Missed,,,,,,,,,,,,,,,,,
21,PT10M42.00S,2024-01-16T00:13:18.2Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,3,0,2024-01-16T00:13:18Z,210000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Restricted Area,0-8 Center,,,20.0,,1.0,1.0,0.0,,,,,,,,,,,,
22,PT10M32.00S,2024-01-16T00:13:28.1Z,1,REGULAR,3pt,Jump Shot,[],1629632,91.93495400788436,3.1862745098039214,1610612741,3,0,2024-01-16T00:13:33Z,220000,False,-234.0,23.0,1,right,MISS C. White 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,Left Corner 3,24+ Left,23.53,Missed,,,,,,,,,,,,,,,,,
23,PT10M30.00S,2024-01-16T00:13:30.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,3,0,2024-01-16T00:13:33Z,230000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,Left Corner 3,24+ Left,,,22.0,,2.0,1.0,1.0,,,,,,,,,,,,
24,PT10M23.00S,2024-01-16T00:13:38.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,7.835085413929041,49.754901960784316,1610612739,5,0,2024-01-16T00:13:42Z,240000,False,1.0,21.0,1,left,J. Allen cutting DUNK (2 PTS) (D. Mitchell 1 AST),"[1628386, 1628378]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,,Restricted Area,0-8 Center,2.11,Made,,,,,,2.0,D. Mitchell,1628378.0,1.0,,,,,,,,
26,PT10M14.00S,2024-01-16T00:13:46.9Z,1,REGULAR,3pt,Jump Shot,[],203897,63.6826544021025,19.607843137254903,1610612741,5,0,2024-01-16T00:13:54Z,260000,False,-152.0,289.0,1,right,MISS Z. LaVine 32' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,Above the Break 3,24+ Left Center,32.64,Missed,,,,,,,,,,,,,,,,,
27,PT10M11.00S,2024-01-16T00:13:49.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,5,0,2024-01-16T00:13:54Z,270000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,Above the Break 3,24+ Left Center,,,26.0,,,,,,,,,,,,,,,,
29,PT10M00.00S,2024-01-16T00:14:11.2Z,1,REGULAR,turnover,bad pass,[],1628386,,,1610612739,5,0,2024-01-16T00:14:17Z,290000,False,,,0,,J. Allen bad pass TURNOVER (1 TO),"[1628386, 201942]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,,Mid-Range,8-16 Right,,,,1.0,,,,,,,,DeRozan,201942.0,,,,,,
30,PT10M00.00S,2024-01-16T00:14:11.2Z,1,REGULAR,steal,,[],201942,,,1610612741,5,0,2024-01-16T00:14:17Z,300000,False,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,
31,PT09M52.00S,2024-01-16T00:14:19.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627936,92.9862023653088,3.1862745098039214,1610612741,5,0,2024-01-16T00:17:24Z,310000,False,-234.0,13.0,1,right,MISS A. Caruso running 3PT,[1627936],1610612741.0,CHI,running,,,Caruso,A. Caruso,,,,,,Left Corner 3,24+ Left,23.45,Missed,,,,,,,,,,,,,,,,,
32,PT09M49.00S,2024-01-16T00:14:22.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,5,0,2024-01-16T00:14:23Z,320000,False,,,0,,J. Allen REBOUND (Off:1 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,Left Corner 3,24+ Left,,,31.0,,3.0,2.0,1.0,,,,,,,,,,,,
33,PT09M40.00S,2024-01-16T00:14:31.7Z,1,REGULAR,3pt,Jump Shot,[],1628378,28.597240473061763,75.24509803921569,1610612739,8,0,2024-01-16T00:14:36Z,330000,False,-126.0,216.0,1,left,D. Mitchell 25' 3PT step back (6 PTS),[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,,Above the Break 3,24+ Left Center,25.04,Made,,,,,,6.0,,,,,,,,,,,
34,PT09M28.00S,2024-01-16T00:14:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,93.64323258869908,50.0,1610612741,8,2,2024-01-16T00:14:48Z,340000,False,0.0,7.0,1,right,Z. LaVine driving Layup (2 PTS) (N. Vucevic 1 AST),"[203897, 202696]",1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,,Restricted Area,0-8 Center,0.73,Made,,,,,,2.0,N. Vucevic,202696.0,1.0,,,,,,,,
36,PT09M17.00S,2024-01-16T00:14:55.9Z,1,REGULAR,turnover,out-of-bounds,[],1628386,,,1610612739,8,2,2024-01-16T00:15:02Z,360000,False,,,0,,J. Allen lost ball out-of-bounds TURNOVER (2 TO),[1628386],1610612739.0,CLE,lost ball,,,Allen,J. Allen,,,,,2530.0,Mid-Range,16-24 Right Center,,,,2.0,,,,,,,,,,,,,,,
37,PT09M03.00S,2024-01-16T00:15:19.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202696,90.09526938239159,40.931372549019606,1610612741,8,4,2024-01-16T00:15:24Z,370000,False,-45.0,41.0,1,right,N. Vucevic 6' turnaround Hook (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,,In The Paint (Non-RA),0-8 Center,6.08,Made,,,,,,2.0,Z. LaVine,203897.0,1.0,,,,,,,,
