actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-31T23:36:19.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-31T23:36:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-10-31T23:36:23.4Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2023-10-31T23:36:23Z,40000,False,,,0,,Jump Ball M. Robinson vs. E. Mobley: Tip to J. Randle,"[203944, 1629011, 1630596]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-10-31T23:36:34.3Z,1,REGULAR,2pt,Jump Shot,[],1628973,21.632720105124836,64.4607843137255,1610612752,0,2,2023-10-31T23:36:42Z,70000,False,-72.0,151.0,1,left,J. Brunson 16' step back Jump Shot (2 PTS),[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,16.72,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2023-10-31T23:36:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,94.56307490144546,51.225490196078425,1610612739,0,2,2023-10-31T23:36:58Z,80000,False,6.0,-1.0,1,right,MISS I. Okoro driving Layup,[1630171],1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,0.63,Missed,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2023-10-31T23:36:49.5Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,0,2,2023-10-31T23:37:31Z,90000,False,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M26.00S,2023-10-31T23:36:54.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1630596,94.40999984741211,50.0,1610612739,2,2,2023-10-31T23:37:05Z,100000,False,0.0,0.0,1,right,E. Mobley tip DUNK (2 PTS),[1630596],1610612739.0,CLE,tip,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2023-10-31T23:37:07.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,6.652431011826544,50.245098039215684,1610612752,2,2,2023-10-31T23:38:05Z,110000,False,-1.0,10.0,1,left,MISS R. Barrett driving finger roll Layup,[1629628],1610612752.0,NYK,driving finger roll,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,1.01,Missed,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2023-10-31T23:37:07.8Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,2,2023-10-31T23:37:15Z,120000,False,,,0,,E. Mobley REBOUND (Off:1 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,
13,PT11M04.00S,2023-10-31T23:37:15.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628378,81.94809461235218,46.32352941176471,1610612739,4,2,2023-10-31T23:37:23Z,130000,False,-18.0,117.0,1,right,D. Mitchell 11' driving floating Jump Shot (2 PTS),[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,11.86,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M40.00S,2023-10-31T23:37:37.7Z,1,REGULAR,3pt,Jump Shot,[],203944,14.273981603153747,98.0392156862745,1610612752,4,2,2023-10-31T23:37:44Z,140000,False,-240.0,82.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Left Corner 3,24+ Left,25.37,Missed,,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2023-10-31T23:37:39.7Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,4,2,2023-10-31T23:37:44Z,150000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Left Corner 3,24+ Left,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M33.00S,2023-10-31T23:37:45.3Z,1,REGULAR,turnover,lost ball,[],1630171,,,1610612739,4,2,2023-10-31T23:37:49Z,160000,False,,,0,,I. Okoro lost ball TURNOVER (1 TO),"[1630171, 1628973]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,Brunson,1628973.0,,,,,,,,,,
17,PT10M33.00S,2023-10-31T23:37:45.3Z,1,REGULAR,steal,,[],1628973,,,1610612752,4,2,2023-10-31T23:37:47Z,170000,False,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
18,PT10M27.00S,2023-10-31T23:37:51.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629656,11.251642575558476,49.754901960784316,1610612752,4,4,2023-10-31T23:39:33Z,180000,False,1.0,53.0,1,left,Q. Grimes driving floating Jump Shot (2 PTS),[1629656],1610612752.0,NYK,driving floating,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,5.33,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M15.00S,2023-10-31T23:38:03.3Z,1,REGULAR,2pt,Jump Shot,[],1628378,92.06636005256242,72.30392156862744,1610612739,4,4,2023-10-31T23:38:08Z,200000,False,112.0,22.0,1,right,MISS D. Mitchell 11' pullup Shot,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,11.37,Missed,,,,,,,,,,,,,,,,,,
21,PT10M12.00S,2023-10-31T23:38:06.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,4,4,2023-10-31T23:38:08Z,210000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Right,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
