actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-29T00:40:41.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-29T00:40:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-29T00:40:53.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612737,0,0,2023-11-29T00:40:53Z,40000,False,,,0,,Jump Ball C. Capela vs. J. Allen: Tip to Team (ATL),"[203991, 1628386]",1610612737.0,ATL,startperiod,Team (ATL),Capela,203991.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-11-29T00:41:21.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,4.681340341655716,47.794117647058826,1610612737,0,0,2023-11-29T00:41:35Z,70000,False,11.0,-8.0,1,left,MISS C. Capela driving Layup,[203991],1610612737.0,ATL,driving,,,,,,Restricted Area,0-8 Center,1.39,Missed,Capela,C. Capela,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-11-29T00:41:24.0Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2023-11-29T00:41:26Z,80000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,Allen,J. Allen,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M37.00S,2023-11-29T00:41:27.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628378,81.68528252299606,54.65686274509803,1610612739,0,0,2023-11-29T00:41:53Z,90000,False,23.0,120.0,1,right,MISS D. Mitchell 12' running pullup Shot,[1628378],1610612739.0,CLE,running pullup,,,,,,In The Paint (Non-RA),8-16 Center,12.19,Missed,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2023-11-29T00:41:30.9Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,0,0,2023-11-29T00:41:34Z,100000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,,,,In The Paint (Non-RA),8-16 Center,,,Hunter,D. Hunter,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M30.00S,2023-11-29T00:41:35.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627749,28.465834428383708,77.45098039215686,1610612737,0,3,2023-11-29T00:42:27Z,110000,False,-137.0,215.0,1,left,D. Murray 25' 3PT running pullup (3 PTS) (T. Young 1 AST),"[1627749, 1629027]",1610612737.0,ATL,running pullup,,,,,,Above the Break 3,24+ Left Center,25.52,Made,Murray,D. Murray,,,,,3.0,T. Young,1629027.0,1.0,,,,,,,,,,
13,PT11M15.00S,2023-11-29T00:41:50.5Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612739,0,3,2023-11-29T00:41:55Z,130000,False,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 203991]",1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Mitchell,D. Mitchell,,,,,,,,,1.0,Capela,203991.0,,,,,,,
14,PT11M15.00S,2023-11-29T00:41:50.5Z,1,REGULAR,steal,,[],203991,,,1610612737,0,3,2023-11-29T00:41:52Z,140000,False,,,0,,C. Capela STEAL (1 STL),[203991],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Left Center,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2023-11-29T00:41:54.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203991,7.966491458607096,48.28431372549019,1610612737,0,3,2023-11-29T00:45:33Z,150000,False,9.0,22.0,1,left,MISS C. Capela running Layup,[203991],1610612737.0,ATL,running,,,,,,Restricted Area,0-8 Center,2.4,Missed,Capela,C. Capela,,,,,,,,,,,,,,,,,,
17,PT11M06.00S,2023-11-29T00:41:59.7Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,0,3,2023-11-29T00:46:29Z,170000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,Mitchell,D. Mitchell,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT11M00.00S,2023-11-29T00:42:04.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629636,94.03745072273325,51.9607843137255,1610612739,2,3,2023-11-29T00:47:09Z,200000,False,10.0,4.0,1,right,D. Garland running Layup (2 PTS),[1629636],1610612739.0,CLE,running,,,,,,Restricted Area,0-8 Center,1.04,Made,Garland,D. Garland,,,,,2.0,,,,,,,,,,,,,
21,PT10M41.00S,2023-11-29T00:42:23.6Z,1,REGULAR,3pt,Jump Shot,[],1629631,30.699737187910642,71.56862745098039,1610612737,2,3,2023-11-29T00:42:28Z,210000,False,-108.0,236.0,1,left,MISS D. Hunter 25' 3PT,[1629631],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Left Center,25.95,Missed,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,
22,PT10M38.00S,2023-11-29T00:42:26.6Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,2,3,2023-11-29T00:42:28Z,220000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1628378],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Mitchell,D. Mitchell,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT10M36.00S,2023-11-29T00:42:28.5Z,1,REGULAR,turnover,lost ball,[],1628378,,,1610612739,2,3,2023-11-29T00:42:32Z,230000,False,,,0,,D. Mitchell lost ball TURNOVER (2 TO),"[1628378, 1630180]",1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Mitchell,D. Mitchell,,,,,,,,,2.0,Bey,1630180.0,,,,,,,
24,PT10M36.00S,2023-11-29T00:42:28.5Z,1,REGULAR,steal,,[],1630180,,,1610612737,2,3,2023-11-29T00:42:30Z,240000,False,,,0,,S. Bey STEAL (1 STL),[1630180],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Left Center,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,
25,PT10M32.00S,2023-11-29T00:42:32.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1627749,22.026938239159,11.27450980392157,1610612737,2,3,2023-11-29T00:47:55Z,250000,False,194.0,155.0,1,left,MISS D. Murray 24' running pullup 3PT,[1627749],1610612737.0,ATL,running pullup,,,,,,Above the Break 3,24+ Right Center,24.78,Missed,Murray,D. Murray,,,,,,,,,,,,,,,,,,
26,PT10M28.00S,2023-11-29T00:42:36.5Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,2,3,2023-11-29T00:42:39Z,260000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Garland,D. Garland,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT10M25.00S,2023-11-29T00:42:40.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628386,95.0886990801577,50.245098039215684,1610612739,4,3,2023-11-29T00:49:01Z,270000,False,1.0,-6.0,1,right,J. Allen running DUNK (2 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,running,,,,,,Restricted Area,0-8 Center,0.64,Made,Allen,J. Allen,,,,,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,
29,PT10M07.00S,2023-11-29T00:42:57.9Z,1,REGULAR,2pt,Jump Shot,[],1629631,9.149145860709593,69.6078431372549,1610612737,4,5,2023-11-29T00:43:04Z,290000,False,-98.0,34.0,1,left,D. Hunter 10' fadeaway Jump Shot (2 PTS),[1629631],1610612737.0,ATL,fadeaway,,,,,,Mid-Range,8-16 Left,10.36,Made,Hunter,D. Hunter,,,,,2.0,,,,,,,,,,,,,
30,PT09M55.00S,2023-11-29T00:43:09.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,69.20170827858082,21.568627450980394,1610612739,4,5,2023-11-29T00:49:35Z,300000,False,-142.0,237.0,1,right,MISS D. Mitchell 27' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,,,,Above the Break 3,24+ Left Center,27.64,Missed,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
31,PT09M52.00S,2023-11-29T00:43:12.5Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,4,5,2023-11-29T00:43:14Z,310000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Left Center,,,Murray,D. Murray,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M40.00S,2023-11-29T00:43:24.6Z,1,REGULAR,2pt,Jump Shot,[],1629027,24.917871222076215,59.31372549019608,1610612737,4,5,2023-11-29T00:43:31Z,320000,False,-47.0,182.0,1,left,MISS T. Young 18' step back Shot,[1629027],1610612737.0,ATL,step back,,,,,,Mid-Range,16-24 Center,18.76,Missed,Young,T. Young,,,,,,,,,,,,,,,,,,
33,PT09M38.00S,2023-11-29T00:43:26.6Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,4,5,2023-11-29T00:43:31Z,330000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,,,,Mid-Range,16-24 Center,,,Capela,C. Capela,32.0,1.0,0.0,1.0,,,,,,,,,,,,,,
34,PT09M37.00S,2023-11-29T00:43:30.3Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612737,4,5,2023-11-29T00:43:37Z,340000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Capela 2 FT),"[1628386, 203991]",1610612739.0,CLE,shooting,,,,,,Restricted Area,0-8 Center,,,Allen,J. Allen,,,,,,,,,,,,2534.0,1.0,0.0,Capela,203991.0,,
36,PT09M37.00S,2023-11-29T00:43:51.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203991,,,1610612737,4,6,2023-11-29T00:43:51Z,360000,False,,,0,,C. Capela Free Throw 1 of 2 (1 PTS),[203991],1610612737.0,ATL,,,,,,,,,,Made,Capela,C. Capela,,,,,1.0,,,,,,,,,,,,,
37,PT09M37.00S,2023-11-29T00:44:08.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203991,,,1610612737,4,7,2023-11-29T00:44:08Z,370000,False,,,0,,C. Capela Free Throw 2 of 2 (2 PTS),[203991],1610612737.0,ATL,,,,,,,,,,Made,Capela,C. Capela,,,,,2.0,,,,,,,,,,,,,
38,PT09M23.00S,2023-11-29T00:44:27.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,93.9060446780552,48.28431372549019,1610612739,6,7,2023-11-29T00:51:00Z,380000,False,-9.0,5.0,1,right,J. Allen driving DUNK (4 PTS) (D. Garland 2 AST),"[1628386, 1629636]",1610612739.0,CLE,driving,,,,,,Restricted Area,0-8 Center,0.98,Made,Allen,J. Allen,,,,,4.0,D. Garland,1629636.0,2.0,,,,,,,,,,
40,PT09M17.00S,2023-11-29T00:44:38.9Z,1,REGULAR,foul,personal,['2freethrow'],1630596,,,1610612737,6,7,2023-11-29T00:44:49Z,400000,False,,,0,,E. Mobley shooting personal FOUL (1 PF) (Hunter 2 FT),"[1630596, 1629631]",1610612739.0,CLE,shooting,,,,,,Restricted Area,0-8 Center,,,Mobley,E. Mobley,,,,,,,,,,,,2534.0,1.0,0.0,Hunter,1629631.0,,
42,PT09M17.00S,2023-11-29T00:44:58.9Z,1,REGULAR,freethrow,1 of 2,[],1629631,,,1610612737,6,8,2023-11-29T00:44:58Z,420000,False,,,0,,D. Hunter Free Throw 1 of 2 (3 PTS),[1629631],1610612737.0,ATL,,,,,,,,,,Made,Hunter,D. Hunter,,,,,3.0,,,,,,,,,,,,,
43,PT09M17.00S,2023-11-29T00:45:14.2Z,1,REGULAR,freethrow,2 of 2,[],1629631,,,1610612737,6,9,2023-11-29T00:45:14Z,430000,False,,,0,,D. Hunter Free Throw 2 of 2 (4 PTS),[1629631],1610612737.0,ATL,,,,,,,,,,Made,Hunter,D. Hunter,,,,,4.0,,,,,,,,,,,,,
