actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-25T23:10:41.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-25T23:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-25T23:10:44.5Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2024-03-25T23:10:44Z,40000,False,,,0,,Jump Ball J. Allen vs. N. Richards: Tip to D. Garland,"[1629636, 1628386, 1630208]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-03-25T23:10:58.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,6.258212877792378,52.20588235294118,1610612739,0,0,2024-03-25T23:13:48Z,70000,False,-11.0,6.0,1,left,MISS D. Garland driving finger roll Layup - blocked,"[1629636, 1630208]",1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,1.27,Missed,Richards,1630208.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-03-25T23:10:58.8Z,1,REGULAR,block,,[],1630208,,,1610612739,0,0,2024-03-25T23:12:03Z,80000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2024-03-25T23:11:00.8Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,0,2024-03-25T23:12:18Z,90000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M40.00S,2024-03-25T23:11:12.6Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628386,5.590000152587891,50.0,1610612739,2,0,2024-03-25T23:12:45Z,100000,False,0.0,0.0,1,left,J. Allen tip DUNK (2 PTS),[1628386],1610612739.0,CLE,tip,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,2.0,,,,,,,,,,,
11,PT11M25.00S,2024-03-25T23:11:21.6Z,1,REGULAR,turnover,out-of-bounds,[],1630544,,,1610612766,2,0,2024-03-25T23:11:32Z,110000,False,,,0,,T. Mann lost ball out-of-bounds TURNOVER (1 TO),[1630544],1610612766.0,CHA,lost ball,,,Mann,T. Mann,,,,,Mid-Range,8-16 Left,,,,,,,,,,202058.0,1.0,,,,,,,,,
12,PT11M11.00S,2024-03-25T23:11:37.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630171,7.703679369250986,5.147058823529411,1610612739,2,0,2024-03-25T23:11:45Z,120000,False,224.0,20.0,1,left,MISS I. Okoro 3PT,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,22.52,Missed,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2024-03-25T23:11:41.2Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,2,0,2024-03-25T23:11:45Z,130000,False,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,
14,PT10M57.00S,2024-03-25T23:11:51.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1627747,20.18725361366623,92.15686274509804,1610612739,2,0,2024-03-25T23:11:55Z,140000,False,-211.0,137.0,1,left,MISS C. LeVert 25' 3PT,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,25.16,Missed,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2024-03-25T23:11:54.2Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,2,0,2024-03-25T23:11:55Z,150000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT10M37.00S,2024-03-25T23:12:10.8Z,1,REGULAR,3pt,Jump Shot,[],1628970,72.48685939553219,81.61764705882352,1610612766,2,0,2024-03-25T23:12:22Z,160000,False,158.0,206.0,1,right,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,25.98,Missed,,,,,,,,,,,,,,,,,,
17,PT10M35.00S,2024-03-25T23:12:12.8Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,2,0,2024-03-25T23:12:22Z,170000,False,,,0,,I. Okoro REBOUND (Off:1 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,,,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,
18,PT10M21.00S,2024-03-25T23:12:27.0Z,1,REGULAR,3pt,Jump Shot,[],1627747,28.991458607095925,75.98039215686273,1610612739,5,0,2024-03-25T23:12:32Z,180000,False,-130.0,220.0,1,left,C. LeVert 25' 3PT  (3 PTS) (D. Garland 1 AST),"[1627747, 1629636]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,25.55,Made,,,,,,,3.0,,,D. Garland,1629636.0,1.0,,,,,,
20,PT09M56.00S,2024-03-25T23:12:51.1Z,1,REGULAR,2pt,Hook,[],1630208,84.57621550591328,31.61764705882353,1610612766,5,2,2024-03-25T23:14:15Z,200000,False,-92.0,92.0,1,right,N. Richards 13' Hook (2 PTS) (T. Mann 1 AST),"[1630208, 1630544]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,8-16 Left,13.04,Made,,,,,,,2.0,,,T. Mann,1630544.0,1.0,,,,,,
22,PT09M47.00S,2024-03-25T23:13:05.3Z,1,REGULAR,violation,kicked ball,[],1630208,,,1610612739,5,2,2024-03-25T23:13:26Z,220000,False,,,0,,N. Richards kicked ball VIOLATION,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,202058.0,,,,,,,,,,
23,PT09M39.00S,2024-03-25T23:13:26.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,4.5499342969776615,50.0,1610612739,7,2,2024-03-25T23:13:32Z,230000,False,0.0,-10.0,1,left,E. Mobley alley-oop DUNK (2 PTS) (J. Allen 1 AST),"[1630596, 1628386]",1610612739.0,CLE,alley-oop,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,0.97,Made,,,,,,,2.0,,,J. Allen,1628386.0,1.0,,,,,,
25,PT09M21.00S,2024-03-25T23:13:42.9Z,1,REGULAR,2pt,Jump Shot,[],1641706,74.72076215505913,54.65686274509803,1610612766,7,2,2024-03-25T23:13:53Z,250000,False,23.0,185.0,1,right,MISS B. Miller 18' pullup Shot,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Mid-Range,16-24 Center,18.66,Missed,,,,,,,,,,,,,,,,,,
