actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-02-13T00:10:42.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-13T00:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-13T00:10:45.6Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2024-02-13T00:10:45Z,40000,False,,,0,,Jump Ball J. Allen vs. P. Reed: Tip to E. Mobley,"[1630596, 1628386, 1630194]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Reed,1630194.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-02-13T00:11:08.9Z,1,REGULAR,2pt,Jump Shot,[],1630596,85.23324572930355,78.67647058823529,1610612739,0,0,2024-02-13T00:11:30Z,70000,False,143.0,86.0,1,right,MISS E. Mobley 16' step back Shot,[1630596],1610612739.0,CLE,step back,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Right,16.74,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-02-13T00:11:08.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,0,0,2024-02-13T00:11:17Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Mid-Range,16-24 Right,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2024-02-13T00:11:13.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612739,0,0,2024-02-13T00:11:23Z,90000,False,,,0,,CLE shot clock Team TURNOVER,[],1610612739.0,CLE,,,,,,,,,,Mid-Range,8-16 Right,,,,202007.0,,,,,,,,,,,,,,,,
10,PT11M10.00S,2024-02-13T00:11:47.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630194,7.703679369250986,47.05882352941176,1610612755,0,2,2024-02-13T00:11:54Z,100000,False,15.0,20.0,1,left,P. Reed reverse Layup (2 PTS),[1630194],1610612755.0,PHI,reverse,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,2.47,Made,,,2.0,,,,,,,,,,,,,,,
11,PT11M03.00S,2024-02-13T00:11:53.9Z,1,REGULAR,3pt,Jump Shot,[],1629622,77.4802890932983,8.088235294117647,1610612739,0,2,2024-02-13T00:11:59Z,110000,False,-210.0,159.0,1,right,MISS M. Strus 26' 3PT,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,26.32,Missed,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2024-02-13T00:11:56.6Z,1,REGULAR,rebound,defensive,[],1630231,,,1610612755,0,2,2024-02-13T00:11:56Z,120000,False,,,0,,K. Martin REBOUND (Off:0 Def:1),[1630231],1610612755.0,PHI,,,,Martin,K. Martin,,,,,Above the Break 3,24+ Left Center,,,11.0,,,1.0,1.0,0.0,,,,,,,,,,,,
13,PT10M54.00S,2024-02-13T00:12:03.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,27.808804204993432,81.61764705882352,1610612755,0,2,2024-02-13T00:12:32Z,130000,False,-158.0,209.0,1,left,MISS T. Maxey 26' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2024-02-13T00:12:06.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,2,2024-02-13T00:12:09Z,140000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,13.0,,,1.0,1.0,0.0,,,,,,,,,,,,
