actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-10-28T23:41:05.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-28T23:41:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-10-28T23:41:08.4Z,1,REGULAR,jumpball,recovered,[],1627747,,,1610612739,0,0,2023-10-28T23:41:08Z,40000,False,,,0,,Jump Ball E. Mobley vs. M. Turner: Tip to C. LeVert,"[1627747, 1630596, 1626167]",1610612739.0,CLE,startperiod,C. LeVert,1627747.0,LeVert,C. LeVert,Mobley,1630596.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2023-10-28T23:41:24.0Z,1,REGULAR,foul,personal,[],1630167,,,1610612739,0,0,2023-10-28T23:41:31Z,70000,False,,,0,,O. Toppin personal FOUL (1 PF),"[1630167, 1629731]",1610612754.0,IND,,,,Toppin,O. Toppin,,,,,In The Paint (Non-RA),0-8 Center,1193.0,1.0,0.0,Wade,1629731.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2023-10-28T23:41:39.4Z,1,REGULAR,3pt,Jump Shot,[],1629622,31.225361366622867,70.09803921568627,1610612739,0,0,2023-10-28T23:41:43Z,90000,False,-100.0,241.0,1,left,MISS M. Strus 26' 3PT,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,,,,,,26.11,Missed,,,,,,,,,,,,,
10,PT11M41.00S,2023-10-28T23:41:43.4Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,0,0,2023-10-28T23:41:43Z,100000,False,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
11,PT11M32.00S,2023-10-28T23:41:52.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627747,7.30946123521682,46.81372549019608,1610612739,2,0,2023-10-28T23:41:57Z,110000,False,16.0,16.0,1,left,C. LeVert driving Layup (2 PTS),[1627747],1610612739.0,CLE,driving,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,,,,,,2.27,Made,,,,,2.0,,,,,,,,
12,PT11M16.00S,2023-10-28T23:42:08.2Z,1,REGULAR,3pt,Jump Shot,[],1626167,95.0886990801577,95.34313725490196,1610612754,2,0,2023-10-28T23:42:12Z,120000,False,227.0,-6.0,1,right,MISS M. Turner 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Right Corner 3,24+ Right,,,,,,22.68,Missed,,,,,,,,,,,,,
13,PT11M13.00S,2023-10-28T23:42:11.2Z,1,REGULAR,rebound,offensive,[],1630169,,,1610612754,2,0,2023-10-28T23:42:12Z,130000,False,,,0,,T. Haliburton REBOUND (Off:1 Def:0),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Right Corner 3,24+ Right,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,
14,PT11M10.00S,2023-10-28T23:42:14.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631097,74.58935611038108,12.745098039215685,1610612754,2,3,2023-10-28T23:42:21Z,140000,False,-186.0,186.0,1,right,B. Mathurin 26' 3PT  (3 PTS) (B. Brown 1 AST),"[1631097, 1628971]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,,,,,,26.35,Made,,,,,3.0,B. Brown,1628971.0,1.0,,,,,
16,PT10M49.00S,2023-10-28T23:42:34.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,14.14257555847569,40.44117647058824,1610612739,4,3,2023-10-28T23:42:40Z,160000,False,48.0,80.0,1,left,C. LeVert 9' bank Jump Shot (4 PTS),[1627747],1610612739.0,CLE,bank,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),8-16 Center,,,,,,9.35,Made,,,,,4.0,,,,,,,,
