actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-04T00:11:12.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-04T00:11:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-04T00:11:15.0Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2024-01-04T00:11:15Z,40000,False,,,0,,Jump Ball J. Allen vs. D. Gafford: Tip to D. Mitchell,"[1628378, 1628386, 1629655]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2024-01-04T00:11:26.2Z,1,REGULAR,foul,personal,[],1629673,,,1610612739,0,0,2024-01-04T00:11:37Z,70000,False,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 1629622]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,16-24 Right Center,1627964.0,1.0,0.0,Strus,1629622.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2024-01-04T00:11:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,6.389618922470433,51.71568627450981,1610612739,0,0,2024-01-04T00:11:55Z,90000,False,-9.0,8.0,1,left,MISS M. Strus driving Layup,[1629622],1610612739.0,CLE,driving,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,,,,1.15,Missed,,,,,,,,,,,,,
10,PT11M39.00S,2024-01-04T00:11:48.9Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,0,2024-01-04T00:12:11Z,100000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
11,PT11M39.00S,2024-01-04T00:11:54.3Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628386,5.590000152587891,50.0,1610612739,2,0,2024-01-04T00:12:16Z,110000,False,0.0,0.0,1,left,J. Allen tip DUNK (2 PTS),[1628386],1610612739.0,CLE,tip,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,0.0,Made,,,,,2.0,,,,,,,,
12,PT11M17.00S,2024-01-04T00:12:11.3Z,1,REGULAR,3pt,Jump Shot,[],1628398,81.2910643889619,96.81372549019608,1610612764,2,0,2024-01-04T00:12:17Z,120000,False,234.0,123.0,1,right,MISS K. Kuzma 26' step back 3PT,[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,26.46,Missed,,,,,,,,,,,,,
13,PT11M14.00S,2024-01-04T00:12:14.3Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,2,0,2024-01-04T00:12:17Z,130000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M12.00S,2024-01-04T00:12:16.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629731,7.178055190538765,49.01960784313725,1610612739,4,0,2024-01-04T00:13:10Z,140000,False,5.0,15.0,1,left,D. Wade running finger roll Layup (2 PTS) (I. Okoro 1 AST),"[1629731, 1630171]",1610612739.0,CLE,running finger roll,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,,,,,,1.58,Made,,,,,2.0,I. Okoro,1630171.0,1.0,,,,,
16,PT10M57.00S,2024-01-04T00:12:31.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,85.3646517739816,58.82352941176471,1610612764,4,2,2024-01-04T00:12:37Z,160000,False,44.0,85.0,1,right,K. Kuzma 9' driving floating Jump Shot (2 PTS) (D. Avdija 1 AST),"[1628398, 1630166]",1610612764.0,WAS,driving floating,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,,,,9.58,Made,,,,,2.0,D. Avdija,1630166.0,1.0,,,,,
