actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-18T00:44:13.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-18T00:44:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-18T00:44:16.9Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2024-01-18T00:44:16Z,40000,False,,,0,,Jump Ball J. Allen vs. B. Lopez: Tip to D. Mitchell,"[1628378, 1628386, 201572]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-01-18T00:44:28.3Z,1,REGULAR,foul,personal,['2freethrow'],1641748,,,1610612739,0,0,2024-01-18T00:44:38Z,70000,False,,,0,,A. Jackson Jr. shooting personal FOUL (1 PF) (Allen 2 FT),"[1641748, 1628386]",1610612749.0,MIL,shooting,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,203592.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2024-01-18T00:44:48.5Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,1,0,2024-01-18T00:44:48Z,90000,False,,,0,,J. Allen Free Throw 1 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M47.00S,2024-01-18T00:45:00.6Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,2,0,2024-01-18T00:45:00Z,100000,False,,,0,,J. Allen Free Throw 2 of 2 (2 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M32.00S,2024-01-18T00:45:16.0Z,1,REGULAR,3pt,Jump Shot,[],203081,79.71419185282524,4.166666666666666,1610612749,2,0,2024-01-18T00:45:20Z,110000,False,-229.0,138.0,1,right,MISS D. Lillard 26' 3PT,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,26.76,,,,,,,,,,,,
12,PT11M29.00S,2024-01-18T00:45:19.0Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612739,2,0,2024-01-18T00:45:21Z,120000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M20.00S,2024-01-18T00:45:27.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,12.434296977660972,55.14705882352941,1610612739,4,0,2024-01-18T00:45:32Z,130000,False,-26.0,64.0,1,left,J. Allen 6' floating Jump Shot (4 PTS) (M. Strus 1 AST),"[1628386, 1629622]",1610612739.0,CLE,floating,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,4.0,6.93,,,,,M. Strus,1629622.0,1.0,,,,,
15,PT11M10.00S,2024-01-18T00:45:38.0Z,1,REGULAR,3pt,Jump Shot,[],203114,69.59592641261499,75.98039215686273,1610612749,4,0,2024-01-18T00:45:42Z,150000,False,130.0,233.0,1,right,MISS K. Middleton 26' step back 3PT,[203114],1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,26.7,,,,,,,,,,,,
16,PT11M07.00S,2024-01-18T00:45:41.0Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612739,4,0,2024-01-18T00:45:42Z,160000,False,,,0,,M. Strus REBOUND (Off:0 Def:2),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,
17,PT10M53.00S,2024-01-18T00:45:54.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,14.273981603153747,54.65686274509803,1610612739,6,0,2024-01-18T00:46:30Z,170000,False,-23.0,82.0,1,left,D. Mitchell 8' pullup Jump Shot (2 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,8.5,,,,,,,,,,,,
18,PT10M38.00S,2024-01-18T00:46:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627736,91.40932982917214,64.4607843137255,1610612749,6,2,2024-01-18T00:47:09Z,180000,False,72.0,28.0,1,right,M. Beasley 7' driving Layup (2 PTS),[1627736],1610612749.0,MIL,driving,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,7.76,,,,,,,,,,,,
19,PT10M31.00S,2024-01-18T00:46:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,9.280551905387648,50.98039215686274,1610612739,6,2,2024-01-18T00:46:38Z,190000,False,-5.0,35.0,1,left,MISS D. Mitchell driving finger roll Layup - blocked,"[1628378, 201572]",1610612739.0,CLE,driving finger roll,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.5,,,,,,,,Lopez,201572.0,,,
20,PT10M31.00S,2024-01-18T00:46:16.8Z,1,REGULAR,block,,[],201572,,,1610612739,6,2,2024-01-18T00:46:19Z,200000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M31.00S,2024-01-18T00:46:16.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,6,2,2024-01-18T00:46:21Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,19.0,,,,,,,,,,,
