actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-11-27T00:41:07.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-27T00:41:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-27T00:41:11.6Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2023-11-27T00:41:11Z,40000,False,,,0,,Jump Ball J. Allen vs. J. Poeltl: Tip to E. Mobley,"[1630596, 1628386, 1627751]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-11-27T00:41:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,7.30946123521682,65.19607843137256,1610612739,2,0,2023-11-27T00:41:35Z,70000,False,-76.0,16.0,1,left,E. Mobley 7' fadeaway Jump Shot (2 PTS),[1630596],1610612739.0,CLE,fadeaway,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,7.77,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2023-11-27T00:41:47.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,93.77463863337714,53.67647058823529,1610612761,2,2,2023-11-27T00:41:53Z,80000,False,18.0,6.0,1,right,S. Barnes alley-oop Layup (2 PTS) (J. Poeltl 1 AST),"[1630567, 1627751]",1610612761.0,TOR,alley-oop,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,1.94,Made,2.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,,
10,PT11M05.00S,2023-11-27T00:42:01.4Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,2,2,2023-11-27T00:42:05Z,100000,False,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 1627751]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Poeltl,1627751.0,,,,,,,,,,,
11,PT11M05.00S,2023-11-27T00:42:01.4Z,1,REGULAR,steal,,[],1627751,,,1610612761,2,2,2023-11-27T00:42:04Z,110000,False,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT10M57.00S,2023-11-27T00:42:09.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627751,93.64323258869908,51.9607843137255,1610612761,2,4,2023-11-27T00:42:24Z,120000,False,10.0,7.0,1,right,J. Poeltl cutting Layup (2 PTS) (D. Schroder 1 AST),"[1627751, 203471]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.22,Made,2.0,D. Schroder,203471.0,1.0,,,,,,,,,,,,,,
14,PT10M44.00S,2023-11-27T00:42:23.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,16.113666228646515,50.245098039215684,1610612739,4,4,2023-11-27T00:42:42Z,140000,False,-1.0,99.0,1,left,D. Garland 9' floating Jump Shot (2 PTS) (J. Allen 1 AST),"[1629636, 1628386]",1610612739.0,CLE,floating,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,9.9,Made,2.0,J. Allen,1628386.0,1.0,,,,,,,,,,,,,,
16,PT10M26.00S,2023-11-27T00:42:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,93.38042049934296,51.9607843137255,1610612761,4,4,2023-11-27T00:42:47Z,160000,False,10.0,10.0,1,right,MISS P. Siakam driving Layup,[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.38,Missed,,,,,,,,,,,,,,,,,,
17,PT10M26.00S,2023-11-27T00:42:40.1Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,4,4,2023-11-27T00:42:47Z,170000,False,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,
