actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-26T00:41:39.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-26T00:41:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-11-26T00:41:43.8Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2023-11-26T00:41:43Z,40000,False,,,0,,Jump Ball J. Allen vs. A. Davis: Tip to D. Garland,"[1629636, 1628386, 203076]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-11-26T00:41:57.9Z,1,REGULAR,turnover,bad pass,[],1630596,,,1610612739,0,0,2023-11-26T00:42:03Z,70000,False,,,0,,E. Mobley bad pass TURNOVER (1 TO),"[1630596, 203076]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Right Center,1.0,Davis,203076.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-11-26T00:41:57.9Z,1,REGULAR,steal,,[],203076,,,1610612747,0,0,2023-11-26T00:42:00Z,80000,False,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-11-26T00:42:04.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",2544,6.652431011826544,48.03921568627451,1610612747,0,2,2023-11-26T01:40:59Z,90000,False,10.0,10.0,1,left,L. James running Layup (2 PTS) (T. Prince 1 AST),"[2544, 1627752]",1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,1.4,Made,2.0,T. Prince,1627752.0,1.0,,,,,,,,,,,
11,PT11M37.00S,2023-11-26T00:42:18.3Z,1,REGULAR,foul,personal,['1freethrow'],1630596,,,1610612747,0,2,2023-11-26T00:42:30Z,110000,False,,,0,,E. Mobley shooting personal FOUL (1 PF) (James 1 FT),"[1630596, 2544]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,200832.0,1.0,0.0,James,2544.0,,,,,,
13,PT11M37.00S,2023-11-26T00:42:33.4Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",2544,,,1610612747,0,3,2023-11-26T00:42:33Z,130000,False,,,0,,L. James Free Throw 1 of 1 (3 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
14,PT11M23.00S,2023-11-26T00:42:49.8Z,1,REGULAR,3pt,Jump Shot,[],1629622,74.45795006570303,82.1078431372549,1610612739,0,3,2023-11-26T00:42:54Z,140000,False,161.0,188.0,1,right,MISS M. Strus 24' 3PT,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,,24.69,Missed,,,,,,,,,,,,,,,
15,PT11M19.00S,2023-11-26T00:42:53.8Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612747,0,3,2023-11-26T00:42:54Z,150000,False,,,0,,M. Christie REBOUND (Off:0 Def:1),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,
16,PT11M12.00S,2023-11-26T00:43:00.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631108,6.389618922470433,51.470588235294116,1610612747,0,5,2023-11-26T00:43:05Z,160000,False,-7.0,8.0,1,left,M. Christie cutting DUNK (2 PTS) (D. Russell 1 AST),"[1631108, 1626156]",1610612747.0,LAL,cutting,,,Christie,M. Christie,,,,,Restricted Area,0-8 Center,,,,1.06,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,
18,PT11M00.00S,2023-11-26T00:43:12.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,87.07293035479631,53.67647058823529,1610612739,0,5,2023-11-26T00:43:21Z,180000,False,18.0,69.0,1,right,MISS D. Garland 7' driving floating Shot,[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,,,,7.14,Missed,,,,,,,,,,,,,,,
19,PT10M59.00S,2023-11-26T00:43:13.8Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,5,2023-11-26T00:49:14Z,190000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,18.0,1.0,0.0,1.0,,
62,PT10M58.00S,2023-11-26T00:43:16.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628386,92.9862023653088,50.245098039215684,1610612739,0,5,2023-11-26T00:49:33Z,195000,False,1.0,13.0,1,right,MISS J. Allen tip Layup,[1628386],1610612739.0,CLE,tip,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,1.35,Missed,,,,,,,,,,,,,,,
63,PT10M57.00S,2023-11-26T00:43:17.3Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612747,0,5,2023-11-26T00:49:33Z,197500,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,62.0,1.0,1.0,0.0,,
20,PT10M53.00S,2023-11-26T00:43:19.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627752,6.258212877792378,50.0,1610612747,0,7,2023-11-26T00:44:15Z,200000,False,0.0,6.0,1,left,T. Prince running Layup (2 PTS) (L. James 1 AST),"[1627752, 2544]",1610612747.0,LAL,running,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,0.63,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,
22,PT10M42.00S,2023-11-26T00:43:30.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,92.46057818659659,53.431372549019606,1610612739,0,7,2023-11-26T00:43:38Z,220000,False,17.0,18.0,1,right,MISS D. Mitchell driving Layup,[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,2.52,Missed,,,,,,,,,,,,,,,
23,PT10M39.00S,2023-11-26T00:43:33.7Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,7,2023-11-26T00:44:08Z,230000,False,,,0,,J. Allen REBOUND (Off:2 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,22.0,2.0,0.0,2.0,,
24,PT10M39.00S,2023-11-26T00:43:37.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628386,94.40999984741211,50.0,1610612739,2,7,2023-11-26T00:44:32Z,240000,False,0.0,0.0,1,right,J. Allen tip Layup (2 PTS),[1628386],1610612739.0,CLE,tip,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,0.0,Made,2.0,,,,,,,,,,,,,,
25,PT10M19.00S,2023-11-26T00:43:53.7Z,1,REGULAR,3pt,Jump Shot,[],1627752,17.427726675427067,5.88235294117647,1610612747,2,7,2023-11-26T00:43:58Z,250000,False,221.0,111.0,1,left,MISS T. Prince 24' 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,,24.71,Missed,,,,,,,,,,,,,,,
26,PT10M17.00S,2023-11-26T00:43:55.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,7,2023-11-26T00:43:58Z,260000,False,,,0,,J. Allen REBOUND (Off:2 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,25.0,3.0,1.0,2.0,,
27,PT10M10.00S,2023-11-26T00:44:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,94.30026281208936,52.69607843137255,1610612739,2,7,2023-11-26T00:45:56Z,270000,False,13.0,1.0,1,right,MISS D. Mitchell driving finger roll Layup - blocked,"[1628378, 1627752]",1610612739.0,CLE,driving finger roll,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,1.35,Missed,,,,,,,,,,,,,,Prince,1627752.0
28,PT10M10.00S,2023-11-26T00:44:02.9Z,1,REGULAR,block,,[],1627752,,,1610612739,2,7,2023-11-26T00:44:06Z,280000,False,,,0,,T. Prince BLOCK (1 BLK),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT10M06.00S,2023-11-26T00:44:06.9Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612747,2,7,2023-11-26T00:44:11Z,290000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,
