actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-10T23:10:55.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-10T23:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-03-10T23:11:14.1Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2024-03-10T23:11:14Z,40000,False,,,0,,Jump Ball J. Allen vs. N. Claxton: Tip to D. Garland,"[1629636, 1628386, 1629651]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-03-10T23:11:16.2Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,0,0,2024-03-10T23:11:26Z,70000,False,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 1630560]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,16-24 Left Center,1.0,Thomas,1630560.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-03-10T23:11:16.2Z,1,REGULAR,steal,,[],1630560,,,1610612751,0,0,2024-03-10T23:13:26Z,80000,False,,,0,,C. Thomas STEAL (1 STL),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2024-03-10T23:11:19.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1628969,3.1537450722733245,10.56219362745098,1610612751,0,2,2024-03-10T23:13:33Z,90000,False,197.0,-23.0,1,left,M. Bridges 19' running Jump Shot (2 PTS) (C. Thomas 1 AST),"[1628969, 1630560]",1610612751.0,BKN,running,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Right,,,,19.85,Made,2.0,C. Thomas,1630560.0,1.0,,,,,,,,,,,
11,PT11M27.00S,2024-03-10T23:11:33.7Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,0,2,2024-03-10T23:12:09Z,110000,False,,,0,,D. Garland step out-of-bounds TURNOVER (2 TO),[1629636],1610612739.0,CLE,step,,,Garland,D. Garland,,,,,Mid-Range,8-16 Left,2.0,,,,,,,,,202037.0,,,,,,,,,,
12,PT11M10.00S,2024-03-10T23:11:55.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627827,7.5722733245729295,49.50980392156863,1610612751,0,2,2024-03-10T23:15:29Z,120000,False,2.0,19.0,1,left,MISS D. Finney-Smith reverse Layup - blocked,"[1627827, 1628386]",1610612751.0,BKN,reverse,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,1.89,Missed,,,,,,Allen,1628386.0,,,,,,,,
13,PT11M10.00S,2024-03-10T23:11:55.6Z,1,REGULAR,block,,[],1628386,,,1610612751,0,2,2024-03-10T23:12:03Z,130000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2024-03-10T23:11:56.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,0,2,2024-03-10T23:15:29Z,140000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,12.0,,,,,,,
15,PT10M53.00S,2024-03-10T23:12:16.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627747,92.72339027595268,53.92156862745098,1610612739,2,2,2024-03-10T23:12:23Z,150000,False,20.0,16.0,1,right,C. LeVert driving DUNK (2 PTS) (J. Allen 1 AST),"[1627747, 1628386]",1610612739.0,CLE,driving,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,,,,2.52,Made,2.0,J. Allen,1628386.0,1.0,,,,,,,,,,,
