actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-17T00:41:31.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-17T00:41:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-17T00:41:35.7Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2023-12-17T00:41:35Z,40000,False,,,0,,Jump Ball J. Allen vs. O. Okongwu: Tip to D. Mitchell,"[1628378, 1628386, 1630168]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-12-17T00:41:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,94.1688567674113,51.225490196078425,1610612739,2,0,2023-12-17T00:41:53Z,70000,False,6.0,2.0,1,right,D. Mitchell cutting Layup (2 PTS) (J. Allen 1 AST),"[1628378, 1628386]",1610612739.0,CLE,cutting,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,0.65,Made,2.0,J. Allen,1628386.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2023-12-17T00:42:12.4Z,1,REGULAR,3pt,Jump Shot,[],1629631,7.046649145860711,96.07843137254902,1610612737,2,3,2023-12-17T00:42:16Z,90000,False,-230.0,14.0,1,left,D. Hunter 3PT  (3 PTS) (D. Murray 1 AST),"[1629631, 1627749]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,23.08,Made,3.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
11,PT11M04.00S,2023-12-17T00:42:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,82.21090670170827,46.568627450980394,1610612739,2,3,2023-12-17T00:42:31Z,110000,False,-17.0,115.0,1,right,MISS D. Mitchell 11' driving floating Shot,[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,11.6,Missed,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2023-12-17T00:42:29.6Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,2,3,2023-12-17T00:42:31Z,120000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M44.00S,2023-12-17T00:43:03.8Z,1,REGULAR,turnover,lost ball,[],1629027,,,1610612737,2,3,2023-12-17T00:43:09Z,140000,False,,,0,,T. Young lost ball TURNOVER (1 TO),"[1629027, 1629731]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1.0,Wade,1629731.0,,,,,,,
15,PT10M44.00S,2023-12-17T00:43:03.8Z,1,REGULAR,steal,,[],1629731,,,1610612739,2,3,2023-12-17T00:43:06Z,150000,False,,,0,,D. Wade STEAL (1 STL),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2023-12-17T00:43:13.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629731,87.72996057818659,96.56862745098039,1610612739,5,3,2023-12-17T00:43:17Z,160000,False,233.0,63.0,1,right,D. Wade 24' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1629731, 1628378]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Right Corner 3,24+ Right,24.11,Made,3.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,
18,PT10M20.00S,2023-12-17T00:43:27.9Z,1,REGULAR,3pt,Jump Shot,[],1630180,5.075558475689881,96.81372549019608,1610612737,5,3,2023-12-17T00:43:31Z,180000,False,-234.0,-5.0,1,left,MISS S. Bey 3PT,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,23.41,Missed,,,,,,,,,,,,,,,,,,
