actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-06T00:40:58.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-06T00:40:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-06T00:41:01.6Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2024-01-06T00:41:01Z,40000,False,,,0,,Jump Ball J. Allen vs. D. Gafford: Tip to D. Mitchell,"[1628378, 1628386, 1629655]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-01-06T00:41:16.6Z,1,REGULAR,3pt,Jump Shot,[],1628378,30.962549277266753,70.09803921568627,1610612739,3,0,2024-01-06T00:41:27Z,70000,False,-100.0,239.0,1,left,D. Mitchell 25' 3PT pullup (3 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.88,Made,3.0,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2024-01-06T00:41:34.2Z,1,REGULAR,3pt,Jump Shot,[],1626145,92.32917214191852,3.1862745098039214,1610612764,3,3,2024-01-06T00:41:38Z,90000,False,-234.0,20.0,1,right,T. Jones 3PT  (3 PTS) (K. Kuzma 1 AST),"[1626145, 1628398]",1610612764.0,WAS,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,23.49,Made,3.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,,
11,PT11M12.00S,2024-01-06T00:41:45.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,8.492115637319317,39.950980392156865,1610612739,5,3,2024-01-06T00:41:49Z,110000,False,50.0,27.0,1,left,J. Allen driving Hook (2 PTS) (D. Mitchell 1 AST),"[1628386, 1628378]",1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,5.71,Made,2.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,
13,PT10M53.00S,2024-01-06T00:42:04.6Z,1,REGULAR,turnover,bad pass,[],1630166,,,1610612764,5,3,2024-01-06T00:42:11Z,130000,False,,,0,,D. Avdija bad pass TURNOVER (1 TO),"[1630166, 1630171]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,Okoro,1630171.0,,,,,,,,,,,
14,PT10M53.00S,2024-01-06T00:42:04.6Z,1,REGULAR,steal,,[],1630171,,,1610612739,5,3,2024-01-06T00:42:06Z,140000,False,,,0,,I. Okoro STEAL (1 STL),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
15,PT10M50.00S,2024-01-06T00:42:11.1Z,1,REGULAR,foul,personal,['2freethrow'],1629673,,,1610612739,5,3,2024-01-06T00:42:20Z,150000,False,,,0,,J. Poole shooting personal FOUL (1 PF) (Okoro 2 FT),"[1629673, 1630171]",1610612764.0,WAS,shooting,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627539.0,1.0,0.0,Okoro,1630171.0,,,,,,
17,PT10M50.00S,2024-01-06T00:42:37.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630171,,,1610612739,6,3,2024-01-06T00:42:54Z,170000,False,,,0,,I. Okoro Free Throw 1 of 2 (1 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
18,PT10M50.00S,2024-01-06T00:42:37.0Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1630171,,,1610612739,6,3,2024-01-06T00:42:54Z,180000,False,,,0,,MISS I. Okoro Free Throw 2 of 2,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
