actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-11T19:11:02.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-11T19:11:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-11T19:11:06.3Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612751,0,0,2024-01-11T19:11:06Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Allen: Tip to S. Dinwiddie,"[203915, 1629651, 1628386]",1610612751.0,BKN,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Claxton,1629651.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-01-11T19:11:16.3Z,1,REGULAR,2pt,Jump Shot,[],1628969,78.40013140604468,37.00980392156863,1610612751,0,0,2024-01-11T19:12:16Z,70000,False,-65.0,151.0,1,right,MISS M. Bridges 16' pullup Shot,[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Left Center,16.39,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-01-11T19:11:18.8Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2024-01-11T19:11:18Z,80000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2024-01-11T19:11:26.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,5.732588699080158,49.50980392156863,1610612739,2,0,2024-01-11T19:13:35Z,90000,False,2.0,1.0,1,left,D. Mitchell driving finger roll Layup (2 PTS),[1628378],1610612739.0,CLE,driving finger roll,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,0.29,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M24.00S,2024-01-11T19:11:37.2Z,1,REGULAR,turnover,bad pass,[],1629661,,,1610612751,2,0,2024-01-11T19:14:35Z,100000,False,,,0,,C. Johnson bad pass TURNOVER (1 TO),"[1629661, 1628378]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Left,,,,,,,,1.0,Mitchell,1628378.0,,,,,,,,,,
11,PT11M24.00S,2024-01-11T19:11:37.2Z,1,REGULAR,steal,,[],1628378,,,1610612739,2,0,2024-01-11T19:11:39Z,110000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2024-01-11T19:11:41.3Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612739,2,0,2024-01-11T19:12:00Z,120000,False,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1627827, 1628378]",1610612751.0,BKN,shooting,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1830.0,1.0,0.0,Mitchell,1628378.0,,,,,
14,PT11M23.00S,2024-01-11T19:12:12.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628378,,,1610612739,3,0,2024-01-11T19:12:12Z,140000,False,,,0,,D. Mitchell Free Throw 1 of 2 (3 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
15,PT11M23.00S,2024-01-11T19:12:33.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1628378,,,1610612739,4,0,2024-01-11T19:12:33Z,150000,False,,,0,,D. Mitchell Free Throw 2 of 2 (4 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
16,PT10M59.00S,2024-01-11T19:12:58.4Z,1,REGULAR,2pt,Jump Shot,[],1629661,75.90341655716163,63.970588235294116,1610612751,4,0,2024-01-11T19:15:09Z,160000,False,70.0,174.0,1,right,MISS C. Johnson 18' pullup Shot,[1629661],1610612751.0,BKN,pullup,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Right Center,18.75,Missed,,,,,,,,,,,,,,,,,,
17,PT10M56.00S,2024-01-11T19:13:01.4Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,4,0,2024-01-11T19:15:09Z,170000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Right Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M53.00S,2024-01-11T19:13:05.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628378,7.178055190538765,50.0,1610612739,6,0,2024-01-11T19:15:27Z,180000,False,0.0,15.0,1,left,D. Mitchell running Layup (6 PTS),[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,1.5,Made,,,,,6.0,,,,,,,,,,,,,
19,PT10M38.00S,2024-01-11T19:13:19.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,94.43166885676742,48.529411764705884,1610612751,6,2,2024-01-11T19:15:52Z,190000,False,-7.0,0.0,1,right,N. Claxton alley-oop Layup (2 PTS) (S. Dinwiddie 1 AST),"[1629651, 203915]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,0.74,Made,,,,,2.0,,,,,,,,,S. Dinwiddie,203915.0,1.0,,
21,PT10M22.00S,2024-01-11T19:13:35.7Z,1,REGULAR,3pt,Jump Shot,[],1628378,36.08738501971091,17.15686274509804,1610612739,6,2,2024-01-11T19:13:40Z,210000,False,164.0,287.0,1,left,MISS D. Mitchell 33' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,33.04,Missed,,,,,,,,,,,,,,,,,,
22,PT10M19.00S,2024-01-11T19:13:38.7Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,6,2,2024-01-11T19:13:40Z,220000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M12.00S,2024-01-11T19:13:49.1Z,1,REGULAR,turnover,out-of-bounds,[],1628969,,,1610612751,6,2,2024-01-11T19:14:05Z,230000,False,,,0,,M. Bridges step out-of-bounds TURNOVER (1 TO),[1628969],1610612751.0,BKN,step,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,,,200833.0,,,,,,,,,
24,PT09M50.00S,2024-01-11T19:14:18.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629622,31.488173455978973,63.725490196078425,1610612739,6,2,2024-01-11T19:16:47Z,240000,False,-69.0,243.0,1,left,MISS M. Strus 25' pullup 3PT,[1629622],1610612739.0,CLE,pullup,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,25.3,Missed,,,,,,,,,,,,,,,,,,
