actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-26T03:10:42.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-26T03:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-26T03:10:45.2Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2023-01-26T03:10:45Z,40000,False,,,0,,Jump Ball D. Sabonis vs. S. Barnes: Tip to H. Barnes,"[203084, 1627734, 1630567]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2023-01-26T03:11:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,5.995400788436268,65.68627450980392,1610612758,0,0,2023-01-26T03:11:53Z,70000,False,-78.0,4.0,1,left,MISS D. Sabonis 7' driving Layup - blocked,"[1627734, 1628384]",1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,7.85,Missed,Anunoby,1628384.0,,,,,,,,,,,,,,,,
8,PT11M33.00S,2023-01-26T03:11:08.3Z,1,REGULAR,block,,[],1628384,,,1610612758,0,0,2023-01-26T03:11:11Z,80000,False,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2023-01-26T03:11:12.3Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,0,2023-01-26T03:11:16Z,90000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M11.00S,2023-01-26T03:11:30.7Z,1,REGULAR,2pt,Jump Shot,[],1627783,72.88107752956637,54.90196078431373,1610612761,0,0,2023-01-26T03:12:24Z,100000,False,25.0,202.0,1,right,MISS P. Siakam 20' step back Shot,[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Center,20.39,Missed,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2023-01-26T03:11:33.7Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,0,0,2023-01-26T03:11:37Z,110000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Center,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,
12,PT11M07.00S,2023-01-26T03:11:35.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629018,72.09264126149803,17.647058823529413,1610612761,0,3,2023-01-26T03:11:49Z,120000,False,-162.0,210.0,1,right,G. Trent Jr. 26' 3PT  (3 PTS) (S. Barnes 1 AST),"[1629018, 1630567]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,26.49,Made,,,,,,,3.0,S. Barnes,1630567.0,1.0,,,,,,,,
14,PT10M48.00S,2023-01-26T03:11:54.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,5.863994743758213,50.0,1610612758,2,3,2023-01-26T03:11:59Z,140000,False,0.0,3.0,1,left,D. Sabonis alley-oop Layup (2 PTS) (D. Fox 1 AST),"[1627734, 1628368]",1610612758.0,SAC,alley-oop,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,0.26,Made,,,,,,,2.0,D. Fox,1628368.0,1.0,,,,,,,,
16,PT10M26.00S,2023-01-26T03:12:16.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629018,91.5407358738502,51.71568627450981,1610612761,2,5,2023-01-26T03:13:49Z,160000,False,9.0,27.0,1,right,G. Trent Jr. cutting DUNK (5 PTS) (P. Siakam 1 AST),"[1629018, 1627783]",1610612761.0,TOR,cutting,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,2.83,Made,,,,,,,5.0,P. Siakam,1627783.0,1.0,,,,,,,,
