actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-28T03:10:59.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-28T03:10:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-28T03:11:03.0Z,1,REGULAR,jumpball,recovered,[],1628989,,,1610612758,0,0,2022-12-28T03:11:03Z,40000,False,,,0,,Jump Ball A. Len vs. N. Jokic: Tip to K. Huerter,"[1628989, 203458, 203999]",1610612758.0,SAC,startperiod,K. Huerter,1628989.0,Huerter,K. Huerter,Len,203458.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2022-12-28T03:11:08.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628368,5.995400788436268,48.77450980392157,1610612758,2,0,2022-12-28T03:11:12Z,70000,False,6.0,4.0,1,left,D. Fox driving DUNK (2 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,0.72,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2022-12-28T03:11:26.9Z,1,REGULAR,3pt,Jump Shot,[],1630192,91.5407358738502,96.32352941176471,1610612743,2,0,2022-12-28T03:11:33Z,80000,False,232.0,27.0,1,right,MISS Z. Nnaji 3PT,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Right Corner 3,24+ Right,23.32,Missed,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-12-28T03:11:29.9Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,2,0,2022-12-28T03:11:33Z,90000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M17.00S,2022-12-28T03:11:42.1Z,1,REGULAR,turnover,bad pass,[],1628989,,,1610612758,2,0,2022-12-28T03:11:45Z,100000,False,,,0,,K. Huerter bad pass TURNOVER (1 TO),"[1628989, 203484]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,,,,,,
11,PT11M17.00S,2022-12-28T03:11:42.1Z,1,REGULAR,steal,,[],203484,,,1610612743,2,0,2022-12-28T03:11:44Z,110000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-12-28T03:11:45.1Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612743,2,0,2022-12-28T03:11:51Z,120000,False,,,0,,K. Caldwell-Pope bad pass TURNOVER (1 TO),"[203484, 1628989]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,Huerter,1628989.0,,,,,,,,,,
13,PT11M14.00S,2022-12-28T03:11:45.1Z,1,REGULAR,steal,,[],1628989,,,1610612758,2,0,2022-12-28T03:11:49Z,130000,False,,,0,,K. Huerter STEAL (1 STL),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2022-12-28T03:11:55.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631099,4.944152431011826,95.34313725490196,1610612758,2,0,2022-12-28T03:11:59Z,140000,False,-227.0,-6.0,1,left,MISS K. Murray 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Left Corner 3,24+ Left,22.68,Missed,,,,,,,,,,,,,,,,,,
