actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-24T03:10:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-24T03:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-24T03:10:28.1Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2023-02-24T03:10:28Z,40000,False,,,0,,Jump Ball D. Sabonis vs. D. Eubanks: Tip to H. Barnes,"[203084, 1627734, 1629234]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-02-24T03:10:43.9Z,1,REGULAR,3pt,Jump Shot,[],1628368,27.020367936925098,21.07843137254902,1610612758,0,0,2023-02-24T03:10:51Z,70000,False,145.0,201.0,1,left,MISS D. Fox 24' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,24.8,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-02-24T03:10:45.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,0,0,2023-02-24T03:10:51Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Right Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2023-02-24T03:11:03.4Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,0,0,2023-02-24T03:11:10Z,100000,False,,,0,,D. Fox bad pass TURNOVER (1 TO),"[1628368, 1629642]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,Little,1629642.0,,,,,,,,,,,,,,
11,PT11M34.00S,2023-02-24T03:11:03.4Z,1,REGULAR,steal,,[],1629642,,,1610612757,0,0,2023-02-24T03:11:10Z,110000,False,,,0,,N. Little STEAL (1 STL),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2023-02-24T03:11:24.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629629,75.90341655716163,87.25490196078431,1610612757,0,0,2023-02-24T03:13:02Z,120000,False,186.0,174.0,1,right,MISS C. Reddish 25' pullup 3PT,[1629629],1610612757.0,POR,pullup,,,Reddish,C. Reddish,,,,,Above the Break 3,24+ Right Center,25.49,Missed,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2023-02-24T03:11:27.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2023-02-24T03:13:02Z,130000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,12.0,,,,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M59.00S,2023-02-24T03:11:38.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,8.754927726675426,41.17647058823529,1610612758,0,0,2023-02-24T03:11:44Z,140000,False,44.0,30.0,1,left,MISS H. Barnes bank Shot,[203084],1610612758.0,SAC,bank,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,5.32,Missed,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2023-02-24T03:11:40.0Z,1,REGULAR,rebound,defensive,[],1627853,,,1610612757,0,0,2023-02-24T03:11:44Z,150000,False,,,0,,R. Arcidiacono REBOUND (Off:0 Def:1),[1627853],1610612757.0,POR,,,,Arcidiacono,R. Arcidiacono,,,,,In The Paint (Non-RA),0-8 Center,,,14.0,,,,1.0,1.0,0.0,,,,,,,,,,,
