actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2022-12-29T03:10:28.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-29T03:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-12-29T03:10:33.2Z,1,REGULAR,jumpball,recovered,[],1630538,,,1610612743,0,0,2022-12-29T03:10:33Z,40000,False,,,0,,Jump Ball N. Jokic vs. D. Sabonis: Tip to B. Hyland,"[1630538, 203999, 1627734]",1610612743.0,DEN,startperiod,B. Hyland,1630538.0,Hyland,B. Hyland,Jokic,203999.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2022-12-29T03:10:35.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612743,0,0,2022-12-29T03:10:43Z,70000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612758.0,SAC,,,,,,,,,,204059.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-12-29T03:10:41.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,88.38699080157687,55.392156862745104,1610612743,0,2,2022-12-29T03:10:52Z,80000,False,27.0,57.0,1,right,N. Jokic 6' Hook (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,In The Paint (Non-RA),0-8 Center,6.28,Made,2.0,,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-12-29T03:11:04.7Z,1,REGULAR,foul,personal,[],1630538,,,1610612758,0,2,2022-12-29T03:11:15Z,90000,False,,,0,,B. Hyland personal FOUL (1 PF),"[1630538, 1628989]",1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,1627964.0,Mid-Range,16-24 Right Center,,,,1.0,0.0,Huerter,1628989.0,,,,,,,,,,,,
11,PT11M18.00S,2022-12-29T03:11:28.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,7.703679369250986,57.35294117647059,1610612758,0,2,2022-12-29T03:11:52Z,110000,False,-37.0,20.0,1,left,MISS D. Sabonis Layup - blocked,"[1627734, 1629008]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,Restricted Area,0-8 Center,4.18,Missed,,,,,,Porter Jr.,1629008.0,,,,,,,,,,
12,PT11M18.00S,2022-12-29T03:11:28.3Z,1,REGULAR,block,,[],1629008,,,1610612758,0,2,2022-12-29T03:11:32Z,120000,False,,,0,,M. Porter Jr. BLOCK (1 BLK),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2022-12-29T03:11:28.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,0,2,2022-12-29T03:11:52Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,11.0,,,,,,,,,
14,PT11M14.00S,2022-12-29T03:12:02.1Z,1,REGULAR,jumpball,recovered,[],1631099,,,1610612758,0,2,2022-12-29T03:12:02Z,140000,False,,,0,,Jump Ball D. Sabonis vs. M. Porter Jr.: Tip to K. Murray,"[1631099, 1627734, 1629008]",1610612758.0,SAC,heldball,K. Murray,1631099.0,Murray,K. Murray,Sabonis,1627734.0,Porter Jr.,1629008.0,,,,,,,,,,,,,,,,,,,,,,
17,PT11M11.00S,2022-12-29T03:12:06.1Z,1,REGULAR,turnover,lost ball,[],1628368,,,1610612758,0,2,2022-12-29T03:12:11Z,170000,False,,,0,,D. Fox lost ball TURNOVER (1 TO),"[1628368, 203484]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,,
18,PT11M11.00S,2022-12-29T03:12:06.1Z,1,REGULAR,steal,,[],203484,,,1610612743,0,2,2022-12-29T03:12:11Z,180000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,
19,PT11M05.00S,2022-12-29T03:12:10.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630538,93.77463863337714,54.41176470588235,1610612743,0,4,2022-12-29T03:12:16Z,190000,False,22.0,6.0,1,right,B. Hyland running Layup (2 PTS) (K. Caldwell-Pope 1 AST),"[1630538, 203484]",1610612743.0,DEN,running,,,Hyland,B. Hyland,,,,,,Restricted Area,0-8 Center,2.29,Made,2.0,,,,,,,,,,,K. Caldwell-Pope,203484.0,1.0,,,
21,PT10M59.00S,2022-12-29T03:12:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,5.995400788436268,47.05882352941176,1610612758,0,4,2022-12-29T03:12:42Z,210000,False,15.0,4.0,1,left,MISS D. Fox running Layup,[1628368],1610612758.0,SAC,running,,,Fox,D. Fox,,,,,,Restricted Area,0-8 Center,1.52,Missed,,,,,,,,,,,,,,,,,
22,PT10M56.00S,2022-12-29T03:12:21.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,4,2022-12-29T03:12:30Z,220000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Restricted Area,0-8 Center,,,,,,,,,,21.0,,,,,,,1.0,1.0,0.0
23,PT10M51.00S,2022-12-29T03:12:24.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203999,92.46057818659659,49.754901960784316,1610612743,0,6,2022-12-29T03:18:23Z,230000,False,-1.0,18.0,1,right,N. Jokic running Layup (4 PTS),[203999],1610612743.0,DEN,running,,,Jokic,N. Jokic,,,,,,Restricted Area,0-8 Center,1.84,Made,4.0,,,,,,,,,,,,,,,,
24,PT10M36.00S,2022-12-29T03:12:40.1Z,1,REGULAR,3pt,Jump Shot,[],1631099,27.020367936925098,17.401960784313726,1610612758,0,6,2022-12-29T03:12:45Z,240000,False,163.0,201.0,1,left,MISS K. Murray 25' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,Above the Break 3,24+ Right Center,25.92,Missed,,,,,,,,,,,,,,,,,
25,PT10M36.00S,2022-12-29T03:12:40.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,0,6,2022-12-29T03:12:45Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,24.0,,,,,,,,,
27,PT10M27.00S,2022-12-29T03:13:06.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203084,8.754927726675426,3.6764705882352944,1610612758,0,6,2022-12-29T03:13:11Z,270000,False,232.0,30.0,1,left,MISS H. Barnes 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Right Corner 3,24+ Right,23.35,Missed,,,,,,,,,,,,,,,,,
