actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-21T03:10:19.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-21T03:10:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-21T03:10:23.1Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2023-01-21T03:10:23Z,40000,False,,,0,,Jump Ball D. Sabonis vs. J. Williams: Tip to H. Barnes,"[203084, 1627734, 1631119]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Williams,1631119.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-01-21T03:10:33.6Z,1,REGULAR,3pt,Jump Shot,[],1628368,30.962549277266753,27.941176470588236,1610612758,0,0,2023-01-21T03:10:41Z,70000,False,110.0,239.0,1,left,MISS D. Fox 26' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,26.28,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-01-21T03:10:38.6Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2023-01-21T03:10:41Z,80000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2023-01-21T03:10:55.1Z,1,REGULAR,2pt,Jump Shot,[],1631119,79.58278580814718,85.5392156862745,1610612760,0,0,2023-01-21T03:11:02Z,90000,False,178.0,139.0,1,right,MISS J. Williams 22' Jump Shot,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,16-24 Right Center,22.59,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2023-01-21T03:10:58.5Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,0,0,2023-01-21T03:10:58Z,100000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M13.00S,2023-01-21T03:11:09.6Z,1,REGULAR,turnover,out-of-bounds,[],1627734,,,1610612758,0,0,2023-01-21T03:11:18Z,110000,False,,,0,,D. Sabonis lost ball out-of-bounds TURNOVER (1 TO),[1627734],1610612758.0,SAC,lost ball,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Left,,,,,,,1146.0,1.0,,,,,,,,,,,,
12,PT10M58.00S,2023-01-21T03:11:30.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630581,87.59855453350855,64.4607843137255,1610612760,0,2,2023-01-21T03:11:47Z,120000,False,72.0,64.0,1,right,J. Giddey 9' driving bank Jump Shot (2 PTS),[1630581],1610612760.0,OKC,driving bank,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Right,9.66,Made,,,,,,,2.0,,,,,,,,,,,
13,PT10M41.00S,2023-01-21T03:11:49.5Z,1,REGULAR,turnover,out-of-bounds,[],1627734,,,1610612758,0,2,2023-01-21T03:12:02Z,130000,False,,,0,,D. Sabonis bad pass out-of-bounds TURNOVER (2 TO),[1627734],1610612758.0,SAC,bad pass,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Left Center,,,,,,,1146.0,2.0,,,,,,,,,,,,
14,PT10M29.00S,2023-01-21T03:12:04.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1631114,92.06636005256242,27.450980392156865,1610612760,0,4,2023-01-21T03:12:16Z,140000,False,-113.0,22.0,1,right,J. Williams 11' pullup Jump Shot (2 PTS),[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,8-16 Left,11.48,Made,,,,,,,2.0,,,,,,,,,,,
15,PT10M16.00S,2023-01-21T03:12:18.5Z,1,REGULAR,3pt,Jump Shot,[],1628989,32.53942181340342,43.13725490196079,1610612758,0,4,2023-01-21T03:12:33Z,150000,False,34.0,253.0,1,left,MISS K. Huerter 25' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,25.57,Missed,,,,,,,,,,,,,,,,,,
16,PT10M11.00S,2023-01-21T03:12:23.5Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,4,2023-01-21T03:12:33Z,160000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
