actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-01T03:11:07.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-01T03:11:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-01T03:11:11.0Z,1,REGULAR,jumpball,recovered,[],1630188,,,1610612754,0,0,2022-12-01T03:11:11Z,40000,False,,,0,,Jump Ball M. Turner vs. D. Sabonis: Tip to J. Smith,"[1630188, 1626167, 1627734]",1610612754.0,IND,startperiod,J. Smith,1630188.0,Smith,J. Smith,Turner,1626167.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-12-01T03:11:29.1Z,1,REGULAR,3pt,Jump Shot,[],1630188,91.5407358738502,96.56862745098039,1610612754,0,3,2022-12-01T03:11:39Z,70000,False,233.0,27.0,1,right,J. Smith 3PT step back (3 PTS) (B. Hield 1 AST),"[1630188, 1627741]",1610612754.0,IND,step back,,,Smith,J. Smith,,,,,Right Corner 3,24+ Right,23.44,Made,3.0,B. Hield,1627741.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2022-12-01T03:11:44.6Z,1,REGULAR,foul,personal,['2freethrow'],1627741,,,1610612758,0,3,2022-12-01T03:11:55Z,90000,False,,,0,,B. Hield shooting personal FOUL (1 PF) (Barnes 2 FT),"[1627741, 203084]",1610612754.0,IND,shooting,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,,2882.0,1.0,0.0,Barnes,203084.0,,,,,,,,,
11,PT11M25.00S,2022-12-01T03:12:06.6Z,1,REGULAR,freethrow,1 of 2,[],203084,,,1610612758,0,3,2022-12-01T03:12:06Z,110000,False,,,0,,MISS H. Barnes Free Throw 1 of 2,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2022-12-01T03:12:06.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,0,3,2022-12-01T03:12:06Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
13,PT11M25.00S,2022-12-01T03:12:21.3Z,1,REGULAR,freethrow,2 of 2,[],203084,,,1610612758,1,3,2022-12-01T03:12:21Z,130000,False,,,0,,H. Barnes Free Throw 2 of 2 (1 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2022-12-01T03:12:35.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,92.9862023653088,46.07843137254902,1610612754,1,5,2022-12-01T03:12:41Z,140000,False,-20.0,13.0,1,right,A. Nembhard driving Layup (2 PTS) (T. Haliburton 1 AST),"[1629614, 1630169]",1610612754.0,IND,driving,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,2.37,Made,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
16,PT11M13.00S,2022-12-01T03:12:41.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,1,5,2022-12-01T03:12:41Z,160000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M57.00S,2022-12-01T03:15:49.4Z,1,REGULAR,3pt,Jump Shot,[],203084,28.86005256241787,74.01960784313727,1610612758,4,5,2022-12-01T03:15:55Z,170000,False,-120.0,219.0,1,left,H. Barnes 24' 3PT  (4 PTS) (D. Sabonis 1 AST),"[203084, 1627734]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,24.96,Made,4.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,
19,PT10M43.00S,2022-12-01T03:16:03.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,88.38699080157687,41.17647058823529,1610612754,4,5,2022-12-01T03:16:19Z,190000,False,-44.0,57.0,1,right,MISS M. Turner 7' floating Shot,[1626167],1610612754.0,IND,floating,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,7.18,Missed,,,,,,,,,,,,,,,,,,
20,PT10M41.00S,2022-12-01T03:16:05.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,4,5,2022-12-01T03:16:09Z,200000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,
21,PT10M28.00S,2022-12-01T03:16:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631099,6.258212877792378,46.81372549019608,1610612758,6,5,2022-12-01T03:16:28Z,210000,False,16.0,6.0,1,left,K. Murray cutting Layup (2 PTS) (D. Sabonis 2 AST),"[1631099, 1627734]",1610612758.0,SAC,cutting,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,1.71,Made,2.0,D. Sabonis,1627734.0,2.0,,,,,,,,,,,,,,
23,PT10M28.00S,2022-12-01T03:16:26.4Z,1,REGULAR,foul,personal,['1freethrow'],1629614,,,1610612758,6,5,2022-12-01T03:16:33Z,230000,False,,,0,,A. Nembhard shooting personal FOUL (1 PF) (Murray 1 FT),"[1629614, 1631099]",1610612754.0,IND,shooting,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,1627529.0,1.0,0.0,Murray,1631099.0,,,,,,,,,
25,PT10M28.00S,2022-12-01T03:16:43.5Z,1,REGULAR,freethrow,1 of 1,[],1631099,,,1610612758,7,5,2022-12-01T03:16:43Z,250000,False,,,0,,K. Murray Free Throw 1 of 1 (3 PTS),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
26,PT10M12.00S,2022-12-01T03:17:00.6Z,1,REGULAR,3pt,Jump Shot,[],1627741,73.66951379763469,16.42156862745098,1610612754,7,5,2022-12-01T03:17:24Z,260000,False,-168.0,195.0,1,right,MISS B. Hield 25' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,25.73,Missed,,,,,,,,,,,,,,,,,,
