actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-20T02:11:53.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-20T02:11:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-20T02:11:56.2Z,1,REGULAR,jumpball,recovered,[],1628989,,,1610612758,0,0,2022-10-20T02:11:56Z,40000,,,0,,Jump Ball D. Sabonis vs. J. Nurkic: Tip to K. Huerter,"[1628989, 1627734, 203994]",1610612758.0,SAC,startperiod,K. Huerter,1628989.0,Huerter,K. Huerter,Sabonis,1627734.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-10-20T02:12:08.2Z,1,REGULAR,3pt,Jump Shot,[],1628368,28.728646517739815,73.52941176470588,1610612758,3,0,2022-10-20T02:12:14Z,70000,-118.0,218.0,1,left,D. Fox 24' 3PT step back (3 PTS) (H. Barnes 1 AST),"[1628368, 203084]",1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,24.73,Made,3.0,H. Barnes,203084.0,1.0,,,,,,,,,,,,,,
8,PT11M27.00S,2022-10-20T02:12:45.2Z,1,REGULAR,foul,personal,[],1629644,,,1610612757,3,0,2022-10-20T02:13:02Z,80000,,,0,,K. Okpala personal FOUL (1 PF),"[1629644, 203924]",1610612758.0,SAC,,,,Okpala,K. Okpala,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2004.0,1.0,0.0,Grant,203924.0,,,,,,,,,
10,PT11M20.00S,2022-10-20T02:13:08.1Z,1,REGULAR,2pt,Jump Shot,[],1629014,81.553876478318,32.59803921568628,1610612757,3,0,2022-10-20T02:13:15Z,100000,-87.0,121.0,1,right,MISS A. Simons 14' fadeaway Shot,[1629014],1610612757.0,POR,fadeaway,,,Simons,A. Simons,,,,,Mid-Range,8-16 Left,14.89,Missed,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2022-10-20T02:13:11.1Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,3,0,2022-10-20T02:13:15Z,110000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,
12,PT11M00.00S,2022-10-20T02:13:28.5Z,1,REGULAR,3pt,Jump Shot,[],1627734,31.61957950065703,38.970588235294116,1610612758,3,0,2022-10-20T02:13:37Z,120000,55.0,245.0,1,left,MISS D. Sabonis 25' 3PT,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,25.08,Missed,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2022-10-20T02:13:34.5Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,3,0,2022-10-20T02:13:37Z,130000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT10M53.00S,2022-10-20T02:13:34.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203994,88.25558475689881,47.30392156862745,1610612757,3,0,2022-10-20T02:13:43Z,140000,-13.0,58.0,1,right,MISS J. Nurkic running Layup,[203994],1610612757.0,POR,running,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,5.95,Missed,,,,,,,,,,,,,,,,,,
15,PT10M49.00S,2022-10-20T02:13:38.3Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,3,0,2022-10-20T02:20:31Z,150000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT10M46.00S,2022-10-20T02:13:41.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203084,6.652431011826544,50.98039215686274,1610612758,5,0,2022-10-20T02:18:04Z,160000,-5.0,10.0,1,left,H. Barnes running Layup (2 PTS) (K. Huerter 1 AST),"[203084, 1628989]",1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,1.11,Made,2.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,,,,
18,PT10M36.00S,2022-10-20T02:13:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,92.85479632063075,45.09803921568628,1610612757,5,2,2022-10-20T02:20:07Z,180000,-25.0,15.0,1,right,J. Hart driving Layup (2 PTS) (J. Nurkic 1 AST),"[1628404, 203994]",1610612757.0,POR,driving,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,2.86,Made,2.0,J. Nurkic,203994.0,1.0,,,,,,,,,,,,,,
19,PT10M26.00S,2022-10-20T02:14:03.0Z,1,REGULAR,3pt,Jump Shot,[],1629644,7.966491458607096,2.450980392156863,1610612758,5,2,2022-10-20T02:21:27Z,190000,238.0,22.0,1,left,MISS K. Okpala 3PT,[1629644],1610612758.0,SAC,,,,Okpala,K. Okpala,,,,,Right Corner 3,24+ Right,23.88,Missed,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2022-10-20T02:14:03.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,5,2,2022-10-20T02:14:12Z,200000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,19.0,2.0,2.0,0.0,,,,,
22,PT10M15.00S,2022-10-20T02:14:15.1Z,1,REGULAR,foul,personal,['2freethrow'],1628989,,,1610612757,5,2,2022-10-20T02:14:23Z,210000,,,0,,K. Huerter shooting personal FOUL (1 PF) (Grant 2 FT),"[1628989, 203924]",1610612758.0,SAC,shooting,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203593.0,1.0,0.0,Grant,203924.0,,,,,,,,,
24,PT10M15.00S,2022-10-20T02:14:46.4Z,1,REGULAR,freethrow,1 of 2,[],203924,,,1610612757,5,3,2022-10-20T02:14:46Z,230000,,,0,,J. Grant Free Throw 1 of 2 (1 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
25,PT10M15.00S,2022-10-20T02:15:02.0Z,1,REGULAR,freethrow,2 of 2,[],203924,,,1610612757,5,4,2022-10-20T02:15:02Z,240000,,,0,,J. Grant Free Throw 2 of 2 (2 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
26,PT10M05.00S,2022-10-20T02:15:12.1Z,1,REGULAR,3pt,Jump Shot,[],203084,23.866622864651774,86.02941176470588,1610612758,5,4,2022-10-20T02:15:21Z,250000,-180.0,172.0,1,left,MISS H. Barnes 24' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,24.89,Missed,,,,,,,,,,,,,,,,,,
27,PT10M04.00S,2022-10-20T02:15:17.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,5,4,2022-10-20T02:15:17Z,260000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,26.0,,,,,,,,
29,PT09M57.00S,2022-10-20T02:15:37.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628989,30.436925098554536,65.93137254901961,1610612758,8,4,2022-10-20T02:44:18Z,280000,-80.0,234.0,1,left,K. Huerter 24' 3PT step back (3 PTS) (D. Sabonis 1 AST),"[1628989, 1627734]",1610612758.0,SAC,step back,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,24.68,Made,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,
31,PT09M44.00S,2022-10-20T02:15:57.6Z,1,REGULAR,foul,offensive,[],203994,,,1610612757,8,4,2022-10-20T02:16:05Z,300000,,,0,,J. Nurkic offensive FOUL (1 PF),"[203994, 1629644]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Center,,,,,,,203593.0,1.0,0.0,Okpala,1629644.0,,,,,,,,,
33,PT09M44.00S,2022-10-20T02:15:57.6Z,1,REGULAR,turnover,offensive foul,[],203994,,,1610612757,8,4,2022-10-20T02:15:57Z,320000,,,0,,J. Nurkic offensive foul TURNOVER (1 TO),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Center,,,,,,,203593.0,,,,,,,,,1.0,,,,
34,PT09M32.00S,2022-10-20T02:16:13.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628368,29.517082785808146,71.81372549019608,1610612758,11,4,2022-10-20T02:16:20Z,330000,-109.0,225.0,1,left,D. Fox 25' 3PT  (6 PTS) (K. Okpala 1 AST),"[1628368, 1629644]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,25.01,Made,6.0,K. Okpala,1629644.0,1.0,,,,,,,,,,,,,,
36,PT09M10.00S,2022-10-20T02:16:36.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629014,91.93495400788436,48.77450980392157,1610612757,11,4,2022-10-20T02:16:44Z,350000,-6.0,23.0,1,right,MISS A. Simons driving DUNK,[1629014],1610612757.0,POR,driving,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,2.41,Missed,,,,,,,,,,,,,,,,,,
