actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-10T03:10:32.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-10T03:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-10T03:10:36.4Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2023-01-10T03:10:36Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. D. Sabonis: Tip to M. Fultz,"[1628365, 1628976, 1627734]",1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Carter Jr.,1628976.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-01-10T03:10:49.2Z,1,REGULAR,2pt,Hook,[],1628976,83.78777923784494,31.862745098039213,1610612753,0,0,2023-01-10T03:10:54Z,70000,False,-91.0,100.0,1,right,MISS W. Carter Jr. 13' Hook,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,13.49,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-01-10T03:10:51.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2023-01-10T03:10:54Z,80000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2023-01-10T03:11:02.6Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612758,0,0,2023-01-10T03:11:06Z,90000,False,,,0,,D. Sabonis bad pass TURNOVER (1 TO),"[1627734, 1631094]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Banchero,1631094.0,,,,,,,,,,,
10,PT11M29.00S,2023-01-10T03:11:02.6Z,1,REGULAR,steal,,[],1631094,,,1610612753,0,0,2023-01-10T03:11:04Z,100000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2023-01-10T03:11:14.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628976,92.32917214191852,56.86274509803921,1610612753,0,2,2023-01-10T03:11:20Z,110000,False,34.0,20.0,1,right,W. Carter Jr. driving Layup (2 PTS),[1628976],1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,3.95,Made,,,,,,,,2.0,,,,,,,,,,
12,PT11M00.00S,2023-01-10T03:11:31.9Z,1,REGULAR,3pt,Jump Shot,[],1631099,9.280551905387648,96.07843137254902,1610612758,0,2,2023-01-10T03:11:37Z,120000,False,-230.0,35.0,1,left,MISS K. Murray 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Left Corner 3,24+ Left,23.3,Missed,,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2023-01-10T03:11:35.9Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,2,2023-01-10T03:11:37Z,130000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Left Corner 3,24+ Left,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M51.00S,2023-01-10T03:11:41.4Z,1,REGULAR,2pt,Jump Shot,[],1631094,76.5604467805519,67.64705882352942,1610612753,0,2,2023-01-10T03:11:47Z,140000,False,88.0,168.0,1,right,MISS P. Banchero 18' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,18.96,Missed,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2023-01-10T03:11:46.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,2,2023-01-10T03:11:47Z,150000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Right Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M43.00S,2023-01-10T03:11:53.3Z,1,REGULAR,foul,personal,[],1628976,,,1610612758,0,2,2023-01-10T03:12:06Z,160000,False,,,0,,W. Carter Jr. personal FOUL (1 PF),"[1628976, 1627734]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1162.0,1.0,0.0,Sabonis,1627734.0,,,,,
18,PT10M33.00S,2023-01-10T03:12:16.2Z,1,REGULAR,3pt,Jump Shot,[],1628368,25.969119579500656,16.42156862745098,1610612758,3,2,2023-01-10T03:12:34Z,180000,False,168.0,192.0,1,left,D. Fox 25' 3PT pullup (3 PTS) (D. Sabonis 1 AST),"[1628368, 1627734]",1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,25.48,Made,,,,,,,,3.0,,,,,,D. Sabonis,1627734.0,1.0,,
