actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-05T03:10:31.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-05T03:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-05T03:10:34.5Z,1,REGULAR,jumpball,recovered,[],1630183,,,1610612750,0,0,2023-03-05T03:10:34Z,40000,False,,,0,,Jump Ball R. Gobert vs. D. Sabonis: Tip to J. McDaniels,"[1630183, 203497, 1627734]",1610612750.0,MIN,startperiod,J. McDaniels,1630183.0,McDaniels,J. McDaniels,Gobert,203497.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-03-05T03:10:51.2Z,1,REGULAR,turnover,traveling,[],1630183,,,1610612750,0,0,2023-03-05T03:10:57Z,70000,False,,,0,,J. McDaniels traveling TURNOVER (1 TO),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,2882.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2023-03-05T03:11:12.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,21.895532194480946,88.23529411764706,1610612758,0,0,2023-03-05T03:11:16Z,80000,False,-191.0,153.0,1,left,MISS K. Huerter 24' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,24.51,Missed,,,,,,,,,,,,,,,,
9,PT11M24.00S,2023-03-05T03:11:14.4Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,0,0,2023-03-05T03:11:16Z,90000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Left Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M20.00S,2023-03-05T03:11:18.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630162,72.48685939553219,18.872549019607842,1610612750,0,3,2023-03-05T03:11:46Z,100000,False,-156.0,206.0,1,right,A. Edwards 25' 3PT running pullup (3 PTS) (K. Anderson 1 AST),"[1630162, 203937]",1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,25.82,Made,,,,,3.0,K. Anderson,203937.0,1.0,,,,,,,,
12,PT11M07.00S,2023-03-05T03:11:32.0Z,1,REGULAR,turnover,lost ball,[],1628368,,,1610612758,0,3,2023-03-05T03:11:35Z,120000,False,,,0,,D. Fox lost ball TURNOVER (1 TO),"[1628368, 1630183]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,1.0,,,,,,,,,,,McDaniels,1630183.0,,,,,,
13,PT11M07.00S,2023-03-05T03:11:32.0Z,1,REGULAR,steal,,[],1630183,,,1610612750,0,3,2023-03-05T03:11:33Z,130000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2023-03-05T03:11:38.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1630162,90.09526938239159,89.95098039215686,1610612750,0,3,2023-03-05T03:12:34Z,140000,False,200.0,41.0,1,right,MISS A. Edwards 20' running pullup Shot,[1630162],1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Right,,,20.39,Missed,,,,,,,,,,,,,,,,
15,PT10M57.00S,2023-03-05T03:11:42.3Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,3,2023-03-05T03:11:47Z,150000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Mid-Range,16-24 Right,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
