actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-11-10T03:10:40.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-10T03:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2022-11-10T03:10:47.7Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-11-10T03:10:47Z,40000,False,,,0,,Jump Ball J. Allen vs. D. Sabonis: Tip to D. Garland,"[1629636, 1628386, 1627734]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-11-10T03:11:00.4Z,1,REGULAR,2pt,Jump Shot,[],1629636,84.05059132720105,87.99019607843137,1610612739,0,0,2022-11-10T03:11:10Z,70000,False,190.0,97.0,1,right,MISS D. Garland 21' step back Shot,[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,Mid-Range,16-24 Right,21.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-11-10T03:11:03.4Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,0,0,2022-11-10T03:11:10Z,80000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2022-11-10T03:11:23.5Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612758,0,0,2022-11-10T03:11:40Z,90000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1628386, 1627734]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,1628480.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,
11,PT11M19.00S,2022-11-10T03:11:50.5Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612758,1,0,2022-11-10T03:11:50Z,110000,False,,,0,,D. Sabonis Free Throw 1 of 2 (1 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M19.00S,2022-11-10T03:12:10.3Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612758,2,0,2022-11-10T03:12:10Z,120000,False,,,0,,D. Sabonis Free Throw 2 of 2 (2 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
13,PT11M08.00S,2022-11-10T03:12:23.3Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,2,0,2022-11-10T03:12:28Z,130000,False,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 1631099]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Murray,1631099.0,,,,,
14,PT11M08.00S,2022-11-10T03:12:23.3Z,1,REGULAR,steal,,[],1631099,,,1610612758,2,0,2022-11-10T03:12:25Z,140000,False,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2022-11-10T03:12:30.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628368,27.677398160315374,77.94117647058823,1610612758,2,0,2022-11-10T03:14:20Z,150000,False,-140.0,208.0,1,left,MISS D. Fox 25' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,25.03,Missed,,,,,,,,,,,,,,,,,,
16,PT10M58.00S,2022-11-10T03:12:32.8Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,2,0,2022-11-10T03:12:37Z,160000,False,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M49.00S,2022-11-10T03:12:42.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,86.15308804204993,47.30392156862745,1610612739,2,0,2022-11-10T03:12:47Z,170000,False,-13.0,78.0,1,right,MISS C. LeVert 7' Jump Shot - blocked,"[1627747, 1628989]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),0-8 Center,7.89,Missed,,,,,,,,,,,,,,Huerter,1628989.0,,,
18,PT10M49.00S,2022-11-10T03:12:42.8Z,1,REGULAR,block,,[],1628989,,,1610612739,2,0,2022-11-10T03:12:45Z,180000,False,,,0,,K. Huerter BLOCK (1 BLK),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M45.00S,2022-11-10T03:12:46.8Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,2,0,2022-11-10T03:12:47Z,190000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M39.00S,2022-11-10T03:12:53.3Z,1,REGULAR,foul,personal,['2freethrow'],1628378,,,1610612758,2,0,2022-11-10T03:13:02Z,200000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Huerter 2 FT),"[1628378, 1628989]",1610612739.0,CLE,shooting,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,,,1151.0,1.0,0.0,Huerter,1628989.0,,,,,,,,,
22,PT10M39.00S,2022-11-10T03:13:13.0Z,1,REGULAR,freethrow,1 of 2,[],1628989,,,1610612758,3,0,2022-11-10T03:13:13Z,220000,False,,,0,,K. Huerter Free Throw 1 of 2 (1 PTS),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
23,PT10M39.00S,2022-11-10T03:13:27.0Z,1,REGULAR,freethrow,2 of 2,[],1628989,,,1610612758,4,0,2022-11-10T03:13:27Z,230000,False,,,0,,K. Huerter Free Throw 2 of 2 (2 PTS),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
24,PT10M25.00S,2022-11-10T03:13:42.9Z,1,REGULAR,3pt,Jump Shot,[],1628378,77.7431011826544,89.4607843137255,1610612739,4,3,2022-11-10T03:15:50Z,240000,False,197.0,157.0,1,right,D. Mitchell 25' 3PT step back (3 PTS),[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,25.2,Made,,,,,,,,,,3.0,,,,,,,,
25,PT10M18.00S,2022-11-10T03:13:50.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,5.995400788436268,53.431372549019606,1610612758,6,3,2022-11-10T03:16:16Z,250000,False,-17.0,4.0,1,left,D. Fox driving Layup (2 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,1.76,Made,,,,,,,,,,2.0,,,,,,,,
26,PT09M57.00S,2022-11-10T03:14:11.3Z,1,REGULAR,3pt,Jump Shot,[],1628378,69.59592641261499,31.127450980392158,1610612739,6,3,2022-11-10T03:14:16Z,260000,False,-94.0,233.0,1,right,MISS D. Mitchell 25' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.17,Missed,,,,,,,,,,,,,,,,,,
