actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-22T03:10:43.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-22T03:10:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-22T03:10:48.9Z,1,REGULAR,jumpball,recovered,[],0,,,1610612747,0,0,2022-12-22T03:10:48Z,40000,False,,,0,,Jump Ball T. Bryant vs. D. Sabonis: Tip to Team (LAL),"[1628418, 1627734]",1610612747.0,LAL,startperiod,Team (LAL),Bryant,1628418.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-12-22T03:11:19.7Z,1,REGULAR,3pt,Jump Shot,[],1628418,29.77989487516426,72.79411764705883,1610612747,0,3,2022-12-22T03:11:30Z,70000,False,-114.0,227.0,1,left,T. Bryant 25' 3PT  (3 PTS) (L. Walker IV 1 AST),"[1628418, 1629022]",1610612747.0,LAL,,,,,,,Above the Break 3,24+ Left Center,25.44,Made,3.0,Bryant,T. Bryant,L. Walker IV,1629022.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2022-12-22T03:11:42.8Z,1,REGULAR,3pt,Jump Shot,[],1628989,68.54467805519053,32.59803921568628,1610612758,0,3,2022-12-22T03:11:49Z,90000,False,-87.0,243.0,1,right,MISS K. Huerter 25' 3PT,[1628989],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2022-12-22T03:11:45.8Z,1,REGULAR,rebound,defensive,[],1629022,,,1610612747,0,3,2022-12-22T03:11:49Z,100000,False,,,0,,L. Walker IV REBOUND (Off:0 Def:1),[1629022],1610612747.0,LAL,,,,,,,Above the Break 3,24+ Left Center,,,,Walker IV,L. Walker IV,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M11.00S,2022-12-22T03:11:50.9Z,1,REGULAR,3pt,Jump Shot,[],2544,30.699737187910642,62.99019607843137,1610612747,0,3,2022-12-22T03:11:57Z,110000,False,-65.0,236.0,1,left,MISS L. James 24' 3PT,[2544],1610612747.0,LAL,,,,,,,Above the Break 3,24+ Center,24.49,Missed,,James,L. James,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2022-12-22T03:11:54.9Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,3,2022-12-22T03:11:57Z,120000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,,,,Sabonis,D. Sabonis,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M03.00S,2022-12-22T03:11:58.8Z,1,REGULAR,3pt,Jump Shot,[],203084,89.43823915900131,95.58823529411765,1610612758,0,3,2022-12-22T03:12:05Z,130000,False,228.0,47.0,1,right,MISS H. Barnes 3PT,[203084],1610612758.0,SAC,,,,,,,Right Corner 3,24+ Right,23.27,Missed,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2022-12-22T03:12:02.8Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,0,3,2022-12-22T03:12:05Z,140000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612747.0,LAL,,,,,,,Right Corner 3,24+ Right,,,,Beverley,P. Beverley,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M56.00S,2022-12-22T03:12:05.3Z,1,REGULAR,turnover,bad pass,[],201976,,,1610612747,0,3,2022-12-22T03:12:09Z,150000,False,,,0,,P. Beverley bad pass TURNOVER (1 TO),"[201976, 1627734]",1610612747.0,LAL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Beverley,P. Beverley,,,,,,,,1.0,Sabonis,1627734.0,,,,,,,
17,PT10M56.00S,2022-12-22T03:12:05.3Z,1,REGULAR,steal,,[],1627734,,,1610612758,0,3,2022-12-22T03:12:07Z,160000,False,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,
18,PT10M52.00S,2022-12-22T03:12:15.6Z,1,REGULAR,foul,offensive,[],1627734,,,1610612758,0,3,2022-12-22T03:13:30Z,170000,False,,,0,,D. Sabonis charge offensive FOUL (1 PF),"[1627734, 201976]",1610612758.0,SAC,charge,,,,,,In The Paint (Non-RA),0-8 Center,,,,Sabonis,D. Sabonis,,,,,,,,,,,202058.0,1.0,0.0,Beverley,201976.0,,
20,PT10M52.00S,2022-12-22T03:12:15.6Z,1,REGULAR,turnover,offensive foul,[],1627734,,,1610612758,0,3,2022-12-22T03:12:15Z,190000,False,,,0,,D. Sabonis offensive foul TURNOVER (1 TO),[1627734],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Sabonis,D. Sabonis,,,,,,,,1.0,,,202058.0,,,,,,
21,PT10M38.00S,2022-12-22T03:12:45.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",2544,5.995400788436268,53.431372549019606,1610612747,0,5,2022-12-22T03:14:18Z,200000,False,-17.0,4.0,1,left,L. James driving finger roll Layup (2 PTS) (T. Bryant 1 AST),"[2544, 1628418]",1610612747.0,LAL,driving finger roll,,,,,,Restricted Area,0-8 Center,1.76,Made,2.0,James,L. James,T. Bryant,1628418.0,1.0,,,,,,,,,,,,,,
23,PT10M23.00S,2022-12-22T03:13:00.1Z,1,REGULAR,3pt,Jump Shot,[],203084,71.69842312746385,78.18627450980392,1610612758,3,5,2022-12-22T03:13:09Z,220000,False,141.0,214.0,1,right,H. Barnes 25' 3PT  (3 PTS) (D. Fox 1 AST),"[203084, 1628368]",1610612758.0,SAC,,,,,,,Above the Break 3,24+ Right Center,25.58,Made,3.0,Barnes,H. Barnes,D. Fox,1628368.0,1.0,,,,,,,,,,,,,,
25,PT10M14.00S,2022-12-22T03:13:14.7Z,1,REGULAR,foul,personal,[],1628368,,,1610612747,3,5,2022-12-22T03:13:21Z,240000,False,,,0,,D. Fox personal FOUL (1 PF),"[1628368, 203471]",1610612758.0,SAC,,,,,,,Restricted Area,0-8 Center,,,,Fox,D. Fox,,,,,,,,,,,202007.0,1.0,0.0,Schroder,203471.0,,
27,PT10M02.00S,2022-12-22T03:13:41.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201976,10.726018396846255,44.6078431372549,1610612747,3,7,2022-12-22T03:13:51Z,260000,False,27.0,48.0,1,left,P. Beverley driving floating Jump Shot (2 PTS) (D. Schroder 1 AST),"[201976, 203471]",1610612747.0,LAL,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,5.53,Made,2.0,Beverley,P. Beverley,D. Schroder,203471.0,1.0,,,,,,,,,,,,,,
29,PT09M56.00S,2022-12-22T03:13:49.5Z,1,REGULAR,foul,personal,['2freethrow'],1628418,,,1610612758,3,7,2022-12-22T03:14:04Z,280000,False,,,0,,T. Bryant shooting personal FOUL (1 PF) (Huerter 2 FT),"[1628418, 1628989]",1610612747.0,LAL,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Bryant,T. Bryant,,,,,,,,,,,203593.0,1.0,0.0,Huerter,1628989.0,,
31,PT09M56.00S,2022-12-22T03:14:12.8Z,1,REGULAR,freethrow,1 of 2,[],1628989,,,1610612758,4,7,2022-12-22T03:14:12Z,300000,False,,,0,,K. Huerter Free Throw 1 of 2 (1 PTS),[1628989],1610612758.0,SAC,,,,,,,,,,Made,1.0,Huerter,K. Huerter,,,,,,,,,,,,,,,,,
32,PT09M56.00S,2022-12-22T03:14:12.8Z,1,REGULAR,freethrow,2 of 2,[],1628989,,,1610612758,5,7,2022-12-22T03:15:42Z,310000,False,,,0,,K. Huerter Free Throw 2 of 2 (2 PTS),[1628989],1610612758.0,SAC,,,,,,,,,,Made,2.0,Huerter,K. Huerter,,,,,,,,,,,,,,,,,
33,PT09M40.00S,2022-12-22T03:14:47.0Z,1,REGULAR,2pt,Jump Shot,[],1628418,7.835085413929041,22.54901960784314,1610612747,5,7,2022-12-22T03:14:51Z,320000,False,137.0,21.0,1,left,MISS T. Bryant 13' Jump Shot,[1628418],1610612747.0,LAL,,,,,,,Mid-Range,8-16 Right,13.89,Missed,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,
