actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-20T03:10:40.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-20T03:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-12-20T03:10:45.9Z,1,REGULAR,jumpball,recovered,[],1628989,,,1610612758,0,0,2022-12-20T03:10:46Z,40000,False,,,0,,Jump Ball D. Sabonis vs. M. Plumlee: Tip to K. Huerter,"[1628989, 1627734, 203486]",1610612758.0,SAC,startperiod,K. Huerter,1628989.0,Huerter,K. Huerter,Sabonis,1627734.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-12-20T03:10:56.3Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612758,0,0,2022-12-20T03:11:06Z,70000,False,,,0,,M. Plumlee shooting personal FOUL (1 PF) (Sabonis 2 FT),"[203486, 1627734]",1610612766.0,CHA,shooting,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,1628951.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2022-12-20T03:11:22.9Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612758,0,0,2022-12-20T03:11:22Z,90000,False,,,0,,MISS D. Sabonis Free Throw 1 of 2,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M46.00S,2022-12-20T03:11:22.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,0,0,2022-12-20T03:11:22Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M46.00S,2022-12-20T03:11:42.1Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612758,1,0,2022-12-20T03:11:42Z,110000,False,,,0,,D. Sabonis Free Throw 2 of 2 (1 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M34.00S,2022-12-20T03:11:55.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203486,92.59198423127464,50.245098039215684,1610612766,1,2,2022-12-20T03:12:00Z,120000,False,1.0,17.0,1,right,M. Plumlee cutting DUNK (2 PTS) (L. Ball 1 AST),"[203486, 1630163]",1610612766.0,CHA,cutting,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,1.71,L. Ball,1630163.0,1.0,,,,,,,,
14,PT11M19.00S,2022-12-20T03:12:10.8Z,1,REGULAR,3pt,Jump Shot,[],1628368,31.09395532194481,64.4607843137255,1610612758,4,2,2022-12-20T03:12:17Z,140000,False,-72.0,240.0,1,left,D. Fox 25' 3PT  (3 PTS) (H. Barnes 1 AST),"[1628368, 203084]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,,,Made,,3.0,25.05,H. Barnes,203084.0,1.0,,,,,,,,
16,PT11M07.00S,2022-12-20T03:12:22.8Z,1,REGULAR,3pt,Jump Shot,[],1629023,77.61169513797634,9.313725490196079,1610612766,4,2,2022-12-20T03:12:27Z,160000,False,-203.0,158.0,1,right,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,25.76,,,,,,,,,,,
17,PT11M06.00S,2022-12-20T03:12:23.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,4,2,2022-12-20T03:12:27Z,170000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,,,,,16.0,,,,,,1.0,1.0,0.0,,,,,
