actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-14T03:11:11.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-14T03:11:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-14T03:11:15.8Z,1,REGULAR,jumpball,recovered,[],201569,,,1610612745,0,0,2023-01-14T03:11:15Z,40000,False,,,0,,Jump Ball A. Sengun vs. D. Sabonis: Tip to E. Gordon,"[201569, 1630578, 1627734]",1610612745.0,HOU,startperiod,E. Gordon,201569.0,Gordon,E. Gordon,Sengun,1630578.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-01-14T03:11:34.7Z,1,REGULAR,foul,personal,['2freethrow'],1629056,,,1610612745,0,0,2023-01-14T03:11:54Z,70000,False,,,0,,T. Davis shooting personal FOUL (1 PF) (Martin Jr. 2 FT),"[1629056, 1630231]",1610612758.0,SAC,shooting,,,Davis,T. Davis,,,,,Restricted Area,0-8 Center,1627964.0,1.0,0.0,Martin Jr.,1630231.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2023-01-14T03:11:58.2Z,1,REGULAR,freethrow,1 of 2,[],1630231,,,1610612745,0,1,2023-01-14T03:11:58Z,90000,False,,,0,,K. Martin Jr. Free Throw 1 of 2 (1 PTS),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M39.00S,2023-01-14T03:11:58.2Z,1,REGULAR,freethrow,2 of 2,[],1630231,,,1610612745,0,1,2023-01-14T03:12:15Z,100000,False,,,0,,MISS K. Martin Jr. Free Throw 2 of 2,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M37.00S,2023-01-14T03:12:00.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,1,2023-01-14T03:12:15Z,110000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M15.00S,2023-01-14T03:12:34.9Z,1,REGULAR,2pt,Jump Shot,[],1627734,25.706307490144546,34.068627450980394,1610612758,2,1,2023-01-14T03:12:41Z,120000,False,80.0,189.0,1,left,D. Sabonis 20' Jump Shot (2 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Right Center,,,,,,Made,2.0,,,,,20.52,,,,,,,,
13,PT10M57.00S,2023-01-14T03:12:52.4Z,1,REGULAR,2pt,Jump Shot,[],1631095,91.14651773981603,28.431372549019606,1610612745,2,3,2023-01-14T03:12:58Z,130000,False,-108.0,31.0,1,right,J. Smith Jr. 11' fadeaway Jump Shot (2 PTS) (A. Sengun 1 AST),"[1631095, 1630578]",1610612745.0,HOU,fadeaway,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Left,,,,,,Made,2.0,,,,,11.21,A. Sengun,1630578.0,1.0,,,,,
14,PT10M42.00S,2023-01-14T03:13:07.9Z,1,REGULAR,3pt,Jump Shot,[],1628368,32.40801576872536,49.01960784313725,1610612758,5,3,2023-01-14T03:13:13Z,140000,False,5.0,252.0,1,left,D. Fox 25' 3PT step back (3 PTS),[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,,,,,25.21,,,,,,,,
15,PT10M24.00S,2023-01-14T03:13:26.0Z,1,REGULAR,2pt,Hook,[],1630578,93.38042049934296,67.8921568627451,1610612745,5,5,2023-01-14T03:14:56Z,150000,False,89.0,10.0,1,right,A. Sengun 9' turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,,,,,,Made,2.0,,,,,9.0,,,,,,,,
