actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
558,PT06M26.00S,2023-03-22T04:04:12.3Z,4,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631099,72.48685939553219,19.11764705882353,1610612758,95,111,2023-03-22T04:04:18Z,5490000,False,-154.0,206.0,1,right,MISS K. Murray 25' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,25.75,,,,,,,,,
559,PT06M24.00S,2023-03-22T04:04:14.3Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,95,111,2023-03-22T04:04:18Z,5500000,False,,,0,,J. Tatum REBOUND (Off:1 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,558.0,7.0,6.0,1.0,,,,,,,,,,
560,PT06M12.00S,2023-03-22T04:04:26.5Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,6.258212877792378,53.431372549019606,1610612738,95,113,2023-03-22T04:04:35Z,5510000,False,-17.0,6.0,1,left,J. Brown driving bank Jump Shot (25 PTS) (D. White 10 AST),"[1627759, 1628401]",1610612738.0,BOS,driving bank,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,Made,,,,,1.83,25.0,D. White,1628401.0,10.0,,,,,
561,PT06M01.00S,2023-03-22T04:04:37.1Z,4,REGULAR,3pt,Jump Shot,[],1627734,66.96780551905388,49.50980392156863,1610612758,95,113,2023-03-22T04:04:43Z,5520000,False,-2.0,258.0,1,right,MISS D. Sabonis 25' 3PT,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,25.8,,,,,,,,,
562,PT05M58.00S,2023-03-22T04:04:40.1Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,95,113,2023-03-22T04:04:43Z,5530000,False,,,0,,J. Tatum REBOUND (Off:1 Def:7),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,,561.0,8.0,7.0,1.0,,,,,,,,,,
563,PT05M51.00S,2023-03-22T04:04:48.1Z,4,REGULAR,3pt,Jump Shot,[],1628401,7.966491458607096,2.450980392156863,1610612738,95,116,2023-03-22T04:04:53Z,5540000,False,238.0,22.0,1,left,D. White 3PT  (18 PTS) (J. Brown 4 AST),"[1628401, 1627759]",1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,,,,,,Made,,,,,23.88,18.0,J. Brown,1627759.0,4.0,,,,,
565,PT05M38.00S,2023-03-22T04:05:00.5Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,82.34231274638634,50.0,1610612758,97,116,2023-03-22T04:05:08Z,5560000,False,0.0,113.0,1,right,D. Fox 11' driving floating Jump Shot (18 PTS),[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,,,,,11.35,18.0,,,,,,,,
566,PT05M17.00S,2023-03-22T04:05:21.2Z,4,REGULAR,3pt,Jump Shot,[],1628369,28.07161629434954,76.7156862745098,1610612738,97,116,2023-03-22T04:09:33Z,5570000,False,-134.0,211.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,25.01,,,,,,,,,
567,PT05M15.00S,2023-03-22T04:05:23.2Z,4,REGULAR,rebound,defensive,[],203084,,,1610612758,97,116,2023-03-22T04:05:27Z,5580000,False,,,0,,H. Barnes REBOUND (Off:1 Def:4),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,,566.0,5.0,4.0,1.0,,,,,,,,,,
568,PT05M09.00S,2023-03-22T04:05:29.2Z,4,REGULAR,2pt,Jump Shot,['fastbreak'],203084,90.48948751642575,68.62745098039215,1610612758,97,116,2023-03-22T04:09:59Z,5590000,False,93.0,37.0,1,right,MISS H. Barnes 10' driving bank Shot,[203084],1610612758.0,SAC,driving bank,,,Barnes,H. Barnes,,,,,Mid-Range,8-16 Right,,,,,,Missed,,,,,10.01,,,,,,,,,
569,PT05M06.00S,2023-03-22T04:05:32.2Z,4,REGULAR,rebound,defensive,[],1627759,,,1610612738,97,116,2023-03-22T04:09:59Z,5600000,False,,,0,,J. Brown REBOUND (Off:0 Def:5),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,,,,,,,568.0,5.0,5.0,0.0,,,,,,,,,,
570,PT05M04.00S,2023-03-22T04:05:37.0Z,4,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612738,97,116,2023-03-22T04:05:54Z,5610000,False,,,0,,K. Murray shooting personal FOUL (5 PF) (Brown 2 FT),"[1631099, 1627759]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,1155.0,5.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
572,PT05M04.00S,2023-03-22T04:06:16.1Z,4,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,97,117,2023-03-22T04:06:16Z,5630000,False,,,0,,J. Brown Free Throw 1 of 2 (26 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Made,,,,,,26.0,,,,,,,,
573,PT05M04.00S,2023-03-22T04:06:17.0Z,4,REGULAR,substitution,out,[],1628370,,,1610612738,97,117,2023-03-22T04:06:37Z,5640000,False,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
574,PT05M04.00S,2023-03-22T04:06:17.0Z,4,REGULAR,substitution,out,[],1628368,,,1610612738,97,117,2023-03-22T04:06:37Z,5650000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
575,PT05M04.00S,2023-03-22T04:06:17.0Z,4,REGULAR,substitution,out,[],1627734,,,1610612738,97,117,2023-03-22T04:06:37Z,5660000,False,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
576,PT05M04.00S,2023-03-22T04:06:17.0Z,4,REGULAR,substitution,out,[],203084,,,1610612738,97,117,2023-03-22T04:06:37Z,5670000,False,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
577,PT05M04.00S,2023-03-22T04:06:17.0Z,4,REGULAR,substitution,out,[],1629057,,,1610612738,97,117,2023-03-22T04:06:37Z,5680000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
578,PT05M04.00S,2023-03-22T04:06:17.0Z,4,REGULAR,substitution,in,[],1629002,,,1610612738,97,117,2023-03-22T04:06:37Z,5690000,False,,,0,,SUB in: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,,
579,PT05M04.00S,2023-03-22T04:06:17.0Z,4,REGULAR,substitution,in,[],1626158,,,1610612738,97,117,2023-03-22T04:06:37Z,5700000,False,,,0,,SUB in: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,
580,PT05M04.00S,2023-03-22T04:06:17.0Z,4,REGULAR,substitution,in,[],1628408,,,1610612738,97,117,2023-03-22T04:06:37Z,5710000,False,,,0,,SUB in: P. Dozier,[1628408],1610612758.0,SAC,,,,Dozier,P. Dozier,,,,,,,,,,,,,,,,,,,,,,,,,,
581,PT05M04.00S,2023-03-22T04:06:17.0Z,4,REGULAR,substitution,in,[],1631165,,,1610612738,97,117,2023-03-22T04:06:37Z,5720000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
582,PT05M04.00S,2023-03-22T04:06:17.0Z,4,REGULAR,substitution,in,[],203935,,,1610612738,97,117,2023-03-22T04:06:37Z,5730000,False,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
583,PT05M04.00S,2023-03-22T04:06:48.8Z,4,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,97,118,2023-03-22T04:06:48Z,5740000,False,,,0,,J. Brown Free Throw 2 of 2 (27 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Made,,,,,,27.0,,,,,,,,
584,PT04M47.00S,2023-03-22T04:07:10.7Z,4,REGULAR,2pt,Jump Shot,[],1629002,78.40013140604468,51.470588235294116,1610612758,97,118,2023-03-22T04:12:06Z,5750000,False,7.0,151.0,1,right,MISS C. Metu 15' turnaround fadeaway Shot,[1629002],1610612758.0,SAC,turnaround fadeaway,,,Metu,C. Metu,,,,,Mid-Range,8-16 Center,,,,,,Missed,,,,,15.07,,,,,,,,,
585,PT04M42.00S,2023-03-22T04:07:15.7Z,4,REGULAR,rebound,offensive,[],1626158,,,1610612758,97,118,2023-03-22T04:07:19Z,5760000,False,,,0,,R. Holmes REBOUND (Off:1 Def:0),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,Mid-Range,8-16 Center,,,,,,,584.0,1.0,0.0,1.0,,,,,,,,,,
586,PT04M42.00S,2023-03-22T04:07:15.9Z,4,REGULAR,turnover,bad pass,[],1626158,,,1610612758,97,118,2023-03-22T04:07:22Z,5770000,False,,,0,,R. Holmes bad pass TURNOVER (1 TO),"[1626158, 1628369]",1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,,
587,PT04M42.00S,2023-03-22T04:07:15.9Z,4,REGULAR,steal,,[],1628369,,,1610612738,97,118,2023-03-22T04:07:17Z,5780000,False,,,0,,J. Tatum STEAL (2 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
588,PT04M30.00S,2023-03-22T04:07:31.6Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,8.09789750328515,55.88235294117647,1610612738,97,118,2023-03-22T04:13:45Z,5790000,False,-29.0,24.0,1,left,MISS J. Tatum driving Layup - blocked,"[1628369, 1628408]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,3.77,,,,,,,,Dozier,1628408.0
589,PT04M30.00S,2023-03-22T04:07:31.6Z,4,REGULAR,block,,[],1628408,,,1610612738,97,118,2023-03-22T04:07:35Z,5800000,False,,,0,,P. Dozier BLOCK (1 BLK),[1628408],1610612758.0,SAC,,,,Dozier,P. Dozier,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
590,PT04M30.00S,2023-03-22T04:07:31.6Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612738,97,118,2023-03-22T04:07:43Z,5810000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,588.0,,,,,,,,,,,,,
592,PT04M30.00S,2023-03-22T04:07:39.0Z,4,REGULAR,substitution,out,[],201143,,,1610612738,97,118,2023-03-22T04:07:44Z,5830000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
593,PT04M30.00S,2023-03-22T04:07:39.0Z,4,REGULAR,substitution,in,[],1629684,,,1610612738,97,118,2023-03-22T04:07:44Z,5840000,False,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
