actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-28T02:10:48.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-28T02:10:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-10-28T02:10:52.1Z,1,REGULAR,jumpball,recovered,[],1628415,,,1610612763,0,0,2022-10-28T02:10:52Z,40000,,,0,,Jump Ball S. Adams vs. D. Sabonis: Tip to D. Brooks,"[1628415, 203500, 1627734]",1610612763.0,MEM,startperiod,D. Brooks,1628415.0,Brooks,D. Brooks,Adams,203500.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-10-28T02:11:03.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203500,6.1268068331143235,49.50980392156863,1610612763,0,2,2022-10-28T02:12:19Z,70000,2.0,5.0,1,left,S. Adams alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[203500, 1629630]",1610612763.0,MEM,alley-oop,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,0.57,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-10-28T02:11:18.9Z,1,REGULAR,3pt,Jump Shot,[],1628989,91.14651773981603,3.431372549019608,1610612758,0,2,2022-10-28T02:11:25Z,90000,-233.0,31.0,1,right,MISS K. Huerter 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Left Corner 3,24+ Left,23.48,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2022-10-28T02:11:21.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,2,2022-10-28T02:11:25Z,100000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Left Corner 3,24+ Left,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M15.00S,2022-10-28T02:11:32.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,16.245072273324574,60.5392156862745,1610612763,0,2,2022-10-28T02:11:39Z,110000,-53.0,100.0,1,left,MISS D. Brooks 11' fadeaway Shot,[1628415],1610612763.0,MEM,fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,11.32,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-10-28T02:11:36.3Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,2,2022-10-28T02:11:39Z,120000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M05.00S,2022-10-28T02:11:42.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627734,82.47371879106439,50.0,1610612758,2,2,2022-10-28T02:11:48Z,130000,0.0,112.0,1,right,D. Sabonis 11' Jump Shot (2 PTS) (H. Barnes 1 AST),"[1627734, 203084]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,11.22,Made,2.0,H. Barnes,203084.0,1.0,,,,,,,,,,,,,,
16,PT10M56.00S,2022-10-28T02:11:57.8Z,1,REGULAR,violation,kicked ball,[],1627734,,,1610612763,2,2,2022-10-28T02:12:19Z,160000,,,0,,D. Sabonis kicked ball VIOLATION,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,2530.0,,,,,,,,,
17,PT10M50.00S,2022-10-28T02:12:17.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,20.05584756898817,44.6078431372549,1610612763,2,4,2022-10-28T02:12:22Z,170000,27.0,136.0,1,left,J. Morant 13' fadeaway Jump Shot (2 PTS),[1629630],1610612763.0,MEM,fadeaway,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,13.87,Made,2.0,,,,,,,,,,,,,,,,,
