actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-05T03:10:24.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-05T03:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-05T03:10:27.1Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2023-01-05T03:10:27Z,40000,False,,,0,,Jump Ball O. Okongwu vs. D. Sabonis: Tip to J. Collins,"[1628381, 1630168, 1627734]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Okongwu,1630168.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-01-05T03:10:42.1Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,0,0,2023-01-05T03:10:48Z,70000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1631099]",1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,1.0,Murray,1631099.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-01-05T03:10:42.1Z,1,REGULAR,steal,,[],1631099,,,1610612758,0,0,2023-01-05T03:10:44Z,80000,False,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2023-01-05T03:10:59.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203084,25.18068331143233,83.33333333333334,1610612758,3,0,2023-01-05T03:11:04Z,90000,False,-167.0,184.0,1,left,H. Barnes 24' 3PT  (3 PTS) (D. Fox 1 AST),"[203084, 1628368]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,24.84,Made,3.0,D. Fox,1628368.0,1.0,,,,,,,,,,,
11,PT11M03.00S,2023-01-05T03:11:20.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,93.24901445466492,54.65686274509803,1610612737,3,2,2023-01-05T03:11:27Z,110000,False,23.0,11.0,1,right,T. Young driving Layup (2 PTS) (D. Murray 1 AST),"[1629027, 1627749]",1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,2.58,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,
12,PT10M49.00S,2023-01-05T03:11:34.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,6.258212877792378,47.30392156862745,1610612758,3,2,2023-01-05T03:11:41Z,120000,False,13.0,6.0,1,left,MISS H. Barnes cutting Layup - blocked,"[203084, 1628381]",1610612758.0,SAC,cutting,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,,1.49,Missed,,,,,Collins,1628381.0,,,,,,,,,
13,PT10M49.00S,2023-01-05T03:11:34.8Z,1,REGULAR,block,,[],1628381,,,1610612758,3,2,2023-01-05T03:11:38Z,130000,False,,,0,,J. Collins BLOCK (1 BLK),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2023-01-05T03:11:38.8Z,1,REGULAR,rebound,offensive,[],1631099,,,1610612758,3,2,2023-01-05T03:11:41Z,140000,False,,,0,,K. Murray REBOUND (Off:1 Def:0),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,
15,PT10M44.00S,2023-01-05T03:11:39.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631099,6.176084099868594,75.26807598039215,1610612758,3,2,2023-01-05T03:12:33Z,150000,False,-126.0,6.0,1,left,MISS K. Murray 12' floating Shot,[1631099],1610612758.0,SAC,floating,,,Murray,K. Murray,,,,,Mid-Range,8-16 Left,,,,12.64,Missed,,,,,,,,,,,,,,,
