actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-14T02:10:26.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-14T02:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-14T02:10:30.1Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2022-11-14T02:10:30Z,40000,False,,,0,,Jump Ball K. Looney vs. D. Sabonis: Tip to D. Green,"[203110, 1626172, 1627734]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-14T02:10:48.1Z,1,REGULAR,turnover,out-of-bounds,[],202691,,,1610612744,0,0,2022-11-14T02:10:55Z,70000,False,,,0,,K. Thompson bad pass out-of-bounds TURNOVER (1 TO),[202691],1610612744.0,GSW,bad pass,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,1627519.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2022-11-14T02:11:05.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631099,31.750985545335087,58.82352941176471,1610612758,0,0,2022-11-14T02:11:10Z,80000,False,-44.0,246.0,1,left,MISS K. Murray 24' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,,,24.99,Missed,,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-11-14T02:11:08.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,0,2022-11-14T02:11:10Z,90000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M15.00S,2022-11-14T02:11:16.5Z,1,REGULAR,3pt,Jump Shot,[],203110,68.41327201051249,63.23529411764706,1610612744,0,0,2022-11-14T02:11:21Z,100000,False,66.0,244.0,1,right,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,25.32,Missed,,,,,,,,,,,,,,,,
11,PT11M12.00S,2022-11-14T02:11:19.5Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2022-11-14T02:11:21Z,110000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M07.00S,2022-11-14T02:11:28.3Z,1,REGULAR,turnover,out-of-bounds,[],1627734,,,1610612758,0,0,2022-11-14T02:11:34Z,120000,False,,,0,,D. Sabonis bad pass out-of-bounds TURNOVER (1 TO),[1627734],1610612758.0,SAC,bad pass,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,2004.0,1.0,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2022-11-14T02:11:42.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,92.32917214191852,97.54901960784314,1610612744,0,3,2022-11-14T02:11:47Z,130000,False,238.0,20.0,1,right,A. Wiggins 3PT  (3 PTS) (K. Thompson 1 AST),"[203952, 202691]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Right Corner 3,24+ Right,,,23.85,Made,,,,,3.0,K. Thompson,202691.0,1.0,,,,,,,,
15,PT10M41.00S,2022-11-14T02:11:55.1Z,1,REGULAR,3pt,Jump Shot,[],1628989,32.276609724047304,53.431372549019606,1610612758,0,3,2022-11-14T02:12:00Z,150000,False,-17.0,251.0,1,left,MISS K. Huerter 25' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,,,25.15,Missed,,,,,,,,,,,,,,,,
16,PT10M37.00S,2022-11-14T02:11:59.1Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,0,3,2022-11-14T02:12:00Z,160000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M31.00S,2022-11-14T02:12:04.7Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612744,0,3,2022-11-14T02:12:08Z,170000,False,,,0,,K. Thompson bad pass TURNOVER (2 TO),"[202691, 1628368]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,2.0,,,,,,,,,,,Fox,1628368.0,,,,,,
18,PT10M31.00S,2022-11-14T02:12:04.7Z,1,REGULAR,steal,,[],1628368,,,1610612758,0,3,2022-11-14T02:12:06Z,180000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M26.00S,2022-11-14T02:12:09.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628368,20.318659658344284,90.44117647058823,1610612758,0,3,2022-11-14T02:12:18Z,190000,False,-202.0,138.0,1,left,MISS D. Fox 24' running 3PT,[1628368],1610612758.0,SAC,running,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,,24.51,Missed,,,,,,,,,,,,,,,,
20,PT10M24.00S,2022-11-14T02:12:11.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,3,2022-11-14T02:12:18Z,200000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,
21,PT10M14.00S,2022-11-14T02:12:22.0Z,1,REGULAR,3pt,Jump Shot,[],202691,91.93495400788436,3.6764705882352944,1610612744,0,6,2022-11-14T02:12:27Z,210000,False,-232.0,23.0,1,right,K. Thompson 3PT  (3 PTS) (D. Green 1 AST),"[202691, 203110]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,,,23.28,Made,,,,,3.0,D. Green,203110.0,1.0,,,,,,,,
23,PT09M57.00S,2022-11-14T02:12:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.258212877792378,46.32352941176471,1610612758,2,6,2022-11-14T02:12:45Z,230000,False,18.0,6.0,1,left,D. Sabonis cutting Layup (2 PTS) (K. Huerter 1 AST),"[1627734, 1628989]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,1.94,Made,,,,,2.0,K. Huerter,1628989.0,1.0,,,,,,,,
25,PT09M57.00S,2022-11-14T02:12:44.8Z,1,REGULAR,foul,personal,['1freethrow'],203952,,,1610612758,2,6,2022-11-14T02:12:53Z,250000,False,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Sabonis 1 FT),"[203952, 1627734]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,2004.0,,,,,,,,,,,,,,1.0,0.0,Sabonis,1627734.0,,
27,PT09M57.00S,2022-11-14T02:13:10.2Z,1,REGULAR,freethrow,1 of 1,[],1627734,,,1610612758,3,6,2022-11-14T02:13:10Z,270000,False,,,0,,D. Sabonis Free Throw 1 of 1 (3 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
28,PT09M48.00S,2022-11-14T02:13:23.2Z,1,REGULAR,3pt,Jump Shot,[],203952,89.17542706964521,3.1862745098039214,1610612744,3,9,2022-11-14T02:13:33Z,280000,False,-234.0,49.0,1,right,A. Wiggins 3PT  (6 PTS) (K. Looney 1 AST),"[203952, 1626172]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,,,23.92,Made,,,,,6.0,K. Looney,1626172.0,1.0,,,,,,,,
30,PT09M35.00S,2022-11-14T02:13:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,5.469776609724048,53.67647058823529,1610612758,5,9,2022-11-14T02:13:44Z,300000,False,-18.0,-1.0,1,left,D. Sabonis Layup (5 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,1.84,Made,,,,,5.0,,,,,,,,,,,
31,PT09M28.00S,2022-11-14T02:13:42.3Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,5,9,2022-11-14T02:13:48Z,310000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1631099]",1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,16-24 Left Center,,1.0,,,,,,,,,,,Murray,1631099.0,,,,,,
32,PT09M28.00S,2022-11-14T02:13:42.3Z,1,REGULAR,steal,,[],1631099,,,1610612758,5,9,2022-11-14T02:19:48Z,320000,False,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
33,PT09M15.00S,2022-11-14T02:13:55.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631099,7.046649145860711,41.911764705882355,1610612758,5,9,2022-11-14T02:14:00Z,330000,False,40.0,14.0,1,left,MISS K. Murray driving Layup,[1631099],1610612758.0,SAC,driving,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,4.27,Missed,,,,,,,,,,,,,,,,
34,PT09M13.00S,2022-11-14T02:13:57.4Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,5,9,2022-11-14T02:14:00Z,340000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,,,
35,PT09M11.00S,2022-11-14T02:13:59.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631099,8.492115637319317,4.411764705882353,1610612758,8,9,2022-11-14T02:14:05Z,350000,False,228.0,27.0,1,left,K. Murray 3PT  (3 PTS) (D. Sabonis 1 AST),"[1631099, 1627734]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Right Corner 3,24+ Right,,,22.95,Made,,,,,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,
38,PT08M52.00S,2022-11-14T02:14:17.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,92.9862023653088,43.627450980392155,1610612744,8,11,2022-11-14T02:14:23Z,370000,False,-32.0,13.0,1,right,S. Curry driving Layup (2 PTS),[201939],1610612744.0,GSW,driving,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,3.46,Made,,,,,2.0,,,,,,,,,,,
