actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-04-08T02:11:04.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-08T02:11:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M46.00S,2023-04-08T02:11:09.3Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2023-04-08T02:11:09Z,40000,False,,,0,,Jump Ball K. Looney vs. A. Len: Tip to D. Green,"[203110, 1626172, 203458]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Len,203458.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-04-08T02:11:13.5Z,1,REGULAR,violation,kicked ball,[],203458,,,1610612744,0,0,2023-04-08T02:11:52Z,70000,False,,,0,,A. Len kicked ball VIOLATION,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,202053.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-04-08T02:11:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,15.719448094612352,42.40196078431372,1610612744,0,0,2023-04-08T02:11:55Z,80000,False,38.0,95.0,1,left,MISS K. Thompson 10' floating Shot,[202691],1610612744.0,GSW,floating,,,Thompson,K. Thompson,,,,,,In The Paint (Non-RA),8-16 Center,10.26,Missed,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-04-08T02:11:30.9Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,0,0,2023-04-08T02:11:30Z,90000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,In The Paint (Non-RA),8-16 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M31.00S,2023-04-08T02:11:37.3Z,1,REGULAR,3pt,Jump Shot,[],1630558,67.88764783180025,62.745098039215684,1610612758,0,0,2023-04-08T02:12:46Z,100000,False,64.0,249.0,1,right,MISS D. Mitchell 25' step back 3PT,[1630558],1610612758.0,SAC,step back,,,Mitchell,D. Mitchell,,,,,,Above the Break 3,24+ Center,25.74,Missed,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2023-04-08T02:11:43.3Z,1,REGULAR,rebound,offensive,[],203458,,,1610612758,0,0,2023-04-08T02:11:57Z,110000,False,,,0,,A. Len REBOUND (Off:1 Def:0),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,Above the Break 3,24+ Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT11M25.00S,2023-04-08T02:11:43.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629056,73.40670170827858,18.627450980392158,1610612758,0,0,2023-04-08T02:12:01Z,120000,False,-157.0,197.0,1,right,MISS T. Davis 25' 3PT,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,Above the Break 3,24+ Left Center,25.22,Missed,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2023-04-08T02:11:45.7Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,0,2023-04-08T02:11:45Z,130000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT11M20.00S,2023-04-08T02:11:48.9Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,0,0,2023-04-08T02:12:18Z,140000,False,,,0,,S. Curry bad pass out-of-bounds TURNOVER (1 TO),[201939],1610612744.0,GSW,bad pass,,,Curry,S. Curry,,,,,101283.0,Above the Break 3,24+ Center,,,,,,,1.0,,,,,,,,,,,,
15,PT11M12.00S,2023-04-08T02:12:06.1Z,1,REGULAR,turnover,backcourt,[],1630558,,,1610612758,0,0,2023-04-08T02:12:46Z,150000,False,,,0,,D. Mitchell backcourt TURNOVER (1 TO),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,202053.0,Above the Break 3,24+ Center,,,,,,,1.0,,,,,,,,,,,,
16,PT11M02.00S,2023-04-08T02:12:29.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1626172,6.258212877792378,49.50980392156863,1610612744,0,2,2023-04-08T02:13:49Z,160000,False,2.0,6.0,1,left,K. Looney cutting DUNK (2 PTS) (S. Curry 1 AST),"[1626172, 201939]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,,Restricted Area,0-8 Center,0.68,Made,,,,,,2.0,S. Curry,201939.0,1.0,,,,,,,,
18,PT10M37.00S,2023-04-08T02:12:53.6Z,1,REGULAR,turnover,lost ball,[],1629056,,,1610612758,0,2,2023-04-08T02:12:58Z,180000,False,,,0,,T. Davis lost ball TURNOVER (1 TO),"[1629056, 201939]",1610612758.0,SAC,,,,Davis,T. Davis,,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,,,,,Curry,201939.0,,,,,,
19,PT10M37.00S,2023-04-08T02:12:53.6Z,1,REGULAR,steal,,[],201939,,,1610612744,0,2,2023-04-08T02:12:55Z,190000,False,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,
20,PT10M32.00S,2023-04-08T02:12:57.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628978,22.683968462549277,10.53921568627451,1610612744,0,2,2023-04-08T02:15:38Z,200000,False,197.0,161.0,1,left,MISS D. DiVincenzo 25' running pullup 3PT,[1628978],1610612744.0,GSW,running pullup,,,DiVincenzo,D. DiVincenzo,,,,,,Above the Break 3,24+ Right Center,25.45,Missed,,,,,,,,,,,,,,,,,
21,PT10M30.00S,2023-04-08T02:12:59.7Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,0,2,2023-04-08T02:13:07Z,210000,False,,,0,,K. Murray REBOUND (Off:0 Def:2),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,Above the Break 3,24+ Right Center,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,
22,PT10M22.00S,2023-04-08T02:13:08.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631099,93.51182654402102,40.68627450980392,1610612758,0,2,2023-04-08T02:13:13Z,220000,False,-47.0,8.0,1,right,MISS K. Murray driving Layup,[1631099],1610612758.0,SAC,driving,,,Murray,K. Murray,,,,,,In The Paint (Non-RA),0-8 Center,4.74,Missed,,,,,,,,,,,,,,,,,
23,PT10M20.00S,2023-04-08T02:13:10.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,2,2023-04-08T02:13:13Z,230000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,In The Paint (Non-RA),0-8 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT10M14.00S,2023-04-08T02:13:16.7Z,1,REGULAR,2pt,Jump Shot,[],202691,9.149145860709593,27.450980392156865,1610612744,0,2,2023-04-08T02:16:39Z,240000,False,113.0,34.0,1,left,MISS K. Thompson 11' fadeaway Shot,[202691],1610612744.0,GSW,fadeaway,,,Thompson,K. Thompson,,,,,,Mid-Range,8-16 Right,11.76,Missed,,,,,,,,,,,,,,,,,
25,PT10M11.00S,2023-04-08T02:13:19.7Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,2,2023-04-08T02:17:30Z,250000,False,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Mid-Range,8-16 Right,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,
