actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-18T03:10:46.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-18T03:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-18T03:10:48.8Z,1,REGULAR,jumpball,recovered,[],1628989,,,1610612758,0,0,2022-11-18T03:10:48Z,40000,False,,,0,,Jump Ball D. Sabonis vs. J. Poeltl: Tip to K. Huerter,"[1628989, 1627734, 1627751]",1610612758.0,SAC,startperiod,K. Huerter,1628989.0,Huerter,K. Huerter,Sabonis,1627734.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-11-18T03:11:11.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203084,5.732588699080158,37.745098039215684,1610612758,0,0,2022-11-18T03:12:04Z,70000,False,61.0,1.0,1,left,MISS H. Barnes 6' turnaround Hook,[203084],1610612758.0,SAC,turnaround,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,6.13,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-11-18T03:11:15.1Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,0,0,2022-11-18T03:11:16Z,80000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-11-18T03:11:21.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.72339027595268,60.049019607843135,1610612759,0,0,2022-11-18T03:11:26Z,90000,False,50.0,16.0,1,right,MISS J. Poeltl driving Layup,[1627751],1610612759.0,SAS,driving,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,5.27,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-11-18T03:11:23.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2022-11-18T03:11:23Z,100000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M09.00S,2022-11-18T03:11:36.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629056,13.748357424441524,50.0,1610612758,2,0,2022-11-18T03:13:26Z,110000,False,0.0,77.0,1,left,T. Davis 7' driving floating Jump Shot (2 PTS),[1629056],1610612758.0,SAC,driving floating,,,Davis,T. Davis,,,,,In The Paint (Non-RA),0-8 Center,7.67,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M43.00S,2022-11-18T03:12:01.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,83.78777923784494,46.568627450980394,1610612759,2,2,2022-11-18T03:14:20Z,120000,False,-17.0,100.0,1,right,T. Jones 10' pullup Jump Shot (2 PTS),[1630200],1610612759.0,SAS,pullup,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,10.14,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M35.00S,2022-11-18T03:12:12.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1628368,5.863994743758213,53.431372549019606,1610612758,4,2,2022-11-18T03:12:27Z,130000,False,-17.0,3.0,1,left,D. Fox driving Layup (2 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,1.74,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M35.00S,2022-11-18T03:12:16.1Z,1,REGULAR,violation,defensive goaltending,[],1630170,,,1610612758,4,2,2022-11-18T03:12:27Z,140000,False,,,0,,D. Vassell defensive goaltending VIOLATION,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,201638.0,,,,,,,,,,,,
15,PT10M18.00S,2022-11-18T03:12:40.5Z,1,REGULAR,3pt,Jump Shot,[],1630200,90.22667542706965,96.32352941176471,1610612759,4,2,2022-11-18T03:12:44Z,150000,False,232.0,39.0,1,right,MISS T. Jones 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,23.49,Missed,,,,,,,,,,,,,,,,,,
16,PT10M15.00S,2022-11-18T03:12:43.5Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,4,2,2022-11-18T03:12:44Z,160000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Right Corner 3,24+ Right,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT10M06.00S,2022-11-18T03:12:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,11.645860709592641,45.09803921568628,1610612758,4,2,2022-11-18T03:13:04Z,170000,False,25.0,57.0,1,left,MISS K. Huerter 6' driving Layup - blocked,"[1628989, 1627751]",1610612758.0,SAC,driving,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,6.2,Missed,,,,,,,Poeltl,1627751.0,,,,,,,,,,
18,PT10M06.00S,2022-11-18T03:12:52.2Z,1,REGULAR,block,,[],1627751,,,1610612758,4,2,2022-11-18T03:12:54Z,180000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M06.00S,2022-11-18T03:12:52.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,4,2,2022-11-18T03:13:04Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,,,,,,,,,,,,,,,,,
