actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-12T03:10:34.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-12T03:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-12T03:10:37.5Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2023-01-12T03:10:37Z,40000,False,,,0,,Jump Ball A. Sengun vs. D. Sabonis: Tip to J. Smith Jr.,"[1631095, 1630578, 1627734]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-01-12T03:10:50.8Z,1,REGULAR,turnover,out-of-bounds,[],1630578,,,1610612745,0,0,2023-01-12T03:11:01Z,70000,False,,,0,,A. Sengun bad pass out-of-bounds TURNOVER (1 TO),[1630578],1610612745.0,HOU,bad pass,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Center,1626302.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2023-01-12T03:11:15.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203084,6.652431011826544,47.549019607843135,1610612758,0,0,2023-01-12T03:13:52Z,80000,False,12.0,10.0,1,left,MISS H. Barnes cutting Layup,[203084],1610612758.0,SAC,cutting,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,1.59,Missed,,,,,,,,,,,,,,,,
9,PT11M33.00S,2023-01-12T03:11:17.7Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2023-01-12T03:13:52Z,90000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M24.00S,2023-01-12T03:11:23.8Z,1,REGULAR,3pt,Jump Shot,[],1629645,76.00197109067017,90.93137254901961,1610612745,0,3,2023-01-12T03:15:09Z,100000,False,205.0,173.0,1,right,K. Porter Jr. 26' 3PT pullup (3 PTS) (A. Sengun 1 AST),"[1629645, 1630578]",1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,26.81,Made,,,,,3.0,A. Sengun,1630578.0,1.0,,,,,,,,
11,PT11M15.00S,2023-01-12T03:11:30.5Z,1,REGULAR,2pt,Jump Shot,[],1628368,13.87976346911958,68.38235294117648,1610612758,0,3,2023-01-12T03:19:22Z,110000,False,-92.0,78.0,1,left,MISS D. Fox 12' driving floating Shot,[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,Mid-Range,8-16 Left,,,12.05,Missed,,,,,,,,,,,,,,,,
12,PT11M14.00S,2023-01-12T03:11:31.5Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,0,3,2023-01-12T03:19:00Z,120000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,8-16 Left,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M06.00S,2023-01-12T03:11:58.1Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612745,0,3,2023-01-12T03:12:17Z,140000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Gordon 2 FT),"[1631099, 201569]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,Mid-Range,8-16 Center,1626302.0,,,,,,,,,,,,1.0,0.0,Gordon,201569.0,,,,
16,PT11M06.00S,2023-01-12T03:12:18.8Z,1,REGULAR,freethrow,1 of 2,[],201569,,,1610612745,0,4,2023-01-12T03:12:18Z,160000,False,,,0,,E. Gordon Free Throw 1 of 2 (1 PTS),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
17,PT11M06.00S,2023-01-12T03:12:19.4Z,1,REGULAR,freethrow,2 of 2,[],201569,,,1610612745,0,5,2023-01-12T03:12:19Z,170000,False,,,0,,E. Gordon Free Throw 2 of 2 (2 PTS),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,
18,PT10M49.00S,2023-01-12T03:12:35.6Z,1,REGULAR,3pt,Jump Shot,[],1629056,31.61957950065703,30.14705882352941,1610612758,0,5,2023-01-12T03:12:42Z,180000,False,99.0,245.0,1,left,MISS T. Davis 26' 3PT,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,Above the Break 3,24+ Right Center,,,26.41,Missed,,,,,,,,,,,,,,,,
19,PT10M44.00S,2023-01-12T03:12:40.6Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,0,5,2023-01-12T03:12:42Z,190000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:2),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,
20,PT10M41.00S,2023-01-12T03:12:43.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,69.85873850197109,26.47058823529412,1610612745,0,5,2023-01-12T03:12:53Z,200000,False,-118.0,231.0,1,right,MISS J. Smith Jr. 25' running 3PT,[1631095],1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,25.9,Missed,,,,,,,,,,,,,,,,
21,PT10M36.00S,2023-01-12T03:12:48.6Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,0,5,2023-01-12T03:12:53Z,210000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,
22,PT10M32.00S,2023-01-12T03:12:52.2Z,1,REGULAR,3pt,Jump Shot,[],1631099,29.77989487516426,21.07843137254902,1610612758,0,5,2023-01-12T03:13:06Z,220000,False,145.0,227.0,1,left,MISS K. Murray 26' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,26.95,Missed,,,,,,,,,,,,,,,,
23,PT10M28.00S,2023-01-12T03:12:56.2Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,0,5,2023-01-12T03:13:00Z,230000,False,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,
24,PT10M20.00S,2023-01-12T03:13:04.3Z,1,REGULAR,3pt,Jump Shot,[],1630224,66.3107752956636,46.81372549019608,1610612745,0,8,2023-01-12T03:23:46Z,240000,False,-16.0,264.0,1,right,J. Green 26' 3PT pullup (3 PTS) (A. Sengun 2 AST),"[1630224, 1630578]",1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,26.47,Made,,,,,3.0,A. Sengun,1630578.0,2.0,,,,,,,,
26,PT10M05.00S,2023-01-12T03:13:19.7Z,1,REGULAR,3pt,Jump Shot,[],203084,24.392247043363994,10.049019607843137,1610612758,3,8,2023-01-12T03:13:26Z,260000,False,200.0,177.0,1,left,H. Barnes 26' 3PT  (3 PTS) (D. Sabonis 1 AST),"[203084, 1627734]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,26.68,Made,,,,,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,
28,PT09M47.00S,2023-01-12T03:13:36.7Z,1,REGULAR,3pt,Jump Shot,[],201569,67.62483574244416,65.19607843137256,1610612745,3,8,2023-01-12T03:13:44Z,280000,False,76.0,252.0,1,right,MISS E. Gordon 26' pullup 3PT,[201569],1610612745.0,HOU,pullup,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Center,,,26.3,Missed,,,,,,,,,,,,,,,,
29,PT09M44.00S,2023-01-12T03:13:39.7Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,3,8,2023-01-12T03:13:44Z,290000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,
30,PT09M35.00S,2023-01-12T03:13:49.2Z,1,REGULAR,3pt,Jump Shot,[],1631099,4.02431011826544,93.87254901960785,1610612758,6,8,2023-01-12T03:13:57Z,300000,False,-219.0,-15.0,1,left,K. Murray 3PT  (3 PTS) (T. Davis 1 AST),"[1631099, 1629056]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Left Corner 3,24+ Left,,,21.99,Made,,,,,3.0,T. Davis,1629056.0,1.0,,,,,,,,
32,PT09M14.00S,2023-01-12T03:14:10.2Z,1,REGULAR,turnover,bad pass,[],1630224,,,1610612745,6,8,2023-01-12T03:14:16Z,320000,False,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630224, 203084]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,,1.0,,,,,,,,,,,,,,,Barnes,203084.0,,
33,PT09M14.00S,2023-01-12T03:14:10.2Z,1,REGULAR,steal,,[],203084,,,1610612758,6,8,2023-01-12T03:14:13Z,330000,False,,,0,,H. Barnes STEAL (1 STL),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
34,PT09M08.00S,2023-01-12T03:14:15.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203084,8.754927726675426,49.50980392156863,1610612758,8,8,2023-01-12T03:24:50Z,340000,False,2.0,30.0,1,left,H. Barnes running finger roll Layup (5 PTS),[203084],1610612758.0,SAC,running finger roll,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,2.99,Made,,,,,5.0,,,,,,,,,,,
35,PT09M05.00S,2023-01-12T03:14:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,93.51182654402102,46.81372549019608,1610612745,8,10,2023-01-12T03:25:22Z,350000,False,-16.0,8.0,1,right,J. Green driving reverse Layup (5 PTS) (K. Porter Jr. 1 AST),"[1630224, 1629645]",1610612745.0,HOU,driving reverse,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,1.8,Made,,,,,5.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,
37,PT08M57.00S,2023-01-12T03:14:27.6Z,1,REGULAR,2pt,Jump Shot,[],1628368,24.26084099868594,54.65686274509803,1610612758,10,10,2023-01-12T03:14:45Z,370000,False,-23.0,176.0,1,left,D. Fox 17' pullup Jump Shot (2 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Mid-Range,16-24 Center,,,17.71,Made,,,,,2.0,,,,,,,,,,,
40,PT08M37.00S,2023-01-12T03:14:58.0Z,1,REGULAR,3pt,Jump Shot,[],1630224,69.99014454664915,73.77450980392157,1610612745,10,10,2023-01-12T03:15:04Z,390000,False,119.0,230.0,1,right,MISS J. Green 25' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,25.86,Missed,,,,,,,,,,,,,,,,
41,PT08M33.00S,2023-01-12T03:15:02.0Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,10,10,2023-01-12T03:15:04Z,400000,False,,,0,,K. Murray REBOUND (Off:0 Def:2),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,
42,PT08M24.00S,2023-01-12T03:15:11.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631099,7.703679369250986,43.872549019607845,1610612758,10,10,2023-01-12T03:26:32Z,410000,False,31.0,20.0,1,left,MISS K. Murray driving finger roll Layup,[1631099],1610612758.0,SAC,driving finger roll,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,3.65,Missed,,,,,,,,,,,,,,,,
43,PT08M22.00S,2023-01-12T03:15:13.4Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,10,10,2023-01-12T03:15:16Z,420000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:3),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,42.0,3.0,3.0,0.0,,,,,,,,,,,,
44,PT08M18.00S,2023-01-12T03:15:17.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629645,90.62089356110381,52.69607843137255,1610612745,10,10,2023-01-12T03:15:27Z,430000,False,13.0,36.0,1,right,MISS K. Porter Jr. running Layup,[1629645],1610612745.0,HOU,running,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,3.82,Missed,,,,,,,,,,,,,,,,
45,PT08M16.00S,2023-01-12T03:15:19.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,10,10,2023-01-12T03:22:44Z,440000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,
80,PT08M15.00S,2023-01-12T03:15:20.4Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,10,10,2023-01-12T03:23:05Z,445000,False,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 1629645]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,Porter Jr.,1629645.0,,
81,PT08M15.00S,2023-01-12T03:15:20.4Z,1,REGULAR,steal,,[],1629645,,,1610612745,10,10,2023-01-12T03:23:05Z,447500,False,,,0,,K. Porter Jr. STEAL (1 STL),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
46,PT08M12.00S,2023-01-12T03:15:23.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629645,88.12417871222075,49.50980392156863,1610612745,10,12,2023-01-12T03:23:05Z,450000,False,-2.0,59.0,1,right,K. Porter Jr. DUNK (5 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,5.92,Made,,,,,5.0,,,,,,,,,,,
64,PT08M11.00S,2023-01-12T03:15:27.4Z,1,REGULAR,turnover,inbound,[],1629056,,,1610612758,10,12,2023-01-12T03:28:10Z,455000,False,,,0,,T. Davis inbound TURNOVER (1 TO),[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,Restricted Area,0-8 Center,1626302.0,1.0,,,,,,,,,,,,,,,,,,
48,PT08M09.00S,2023-01-12T03:15:47.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630224,78.40013140604468,24.754901960784316,1610612745,10,14,2023-01-12T03:18:12Z,470000,False,-126.0,151.0,1,right,J. Green 19' Jump Shot (7 PTS) (K. Porter Jr. 2 AST),"[1630224, 1629645]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,,,19.64,Made,,,,,7.0,K. Porter Jr.,1629645.0,2.0,,,,,,,,
50,PT07M54.00S,2023-01-12T03:16:06.3Z,1,REGULAR,foul,personal,[],1631095,,,1610612758,10,14,2023-01-12T03:16:21Z,490000,False,,,0,,J. Smith Jr. personal FOUL (1 PF),"[1631095, 1627734]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Center,1627963.0,,,,,,,,,,,,1.0,0.0,Sabonis,1627734.0,,,,
52,PT07M50.00S,2023-01-12T03:16:23.8Z,1,REGULAR,3pt,Jump Shot,[],1628368,32.53942181340342,35.294117647058826,1610612758,10,14,2023-01-12T03:16:30Z,510000,False,74.0,253.0,1,left,MISS D. Fox 26' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,26.38,Missed,,,,,,,,,,,,,,,,
53,PT07M50.00S,2023-01-12T03:16:23.8Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,10,14,2023-01-12T03:16:30Z,520000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,
54,PT07M28.00S,2023-01-12T03:16:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,89.83245729303549,53.67647058823529,1610612745,10,14,2023-01-12T03:30:21Z,530000,False,18.0,43.0,1,right,MISS J. Green driving finger roll Layup,[1630224],1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,4.69,Missed,,,,,,,,,,,,,,,,
55,PT07M27.00S,2023-01-12T03:16:47.0Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,10,14,2023-01-12T03:30:26Z,540000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,54.0,2.0,1.0,1.0,,,,,,,,,,,,
56,PT07M27.00S,2023-01-12T03:16:51.1Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1630578,94.40999984741211,50.0,1610612745,10,16,2023-01-12T03:30:32Z,550000,False,0.0,0.0,1,right,A. Sengun tip DUNK (2 PTS),[1630578],1610612745.0,HOU,tip,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,0.0,Made,,,,,2.0,,,,,,,,,,,
57,PT07M20.00S,2023-01-12T03:16:53.9Z,1,REGULAR,3pt,Jump Shot,[],1629056,27.020367936925098,77.45098039215686,1610612758,13,16,2023-01-12T03:30:52Z,560000,False,-137.0,201.0,1,left,T. Davis 24' 3PT  (3 PTS) (D. Fox 1 AST),"[1629056, 1628368]",1610612758.0,SAC,,,,Davis,T. Davis,,,,,Above the Break 3,24+ Left Center,,,24.38,Made,,,,,3.0,D. Fox,1628368.0,1.0,,,,,,,,
59,PT07M00.00S,2023-01-12T03:17:13.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201569,85.49605781865965,52.69607843137255,1610612745,13,16,2023-01-12T03:31:40Z,580000,False,13.0,84.0,1,right,MISS E. Gordon 8' driving floating Shot,[201569],1610612745.0,HOU,driving floating,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),8-16 Center,,,8.49,Missed,,,,,,,,,,,,,,,,
60,PT06M58.00S,2023-01-12T03:17:15.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,13,16,2023-01-12T03:17:18Z,590000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,
61,PT06M52.00S,2023-01-12T03:17:23.5Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612758,13,16,2023-01-12T03:17:51Z,600000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1630578, 1627734]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1626302.0,,,,,,,,,,,,1.0,0.0,Sabonis,1627734.0,,,,
