actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-04-02T22:10:33.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-02T22:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-04-02T22:10:37.3Z,1,REGULAR,jumpball,recovered,[],1628966,,,1610612759,0,0,2023-04-02T22:10:37Z,40000,False,,,0,,Jump Ball Z. Collins vs. D. Sabonis: Tip to K. Bates-Diop,"[1628966, 1628380, 1627734]",1610612759.0,SAS,startperiod,K. Bates-Diop,1628966.0,Bates-Diop,K. Bates-Diop,Collins,1628380.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-04-02T22:10:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628380,93.24901445466492,54.65686274509803,1610612759,0,0,2023-04-02T22:10:57Z,70000,False,23.0,11.0,1,right,MISS Z. Collins Layup,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,2.58,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-04-02T22:10:55.4Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,0,0,2023-04-02T22:10:55Z,80000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2023-04-02T22:11:09.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,9.280551905387648,43.627450980392155,1610612758,0,0,2023-04-02T22:11:13Z,90000,False,32.0,35.0,1,left,MISS D. Sabonis Hook,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,4.71,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2023-04-02T22:11:12.0Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,0,0,2023-04-02T22:11:13Z,100000,False,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M10.00S,2023-04-02T22:11:22.2Z,1,REGULAR,3pt,Jump Shot,[],1628984,93.77463863337714,3.1862745098039214,1610612759,0,3,2023-04-02T22:11:27Z,110000,False,-234.0,6.0,1,right,D. Graham 3PT  (3 PTS) (T. Jones 1 AST),"[1628984, 1630200]",1610612759.0,SAS,,,,Graham,D. Graham,,,,,Left Corner 3,24+ Left,23.42,Made,,,,,3.0,T. Jones,1630200.0,1.0,,,,,,,,,,
13,PT10M52.00S,2023-04-02T22:11:40.4Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612758,0,3,2023-04-02T23:04:30Z,130000,False,,,0,,D. Sabonis bad pass TURNOVER (1 TO),"[1627734, 1628984]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Graham,1628984.0,,,,,,,
14,PT10M52.00S,2023-04-02T22:11:40.4Z,1,REGULAR,steal,,[],1628984,,,1610612759,0,3,2023-04-02T22:12:04Z,140000,False,,,0,,D. Graham STEAL (1 STL),[1628984],1610612759.0,SAS,,,,Graham,D. Graham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2023-04-02T22:11:49.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628966,92.85479632063075,42.40196078431372,1610612759,0,5,2023-04-02T22:11:54Z,150000,False,-38.0,15.0,1,right,K. Bates-Diop driving Layup (2 PTS) (T. Jones 2 AST),"[1628966, 1630200]",1610612759.0,SAS,driving,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,4.07,Made,,,,,2.0,T. Jones,1630200.0,2.0,,,,,,,,,,
18,PT10M19.00S,2023-04-02T22:12:28.9Z,1,REGULAR,2pt,Jump Shot,[],203084,8.886333771353483,75.24509803921569,1610612758,0,5,2023-04-02T22:13:49Z,180000,False,-126.0,31.0,1,left,MISS H. Barnes 13' pullup bank Shot,[203084],1610612758.0,SAC,pullup bank,,,Barnes,H. Barnes,,,,,Mid-Range,8-16 Left,13.0,Missed,,,,,,,,,,,,,,,,,,
19,PT10M16.00S,2023-04-02T22:12:31.9Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,0,5,2023-04-02T22:12:34Z,190000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Left,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M08.00S,2023-04-02T22:12:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628966,93.51182654402102,42.40196078431372,1610612759,0,5,2023-04-02T22:12:44Z,200000,False,-38.0,8.0,1,right,MISS K. Bates-Diop driving Layup,[1628966],1610612759.0,SAS,driving,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,3.89,Missed,,,,,,,,,,,,,,,,,,
21,PT10M05.00S,2023-04-02T22:12:42.1Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,5,2023-04-02T22:12:42Z,210000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M03.00S,2023-04-02T22:12:44.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203084,7.30946123521682,53.431372549019606,1610612758,2,5,2023-04-02T22:12:49Z,220000,False,-17.0,16.0,1,left,H. Barnes running Layup (2 PTS) (D. Fox 1 AST),"[203084, 1628368]",1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,2.36,Made,,,,,2.0,D. Fox,1628368.0,1.0,,,,,,,,,,
24,PT09M53.00S,2023-04-02T22:12:54.8Z,1,REGULAR,3pt,Jump Shot,[],1631103,77.34888304862024,10.049019607843137,1610612759,2,5,2023-04-02T22:13:00Z,240000,False,-200.0,160.0,1,right,MISS M. Branham 25' 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Left Center,25.62,Missed,,,,,,,,,,,,,,,,,,
25,PT09M49.00S,2023-04-02T22:12:58.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,5,2023-04-02T22:13:00Z,250000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M45.00S,2023-04-02T22:13:03.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628368,6.915243101182654,53.67647058823529,1610612758,4,5,2023-04-02T22:15:16Z,260000,False,-18.0,13.0,1,left,D. Fox running Layup (2 PTS),[1628368],1610612758.0,SAC,running,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,2.22,Made,,,,,2.0,,,,,,,,,,,,,
27,PT09M45.00S,2023-04-02T22:13:12.9Z,1,REGULAR,foul,personal,['1freethrow'],1628380,,,1610612758,4,5,2023-04-02T22:13:22Z,270000,False,,,0,,Z. Collins shooting personal FOUL (1 PF) (Fox 1 FT),"[1628380, 1628368]",1610612759.0,SAS,shooting,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2004.0,1.0,0.0,Fox,1628368.0,,
29,PT09M45.00S,2023-04-02T22:13:34.9Z,1,REGULAR,freethrow,1 of 1,[],1628368,,,1610612758,5,5,2023-04-02T22:13:34Z,290000,False,,,0,,D. Fox Free Throw 1 of 1 (3 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
30,PT09M34.00S,2023-04-02T22:13:47.5Z,1,REGULAR,2pt,Jump Shot,[],1628380,77.7431011826544,67.8921568627451,1610612759,5,5,2023-04-02T22:13:55Z,300000,False,89.0,157.0,1,right,MISS Z. Collins 18' Jump Shot,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,16-24 Right Center,18.05,Missed,,,,,,,,,,,,,,,,,,
31,PT09M30.00S,2023-04-02T22:13:51.5Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,5,5,2023-04-02T22:13:55Z,310000,False,,,0,,K. Huerter REBOUND (Off:0 Def:2),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Mid-Range,16-24 Right Center,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,
32,PT09M25.00S,2023-04-02T22:13:57.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628989,5.732588699080158,46.32352941176471,1610612758,7,5,2023-04-02T22:16:06Z,320000,False,18.0,1.0,1,left,K. Huerter running Layup (2 PTS) (D. Sabonis 1 AST),"[1628989, 1627734]",1610612758.0,SAC,running,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,1.85,Made,,,,,2.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,
34,PT09M14.00S,2023-04-02T22:14:12.0Z,1,REGULAR,turnover,out-of-bounds,[],1628380,,,1610612759,7,5,2023-04-02T22:16:21Z,340000,False,,,0,,Z. Collins bad pass out-of-bounds TURNOVER (1 TO),[1628380],1610612759.0,SAS,bad pass,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,,,2004.0,,,,,,
