actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-31T03:10:38.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-31T03:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-12-31T03:10:42.5Z,1,REGULAR,jumpball,recovered,[],203903,,,1610612762,0,0,2022-12-31T03:10:42Z,40000,False,,,0,,Jump Ball K. Olynyk vs. D. Sabonis: Tip to J. Clarkson,"[203903, 203482, 1627734]",1610612762.0,UTA,startperiod,J. Clarkson,203903.0,Clarkson,J. Clarkson,Olynyk,203482.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-12-31T03:10:56.4Z,1,REGULAR,3pt,Jump Shot,[],1628374,9.937582128777924,4.411764705882353,1610612762,0,0,2022-12-31T03:11:00Z,70000,False,228.0,41.0,1,left,MISS L. Markkanen 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Right Corner 3,24+ Right,23.15,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-12-31T03:10:59.4Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,0,2022-12-31T03:11:00Z,80000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-12-31T03:11:14.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,92.59198423127464,49.26470588235294,1610612758,2,0,2022-12-31T03:11:18Z,90000,False,-4.0,17.0,1,right,D. Sabonis DUNK (2 PTS) (H. Barnes 1 AST),"[1627734, 203084]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.75,Made,,,,,2.0,H. Barnes,203084.0,1.0,,,,,,,,,,
11,PT10M58.00S,2022-12-31T03:11:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,5.863994743758213,53.67647058823529,1610612762,2,0,2022-12-31T03:11:44Z,110000,False,-18.0,3.0,1,left,MISS J. Vanderbilt cutting Layup,[1629020],1610612762.0,UTA,cutting,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,1.86,Missed,,,,,,,,,,,,,,,,,,
12,PT10M55.00S,2022-12-31T03:11:43.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,0,2022-12-31T03:11:44Z,120000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M47.00S,2022-12-31T03:11:49.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,93.38042049934296,46.07843137254902,1610612758,4,0,2022-12-31T03:11:54Z,130000,False,-20.0,10.0,1,right,D. Sabonis cutting Layup (4 PTS) (K. Murray 1 AST),"[1627734, 1631099]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,2.19,Made,,,,,4.0,K. Murray,1631099.0,1.0,,,,,,,,,,
15,PT10M37.00S,2022-12-31T03:12:00.5Z,1,REGULAR,3pt,Jump Shot,[],1628374,21.50131406044678,88.97058823529412,1610612762,4,0,2022-12-31T03:12:05Z,150000,False,-195.0,150.0,1,left,MISS L. Markkanen 24' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,24.57,Missed,,,,,,,,,,,,,,,,,,
16,PT10M34.00S,2022-12-31T03:12:03.5Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,4,0,2022-12-31T03:12:05Z,160000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT10M33.00S,2022-12-31T03:12:07.5Z,1,REGULAR,foul,personal,[],203903,,,1610612758,4,0,2022-12-31T03:12:14Z,170000,False,,,0,,J. Clarkson personal FOUL (1 PF),"[203903, 1627734]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1662.0,1.0,0.0,Sabonis,1627734.0,,,,,
19,PT10M25.00S,2022-12-31T03:12:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,93.24901445466492,52.94117647058824,1610612758,6,0,2022-12-31T03:12:36Z,190000,False,15.0,11.0,1,right,D. Fox cutting Layup (2 PTS) (D. Sabonis 1 AST),"[1628368, 1627734]",1610612758.0,SAC,cutting,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,2.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,
